name,position,age,nation,club,value,confederation,league
Radu Drăgușin,Centre-Back,23.0,Romania,Tottenham Hotspur,€25.00m,OFC,
Joan García,Goalkeeper,24.0,Spain,FC Barcelona,€25.00m,OFC,
Emanuel Emegha,Centre-Forward,22.0,Netherlands,RC Strasbourg Alsace,€25.00m,OFC,
Dilane Bakwa,Right Winger,22.0,France,RC Strasbourg Alsace,€25.00m,OFC,
Nuno Tavares,Left-Back,25.0,Portugal,SS Lazio,€25.00m,OFC,
Maximilian Kilman,Centre-Back,28.0,England,West Ham United,€25.00m,OFC,
Eduard Spertsyan,Attacking Midfield,25.0,Armenia,FC Krasnodar,€25.00m,OFC,
Edon Zhegrova,Right Winger,26.0,Kosovo,LOSC Lille,€25.00m,OFC,
Wesley Fofana,Centre-Back,24.0,France,Chelsea FC,€25.00m,OFC,
Marco Carnesecchi,Goalkeeper,25.0,Italy,Atalanta BC,€25.00m,OFC,
Christos Tzolis,Left Winger,23.0,Greece,Club Brugge KV,€25.00m,OFC,
Maxence Lacroix,Centre-Back,25.0,France,Crystal Palace,€25.00m,OFC,
Matty Cash,Right-Back,27.0,Poland,Aston Villa,€25.00m,OFC,
Mats Wieffer,Defensive Midfield,25.0,Netherlands,Brighton & Hove Albion,€25.00m,OFC,
Raoul Bellanova,Right Midfield,25.0,Italy,Atalanta BC,€24.00m,OFC,
Gianluca Scamacca,Centre-Forward,26.0,Italy,Atalanta BC,€24.00m,OFC,
Mohamed Simakan,Centre-Back,25.0,France,Al-Nassr FC,€23.00m,OFC,
Jerdy Schouten,Defensive Midfield,28.0,Netherlands,PSV Eindhoven,€22.00m,OFC,
Ermedin Demirovic,Centre-Forward,27.0,Bosnia-Herzegovina,VfB Stuttgart,€22.00m,OFC,
Brais Méndez,Attacking Midfield,28.0,Spain,Real Sociedad,€22.00m,OFC,
Serge Gnabry,Left Winger,30.0,Germany,Bayern Munich,€22.00m,OFC,
Leon Goretzka,Central Midfield,30.0,Germany,Bayern Munich,€22.00m,OFC,
Leandro Trossard,Left Winger,30.0,Belgium,Arsenal FC,€22.00m,OFC,
Romelu Lukaku,Centre-Forward,32.0,Belgium,SSC Napoli,€22.00m,OFC,
Barış Alper Yılmaz,Left Winger,25.0,Türkiye,Galatasaray,€21.00m,OFC,
Konstantinos Karetsas,Attacking Midfield,17.0,Greece,KRC Genk,€20.00m,OFC,
Chris Rigg,Attacking Midfield,18.0,England,Sunderland AFC,€20.00m,OFC,
Thierno Barry,Centre-Forward,22.0,France,Everton FC,€20.00m,OFC,
Oscar Gloukh,Attacking Midfield,21.0,Israel,Red Bull Salzburg,€20.00m,OFC,
Finn Jeltsch,Centre-Back,19.0,Germany,VfB Stuttgart,€20.00m,OFC,
Guillaume Restes,Goalkeeper,20.0,France,FC Toulouse,€20.00m,OFC,
Mamadou Sarr,Centre-Back,19.0,France,Chelsea FC,€20.00m,OFC,
Alex Scott,Central Midfield,21.0,England,AFC Bournemouth,€20.00m,OFC,
Maxime Estève,Centre-Back,23.0,France,Burnley FC,€20.00m,OFC,
Ange-Yoan Bonny,Centre-Forward,21.0,France,Inter Milan,€20.00m,OFC,
Wilson Odobert,Right Winger,20.0,France,Tottenham Hotspur,€20.00m,OFC,
Dário Essugo,Defensive Midfield,20.0,Portugal,Chelsea FC,€20.00m,OFC,
Jarell Quansah,Centre-Back,22.0,England,Bayer 04 Leverkusen,€20.00m,OFC,
Ryan Flamingo,Centre-Back,22.0,Netherlands,PSV Eindhoven,€20.00m,OFC,
James McAtee,Attacking Midfield,22.0,England,Manchester City,€20.00m,OFC,
Miguel Gutiérrez,Left-Back,23.0,Spain,Girona FC,€20.00m,OFC,
Jamie Leweling,Right Winger,24.0,Germany,VfB Stuttgart,€20.00m,OFC,
Fábio Silva,Centre-Forward,23.0,Portugal,Wolverhampton Wanderers,€20.00m,OFC,
Morten Frendrup,Central Midfield,24.0,Denmark,Genoa CFC,€20.00m,OFC,
Neco Williams,Right-Back,24.0,Wales,Nottingham Forest,€20.00m,OFC,
Joe Willock,Central Midfield,25.0,England,Newcastle United,€22.00m,OFC,
Florentino,Defensive Midfield,25.0,Portugal,SL Benfica,€22.00m,OFC,
Keane Lewis-Potter,Left-Back,24.0,England,Brentford FC,€23.00m,OFC,
Axel Disasi,Centre-Back,27.0,France,Chelsea FC,€22.00m,OFC,
Virgil van Dijk,Centre-Back,34.0,Netherlands,Liverpool FC,€23.00m,OFC,
Stefanos Tzimas,Centre-Forward,19.0,Greece,Brighton & Hove Albion,€22.00m,OFC,
Arthur Vermeeren,Defensive Midfield,20.0,Belgium,RB Leipzig,€22.00m,OFC,
Lewis Miley,Central Midfield,19.0,England,Newcastle United,€22.00m,OFC,
Roger,Right Winger,19.0,Portugal,SC Braga,€22.00m,OFC,
Jobe Bellingham,Central Midfield,19.0,England,Borussia Dortmund,€22.00m,OFC,
Omari Hutchinson,Attacking Midfield,21.0,England,Ipswich Town,€22.00m,OFC,
Georges Mikautadze,Centre-Forward,24.0,Georgia,Olympique Lyon,€22.00m,OFC,
Nathaniel Brown,Left-Back,22.0,Germany,Eintracht Frankfurt,€22.00m,OFC,
Yasin Ayari,Central Midfield,21.0,Sweden,Brighton & Hove Albion,€22.00m,OFC,
Elye Wahi,Centre-Forward,22.0,France,Eintracht Frankfurt,€22.00m,OFC,
Wilfried Gnonto,Right Winger,21.0,Italy,Leeds United,€22.00m,OFC,
Leif Davis,Left-Back,25.0,England,Ipswich Town,€22.00m,OFC,
Aitor Paredes,Centre-Back,25.0,Spain,Athletic Bilbao,€22.00m,OFC,
Arnaud Kalimuendo,Centre-Forward,23.0,France,Stade Rennais FC,€22.00m,OFC,
Martin Baturina,Attacking Midfield,22.0,Croatia,Como 1907,€22.00m,OFC,
Lorenzo Lucca,Centre-Forward,24.0,Italy,SSC Napoli,€22.00m,OFC,
Chrislain Matsima,Centre-Back,23.0,France,FC Augsburg,€22.00m,OFC,
James Trafford,Goalkeeper,22.0,England,Burnley FC,€22.00m,OFC,
Sepp van den Berg,Centre-Back,23.0,Netherlands,Brentford FC,€22.00m,OFC,
Fábio Vieira,Attacking Midfield,25.0,Portugal,Arsenal FC,€22.00m,OFC,
Taylor Harwood-Bellis,Centre-Back,23.0,England,Southampton FC,€22.00m,OFC,
Koni De Winter,Centre-Back,23.0,Belgium,Genoa CFC,€22.00m,OFC,
Crysencio Summerville,Left Winger,23.0,Netherlands,West Ham United,€22.00m,OFC,
Brian Brobbey,Centre-Forward,23.0,Netherlands,Ajax Amsterdam,€22.00m,OFC,
Benoît Badiashile,Centre-Back,24.0,France,Chelsea FC,€22.00m,OFC,
Matt O'Riley,Central Midfield,24.0,Denmark,Brighton & Hove Albion,€22.00m,OFC,
Lamine Yamal,Right Winger,18.0,Spain,FC Barcelona,€200.00m,OFC,
Ivan Ilić,Central Midfield,24.0,Serbia,Torino FC,€16.00m,OFC,
Mario Ilich,Defensive Midfield,30.0,New Zealand,Auckland City FC,€275k,CONMEBOL,
Zachary Chung,Left Winger,20.0,New Zealand,Birkenhead United,€125k,CONMEBOL,
Anaru Cassidy,Defensive Midfield,19.0,New Zealand,Wellington Phoenix FC Reserves,€125k,CONMEBOL,
Akeimi Ralulu,Defender,27.0,Fiji,Labasa FC,€125k,CONMEBOL,
Isaac Bates,Defender,18.0,New Zealand,Eastern Suburbs AFC,€125k,CONMEBOL,
Daniel Makowem,Centre-Forward,20.0,New Zealand,Wellington Phoenix FC Reserves,€125k,CONMEBOL,
Jovilisi Borisi,Goalkeeper,27.0,Fiji,Navua FC,€125k,CONMEBOL,
Vinal Prasad,Defender,28.0,Fiji,Navua FC,€125k,CONMEBOL,
Ilaisa Vulimainavuso,Midfield,28.0,Fiji,Ba FC,€125k,CONMEBOL,
Ralph Rutherford,Right Winger,20.0,New Zealand,Auckland FC Reserves,€125k,CONMEBOL,
Shivam Naidu,Left Midfield,25.0,Fiji,Lautoka FC,€125k,CONMEBOL,
Jackson Jarvie,Right-Back,22.0,New Zealand,Eastern Suburbs AFC,€125k,CONMEBOL,
Finn Caughey,Centre-Forward,20.0,New Zealand,Cashmere Technical FC,€125k,CONMEBOL,
James Brittain,Midfield,21.0,New Zealand,Cashmere Technical FC,€125k,CONMEBOL,
Ilisoni Lolaivalu,Centre-Forward,31.0,Fiji,Labasa FC,€125k,CONMEBOL,
Timothy Fenton,Defensive Midfield,28.0,New Zealand,Miramar Rangers AFC,€125k,CONMEBOL,
Peceli Sukabula,Right-Back,23.0,Fiji,Ba FC,€125k,CONMEBOL,
Liam Cotter,Left Winger,,New Zealand,Coastal Spirit FC,€125k,CONMEBOL,
Sitiveni Rakai,Defender,29.0,Fiji,Labasa FC,€125k,CONMEBOL,
Declan Tyndall,Right Winger,,New Zealand,Cashmere Technical FC,€125k,CONMEBOL,
Ethan Richards,Central Midfield,21.0,New Zealand,Birkenhead United,€125k,CONMEBOL,
Everton O'Leary,Right-Back,20.0,New Zealand,Auckland FC Reserves,€125k,CONMEBOL,
Callum McNeill,Centre-Back,25.0,New Zealand,Bay Olympic FC,€125k,CONMEBOL,
Joseph Knowles,Goalkeeper,20.0,New Zealand,Auckland FC,€125k,CONMEBOL,
Oliver Fay,Left Winger,22.0,New Zealand,Auckland United FC,€125k,CONMEBOL,
Lachlan Candy,Attacking Midfield,19.0,New Zealand,Wellington Phoenix FC Reserves,€125k,CONMEBOL,
Rusiate Doidoi,Midfield,29.0,Fiji,Labasa FC,€125k,CONMEBOL,
Kalaveti Sivoi,Midfield,26.0,Fiji,Ba FC,€125k,CONMEBOL,
Riley Manuel,Central Midfield,20.0,New Zealand,Auckland United FC,€125k,CONMEBOL,
Sekove Naivakananumi,Defender,26.0,Fiji,Labasa FC,€125k,CONMEBOL,
Ashneel Raju,Attack,29.0,Fiji,Labasa FC,€125k,CONMEBOL,
Isa Prins,Central Midfield,20.0,New Zealand,Wellington Olympic AFC,€125k,CONMEBOL,
Saula Waqa,Centre-Forward,29.0,Fiji,Lautoka FC,€125k,CONMEBOL,
Luke Mitchell,Central Midfield,18.0,New Zealand,Wellington Phoenix FC Reserves,€125k,CONMEBOL,
Wan Gatkek,Attacking Midfield,25.0,New Zealand,Western Springs AFC,€150k,CONMEBOL,
Etonia Dogalau,Midfield,24.0,Fiji,Ba FC,€150k,CONMEBOL,
Riley Bidois,Centre-Forward,23.0,New Zealand,Loudoun United FC,€150k,CONMEBOL,
Adam Hewson,Left Winger,26.0,New Zealand,Napier City Rovers,€150k,CONMEBOL,
Iowane Matanisiga,Right-Back,24.0,Fiji,Rewa FA,€150k,CONMEBOL,
Oscar Browne,Centre-Back,26.0,New Zealand,Western Springs AFC,€150k,CONMEBOL,
Dalton Wilkins,Left-Back,26.0,New Zealand,Sönderjyske Fodbold,€150k,CONMEBOL,
Joe Champness,Left Winger,28.0,New Zealand,Without Club,€150k,CONMEBOL,
Asivorosi Rabo,Attack,20.0,Fiji,Rewa FA,€150k,CONMEBOL,
Delon Shankar,Midfield,18.0,Fiji,Rewa FA,€150k,CONMEBOL,
Michael Boxall,Centre-Back,36.0,New Zealand,Minnesota United FC,€150k,CONMEBOL,
Jimson Abana,Attack,20.0,Solomon Islands,Labasa FC,€150k,CONMEBOL,
Mohammad Mekawir,Centre-Forward,24.0,Solomon Islands,Navua FC,€150k,CONMEBOL,
Joe Moses,Left Midfield,23.0,Vanuatu,Suva FA,€125k,CONMEBOL,
Kaleb De Groot-Green,Centre-Back,23.0,Samoa,Coastal Spirit FC,€125k,CONMEBOL,
Nicholas Gaze,Central Midfield,20.0,New Zealand,Auckland FC Reserves,€125k,CONMEBOL,
Filipe Baravilala,Right-Back,30.0,Fiji,Navua FC,€125k,CONMEBOL,
Iosefo Verevou,Central Midfield,29.0,Fiji,Rewa FA,€125k,CONMEBOL,
Joby Reid,Right Winger,19.0,New Zealand,Eastern Suburbs AFC,€125k,CONMEBOL,
Ilimotama Jese,Centre-Back,35.0,Fiji,Lautoka FC,€125k,CONMEBOL,
Morgan Wellsbury,Centre-Forward,19.0,New Zealand,Tauranga City AFC,€125k,CONMEBOL,
Sakaraia Naisua,Left-Back,32.0,Fiji,Lautoka FC,€125k,CONMEBOL,
Kolinio Sivoki,Centre-Back,30.0,Fiji,Navua FC,€125k,CONMEBOL,
Atonio Tuivuna,Centre-Back,30.0,Fiji,Unknown,€125k,CONMEBOL,
Suliano Tawanakoro,Defender,27.0,Fiji,Ba FC,€125k,CONMEBOL,
Sitiveni Cavuilagi,Defensive Midfield,30.0,Fiji,Lautoka FC,€125k,CONMEBOL,
Epeli Leiroti,Right Midfield,30.0,Fiji,Lautoka FC,€125k,CONMEBOL,
Isake Naduvu,Defender,26.0,Fiji,Navua FC,€125k,CONMEBOL,
Thomas Dunn,Attacking Midfield,22.0,Fiji,Eastern Suburbs AFC,€125k,CONMEBOL,
Thomson N'Koy,Right Winger,29.0,New Zealand,Without Club,€100k,CONMEBOL,
Ry McLeod,Right-Back,21.0,New Zealand,Western Springs AFC,€100k,CONMEBOL,
Scott Hawkins,Centre-Back,,New Zealand,Without Club,€100k,CONMEBOL,
Luke Brooke-Smith,Attacking Midfield,17.0,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Jayden Smith,Centre-Back,18.0,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Oscar Faulds,Centre-Forward,23.0,New Zealand,Union Titus Petange,€100k,CONMEBOL,
Jake Hale,Left-Back,,New Zealand,Coastal Spirit FC,€100k,CONMEBOL,
Luke Flowerdew,Centre-Forward,19.0,New Zealand,Wellington Phoenix FC Reserves,€100k,CONMEBOL,
Gabriel Sloane-Rodrigues,Right Winger,18.0,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Luke Supyk,Centre-Forward,19.0,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Caspar Mcgavin,Attack,19.0,New Zealand,Western Springs AFC,€100k,CONMEBOL,
Spencer Cameron,Attack,,New Zealand,Miramar Rangers AFC,€100k,CONMEBOL,
Codey Phoenix,Left-Back,20.0,New Zealand,Auckland FC Reserves,€100k,CONMEBOL,
Ryan Watson,Attacking Midfield,20.0,New Zealand,Wellington Phoenix FC Reserves,€100k,CONMEBOL,
Conor Butler,Centre-Back,25.0,New Zealand,Miramar Rangers AFC,€100k,CONMEBOL,
Ryan Foord,Goalkeeper,,New Zealand,Tauranga City AFC,€100k,CONMEBOL,
Samuel Navoce,Defender,22.0,Fiji,Ba FC,€125k,CONMEBOL,
Dublin Boon,Goalkeeper,20.0,New Zealand,Without Club,€100k,CONMEBOL,
Alifeleti Peini,Left Winger,20.0,New Zealand,Western Suburbs FC,€100k,CONMEBOL,
Alex Meaclem,Centre-Back,,New Zealand,Coastal Spirit FC,€100k,CONMEBOL,
Jack De Groot,Goalkeeper,21.0,New Zealand,Miramar Rangers AFC,€100k,CONMEBOL,
Matthew Thomas,Right-Back,21.0,New Zealand,Western Springs AFC,€100k,CONMEBOL,
Abdallah Khaled,Centre-Back,22.0,New Zealand,Auckland United FC,€100k,CONMEBOL,
Yusuf van Dam,Centre-Forward,20.0,New Zealand,Cashmere Technical FC,€100k,CONMEBOL,
Rayan Tayeb,Attacking Midfield,21.0,New Zealand,Western Springs AFC,€100k,CONMEBOL,
Alex Ballard,Central Midfield,20.0,New Zealand,Cashmere Technical FC,€100k,CONMEBOL,
Sam Lack,Defensive Midfield,,New Zealand,Napier City Rovers,€100k,CONMEBOL,
Fergus Gillion,Left Winger,20.0,New Zealand,Wellington Phoenix FC Reserves,€100k,CONMEBOL,
Hamed Basiri,Central Midfield,22.0,New Zealand,Birkenhead United,€100k,CONMEBOL,
Finn Diamond,Central Midfield,24.0,New Zealand,Western Suburbs FC,€100k,CONMEBOL,
Orlando Thorpe,Central Midfield,19.0,New Zealand,East Coast Bays AFC,€100k,CONMEBOL,
James Edgeler,Centre-Back,19.0,New Zealand,East Coast Bays AFC,€100k,CONMEBOL,
Van Fitzharris,Midfield,17.0,New Zealand,Tauranga City AFC,€100k,CONMEBOL,
Niko Steinmetz,Centre-Back,25.0,Samoa,Western Springs AFC,€100k,CONMEBOL,
Cameron Emerson,Defensive Midfield,29.0,New Zealand,Napier City Rovers,€125k,CONMEBOL,
Oscar Ramsay,Defensive Midfield,28.0,New Zealand,Without Club,€125k,CONMEBOL,
Kaelin Nguyen,Centre-Forward,22.0,New Zealand,Western Suburbs FC,€125k,CONMEBOL,
Marco Lorenz,Centre-Back,21.0,New Zealand,Auckland United FC,€125k,CONMEBOL,
Cameron MacKenzie,Central Midfield,25.0,New Zealand,Western Suburbs FC,€125k,CONMEBOL,
Roy Krishna,Centre-Forward,37.0,Fiji,Without Club,€125k,CONMEBOL,
Nicholas Milicich,Centre-Back,22.0,New Zealand,Bay Olympic FC,€125k,CONMEBOL,
Mitieli Naiviro,Defender,23.0,Fiji,Ba FC,€125k,CONMEBOL,
Ryan Verney,Central Midfield,23.0,New Zealand,Auckland United FC,€125k,CONMEBOL,
Nabil Begg,Attacking Midfield,21.0,Fiji,Ba FC,€125k,CONMEBOL,
Ellis Hare-Reid,Goalkeeper,26.0,New Zealand,Coastal Spirit FC,€125k,CONMEBOL,
George Stanger,Centre-Back,24.0,New Zealand,Kilmarnock FC,€125k,CONMEBOL,
Josh Rogerson,Centre-Back,25.0,New Zealand,Christchurch United,€125k,CONMEBOL,
Matthew Jones,Centre-Back,25.0,New Zealand,Napier City Rovers,€125k,CONMEBOL,
Matt Tod-Smith,Central Midfield,26.0,New Zealand,Cashmere Technical FC,€125k,CONMEBOL,
Simione Ragoneturaga,Attack,22.0,Fiji,Labasa FC,€125k,CONMEBOL,
Nik Tzanev,Goalkeeper,28.0,New Zealand,Newport County,€125k,CONMEBOL,
Noah Billingsley,Right-Back,27.0,New Zealand,Eastern Suburbs AFC,€125k,CONMEBOL,
Sailasa Ratu,Central Midfield,21.0,Fiji,Ba FC,€125k,CONMEBOL,
Penisoni Tirau,Midfield,32.0,Fiji,Ba FC,€125k,CONMEBOL,
Ryan De Vries,Centre-Forward,33.0,New Zealand,Auckland City FC,€125k,CONMEBOL,
James Musa,Defensive Midfield,33.0,New Zealand,Indy Eleven,€125k,CONMEBOL,
Jackson Wale,Attack,24.0,Solomon Islands,Nadroga FC,€125k,CONMEBOL,
Adam Davidson,Left-Back,25.0,New Zealand,Tauranga City AFC,€100k,CONMEBOL,
Vira Jack,Attack,24.0,Vanuatu,Nadroga FC,€100k,CONMEBOL,
Alex Saniel,Centre-Forward,28.0,Vanuatu,Virtus SC,€100k,CONMEBOL,
Ata Inia,Left Winger,25.0,Tonga,Melbourne Knights,€100k,CONMEBOL,
Noah Karunaratne,Left Winger,22.0,New Zealand,Eastern Suburbs AFC,€150k,CONMEBOL,
Ollie van Rijssel,Central Midfield,24.0,New Zealand,Christchurch United,€150k,CONMEBOL,
Fin Roa Conchie,Central Midfield,21.0,New Zealand,Wellington Phoenix,€150k,CONMEBOL,
Oscar Mason,Goalkeeper,20.0,New Zealand,Western Springs AFC,€250k,CONMEBOL,
Lukas Kelly-Heald,Left-Back,20.0,New Zealand,Wellington Phoenix,€300k,CONMEBOL,
Alex Greive,Centre-Forward,26.0,New Zealand,San Antonio FC,€300k,CONMEBOL,
Matt Dibley-Dias,Central Midfield,21.0,New Zealand,Chesterfield FC,€300k,CONMEBOL,
Kyle Adams,Centre-Back,28.0,New Zealand,Louisville City FC,€300k,CONMEBOL,
Elijah Just,Right Winger,25.0,New Zealand,Motherwell FC,€300k,CONMEBOL,
Callan Elliot,Right-Back,26.0,New Zealand,Auckland FC,€300k,CONMEBOL,
Max Mata,Centre-Forward,25.0,New Zealand,Shrewsbury Town,€300k,CONMEBOL,
Sarpreet Singh,Attacking Midfield,26.0,New Zealand,FK TSC Backa Topola,€300k,CONMEBOL,
Nathan Lobo,Left-Back,22.0,New Zealand,Auckland City FC,€275k,CONMEBOL,
Moses Dyer,Centre-Forward,28.0,New Zealand,Phnom Penh Crown,€275k,CONMEBOL,
Storm Roux,Right-Back,32.0,New Zealand,Central Coast Mariners,€275k,CONMEBOL,
Abiezer Jeno,Defensive Midfield,25.0,Neukaledonien,Without Club,€250k,CONMEBOL,
Nathan Walker,Left Winger,19.0,New Zealand,Wellington Phoenix,€250k,CONMEBOL,
Luis Toomey,Central Midfield,24.0,New Zealand,Without Club,€250k,CONMEBOL,
Ryan Lee,Right-Back,18.0,New Zealand,Wellington Phoenix FC Reserves,€150k,CONMEBOL,
Luke Jorgensen,Defensive Midfield,25.0,New Zealand,Without Club,€250k,CONMEBOL,
Myer Bevan,Centre-Forward,28.0,New Zealand,Auckland City FC,€250k,CONMEBOL,
Sam Philip,Centre-Forward,26.0,New Zealand,Birkenhead United,€250k,CONMEBOL,
James McGarry,Left-Back,27.0,New Zealand,Brisbane Roar,€250k,CONMEBOL,
Reid Drake,Central Midfield,29.0,New Zealand,Western Springs AFC,€250k,CONMEBOL,
Adam Mitchell,Centre-Back,29.0,New Zealand,Auckland City FC,€250k,CONMEBOL,
Marco Rojas,Right Winger,33.0,New Zealand,Without Club,€250k,CONMEBOL,
Dylan Gardiner,Centre-Back,19.0,New Zealand,Wellington Phoenix FC Reserves,€225k,CONMEBOL,
Regan Diver,Goalkeeper,22.0,New Zealand,Hibiscus Coast AFC,€225k,CONMEBOL,
Oskar van Hattum,Right Winger,23.0,New Zealand,Sligo Rovers,€225k,CONMEBOL,
Dino Botica,Centre-Back,26.0,New Zealand,Birkenhead United,€225k,CONMEBOL,
Jacob Mechell,Centre-Forward,26.0,New Zealand,Eastern Suburbs AFC,€225k,CONMEBOL,
Jack-Henry Sinclair,Right Winger,27.0,New Zealand,Wellington Olympic AFC,€225k,CONMEBOL,
Kosta Barbarouses,Centre-Forward,35.0,New Zealand,Western Sydney Wanderers,€350k,CONMEBOL,
Cameron Howieson,Central Midfield,30.0,New Zealand,Auckland FC,€350k,CONMEBOL,
Oliver Sail,Goalkeeper,29.0,New Zealand,Perth Glory,€350k,CONMEBOL,
Sam Sutton,Left-Back,23.0,New Zealand,Perth Glory,€350k,CONMEBOL,
Chris Wood,Centre-Forward,33.0,New Zealand,Nottingham Forest,€10.00m,CONMEBOL,
Marko Stamenic,Defensive Midfield,23.0,New Zealand,Nottingham Forest,€3.00m,CONMEBOL,
Liberato Cacace,Left-Back,24.0,New Zealand,Wrexham AFC,€3.00m,CONMEBOL,
Joe Bell,Defensive Midfield,26.0,New Zealand,Viking FK,€2.00m,CONMEBOL,
Tyler Bindon,Centre-Back,20.0,New Zealand,Sheffield United,€1.20m,CONMEBOL,
Callum McCowatt,Right Winger,26.0,New Zealand,Silkeborg IF,€1.20m,CONMEBOL,
Finn Surman,Centre-Back,21.0,New Zealand,Portland Timbers,€800k,CONMEBOL,
Alex Paulsen,Goalkeeper,23.0,New Zealand,AFC Bournemouth,€750k,CONMEBOL,
Ben Old,Left Winger,22.0,New Zealand,AS Saint-Étienne,€700k,CONMEBOL,
Ryan Thomas,Central Midfield,30.0,New Zealand,PEC Zwolle,€700k,CONMEBOL,
Andre de Jong,Attacking Midfield,28.0,New Zealand,Stellenbosch FC,€600k,CONMEBOL,
Alex Rufer,Defensive Midfield,29.0,New Zealand,Wellington Phoenix,€600k,CONMEBOL,
Francis de Vries,Left-Back,30.0,New Zealand,Auckland FC,€600k,CONMEBOL,
Ben Waine,Centre-Forward,24.0,New Zealand,Port Vale FC,€550k,CONMEBOL,
Brian Kaltak,Centre-Back,31.0,Vanuatu,Perth Glory,€450k,CONMEBOL,
Nando Pijnaker,Centre-Back,26.0,New Zealand,Auckland FC,€450k,CONMEBOL,
Logan Rogerson,Right Winger,27.0,New Zealand,Auckland FC,€450k,CONMEBOL,
Tim Payne,Right-Back,31.0,New Zealand,Wellington Phoenix,€450k,CONMEBOL,
Matthew Garbett,Central Midfield,23.0,New Zealand,Without Club,€400k,CONMEBOL,
Dane Ingham,Right-Back,26.0,New Zealand,Sabah FC,€400k,CONMEBOL,
Bill Tuiloma,Centre-Back,30.0,New Zealand,Charlotte FC,€400k,CONMEBOL,
Lachlan Bayliss,Central Midfield,22.0,New Zealand,Newcastle United Jets,€350k,CONMEBOL,
Isaac Hughes,Centre-Back,21.0,New Zealand,Wellington Phoenix,€350k,CONMEBOL,
Corban Piper,Centre-Back,22.0,New Zealand,Wellington Phoenix,€350k,CONMEBOL,
Liam Gillion,Left Winger,22.0,New Zealand,Auckland FC,€350k,CONMEBOL,
Matthew Sheridan,Central Midfield,21.0,New Zealand,Wellington Phoenix,€350k,CONMEBOL,
Jesse Randall,Right Winger,22.0,New Zealand,Auckland FC,€350k,CONMEBOL,
Max Crocombe,Goalkeeper,31.0,New Zealand,Millwall FC,€225k,CONMEBOL,
Benjamin Mata,Centre-Back,26.0,Cookinseln,Wellington Olympic AFC,€200k,CONMEBOL,
Jaushua Sotirio,Centre-Forward,29.0,Neukaledonien,Without Club,€200k,CONMEBOL,
Joseph Lee,Left Winger,23.0,New Zealand,Auckland City FC,€175k,CONMEBOL,
Christian Gray,Centre-Back,28.0,New Zealand,Auckland City FC,€175k,CONMEBOL,
Elliot Collier,Centre-Forward,30.0,New Zealand,Indy Eleven,€175k,CONMEBOL,
Angus Kilkolly,Centre-Forward,29.0,New Zealand,Auckland City FC,€175k,CONMEBOL,
Joel Stevens,Left Winger,30.0,New Zealand,Christchurch United,€175k,CONMEBOL,
Justin Gulley,Centre-Back,32.0,New Zealand,Wellington Olympic AFC,€175k,CONMEBOL,
Callum Simmonds,Defensive Midfield,29.0,New Zealand,Without Club,€150k,CONMEBOL,
Setareki Hughes,Attacking Midfield,29.0,Fiji,Rewa FA,€150k,CONMEBOL,
Colby Brennan,Right Winger,,New Zealand,Tauranga City AFC,€150k,CONMEBOL,
Mason Stearn,Central Midfield,,New Zealand,Coastal Spirit FC,€150k,CONMEBOL,
Ratu Waranaivalu,Attacking Midfield,29.0,Fiji,Rewa FA,€150k,CONMEBOL,
Patrick Joseph,Defensive Midfield,27.0,Fiji,Rewa FA,€150k,CONMEBOL,
Christopher Wasasala,Centre-Forward,30.0,Fiji,Labasa FC,€150k,CONMEBOL,
Oliver Middleton,Central Midfield,19.0,New Zealand,Auckland FC,€150k,CONMEBOL,
Weston Bell,Right-Back,,New Zealand,Coastal Spirit FC,€150k,CONMEBOL,
Jay Herdman,Attacking Midfield,20.0,New Zealand,Cavalry FC,€150k,CONMEBOL,
Ben Wallace,Central Midfield,21.0,New Zealand,Western Springs AFC,€150k,CONMEBOL,
Sairusi Nalaubu,Centre-Forward,28.0,Fiji,Navua FC,€150k,CONMEBOL,
Ivan Kumar,Central Midfield,28.0,Fiji,Rewa FA,€150k,CONMEBOL,
Joe Hoole,Central Midfield,23.0,New Zealand,Coastal Spirit FC,€150k,CONMEBOL,
Liam Molloy,Attacking Midfield,22.0,New Zealand,Tauranga City AFC,€150k,CONMEBOL,
Daniel Atkinson,Right Winger,22.0,New Zealand,Auckland United FC,€150k,CONMEBOL,
Adama Coulibaly,Centre-Back,20.0,New Zealand,Auckland FC,€150k,CONMEBOL,
Theo Ettema,Defensive Midfield,21.0,New Zealand,Miramar Rangers AFC,€150k,CONMEBOL,
Epeli Valevou,Midfield,24.0,Fiji,Rewa FA,€150k,CONMEBOL,
Adam Supyk,Left-Back,21.0,New Zealand,Wellington Olympic AFC,€150k,CONMEBOL,
Isikeli Sevanaia,Goalkeeper,22.0,Fiji,Lautoka FC,€150k,CONMEBOL,
Sebastian Barton-Ginger,Left Winger,20.0,New Zealand,Western Suburbs FC,€150k,CONMEBOL,
Kelvin Kalua,Right-Back,26.0,New Zealand,Eastern Suburbs AFC,€175k,CONMEBOL,
Haris Zeb,Left Winger,24.0,New Zealand,Auckland City FC,€175k,CONMEBOL,
Stipe Ukich,Centre-Forward,18.0,New Zealand,NK Istra 1961 U19,€200k,CONMEBOL,
