name,position,age,nation,club,value
Maurits Kjaergaard,Central Midfield,22,Denmark,Red Bull Salzburg,€10.00m
Azzedine Ounahi,Central Midfield,25,Morocco,Olympique Marseille,€10.00m
Daniel Maldini,Attacking Midfield,23,Italy,Atalanta BC,€10.00m
Artem Bondarenko,Attacking Midfield,24,Ukraine,Shakhtar Donetsk,€10.00m
Stephen Eustaquio,Central Midfield,28,Canada,FC Porto,€10.00m
Pavel Sulc,Attacking Midfield,24,Czech Republic,FC Viktoria Plzen,€10.00m
Lucas Da Cunha,Central Midfield,24,France,Como 1907,€10.00m
Antonio Blanco,Defensive Midfield,24,Spain,Deportivo Alavés,€10.00m
Ao Tanaka,Defensive Midfield,26,Japan,Leeds United,€10.00m
Mads Bidstrup,Central Midfield,24,Denmark,Red Bull Salzburg,€10.00m
Patrick Osterhage,Defensive Midfield,25,Germany,SC Freiburg,€10.00m
Tommy Doyle,Central Midfield,23,England,Birmingham City,€10.00m
Toni Fruk,Attacking Midfield,24,Croatia,HNK Rijeka,€10.00m
Nicolas Raskin,Central Midfield,24,Belgium,Rangers FC,€10.00m
Oliver Skipp,Defensive Midfield,24,England,Leicester City,€10.00m
Oscar,Central Midfield,27,Liberia,SK Slavia Prague,€10.00m
Batista Mendy,Defensive Midfield,25,France,Trabzonspor,€10.00m
Salvatore Esposito,Defensive Midfield,24,Italy,Spezia Calcio,€10.00m
André Almeida,Attacking Midfield,25,Portugal,Valencia CF,€10.00m
In-beom Hwang,Central Midfield,28,"Korea, South",Feyenoord Rotterdam,€10.00m
Peer Koopmeiners,Defensive Midfield,25,Netherlands,AZ Alkmaar,€10.00m
Guido Rodríguez,Defensive Midfield,31,Argentina,West Ham United,€10.00m
Philip Billing,Central Midfield,29,Denmark,AFC Bournemouth,€10.00m
Dani Ceballos,Central Midfield,28,Spain,Real Madrid,€10.00m
Jefferson Savarino,Attacking Midfield,28,Venezuela,Botafogo de Futebol e Regatas,€10.00m
Sammie Szmodics,Attacking Midfield,29,Ireland,Ipswich Town,€10.00m
Jefferson Lerma,Defensive Midfield,30,Colombia,Crystal Palace,€10.00m
Talisca,Attacking Midfield,31,Brazil,Fenerbahce,€10.00m
Xaver Schlager,Central Midfield,27,Austria,RB Leipzig,€10.00m
Mario Pasalić,Central Midfield,30,Croatia,Atalanta BC,€10.00m
Ruben Loftus-Cheek,Central Midfield,29,England,AC Milan,€10.00m
Fred,Central Midfield,32,Brazil,Fenerbahce,€10.00m
Maximilian Eggestein,Central Midfield,28,Germany,SC Freiburg,€10.00m
Ryan Christie,Defensive Midfield,30,Scotland,AFC Bournemouth,€10.00m
Seko Fofana,Central Midfield,30,Cote d'Ivoire,Stade Rennais FC,€10.00m
Piotr Zieliński,Central Midfield,31,Poland,Inter Milan,€10.00m
Marcelo Brozović,Defensive Midfield,32,Croatia,Al-Nassr FC,€10.00m
Marco Verratti,Central Midfield,32,Italy,Al-Duhail SC,€10.00m
Casemiro,Defensive Midfield,33,Brazil,Manchester United,€10.00m
Andrea Colpani,Attacking Midfield,26,Italy,AC Monza,€9.50m
Mahamadou Doumbia,Central Midfield,21,Mali,Royal Antwerp FC,€9.00m
Ismaël Koné,Central Midfield,23,Canada,Olympique Marseille,€9.00m
Pablo Maia,Defensive Midfield,23,Brazil,São Paulo Futebol Clube,€9.00m
Stefan Bajcetic,Defensive Midfield,20,Spain,Liverpool FC,€9.00m
Farès Chaïbi,Attacking Midfield,22,Algeria,Eintracht Frankfurt,€9.00m
Felipe Loyola,Central Midfield,24,Chile,CA Independiente,€9.00m
Mathias Delorge,Central Midfield,20,Belgium,KAA Gent,€9.00m
Tim Iroegbunam,Central Midfield,22,England,Everton FC,€9.00m
Sven Mijnans,Attacking Midfield,25,Netherlands,AZ Alkmaar,€9.00m
Kristian Thorstvedt,Attacking Midfield,26,Norway,US Sassuolo,€9.00m
Arsen Zakharyan,Attacking Midfield,22,Russia,Real Sociedad,€9.00m
Ivan Oblyakov,Attacking Midfield,27,Russia,CSKA Moscow,€9.00m
Tommaso Pobega,Central Midfield,26,Italy,AC Milan,€9.00m
Senne Lynen,Defensive Midfield,26,Belgium,SV Werder Bremen,€9.00m
Valentin Rongier,Central Midfield,30,France,Stade Rennais FC,€9.00m
Pepelu,Defensive Midfield,26,Spain,Valencia CF,€9.00m
Mahdi Camara,Central Midfield,27,France,Stade Brestois 29,€9.00m
Lorenzo Pellegrini,Attacking Midfield,29,Italy,AS Roma,€9.00m
Álvaro Fidalgo,Central Midfield,28,Spain,CF América,€9.00m
Aleksey Miranchuk,Attacking Midfield,29,Russia,Atlanta United FC,€9.00m
Harry Winks,Defensive Midfield,29,England,Leicester City,€9.00m
Robert Andrich,Defensive Midfield,30,Germany,Bayer 04 Leverkusen,€9.00m
Amir Richardson,Central Midfield,23,Morocco,ACF Fiorentina,€8.50m
Hans Nicolussi Caviglia,Central Midfield,25,Italy,Venezia FC,€8.50m
Houssem Aouar,Attacking Midfield,27,Algeria,Al-Ittihad Club,€8.50m
Diego Rossi,Attacking Midfield,27,Uruguay,Columbus Crew,€8.50m
Sandi Lovrić,Central Midfield,27,Slovenia,Udinese Calcio,€8.50m
Jorthy Mokio,Defensive Midfield,17,Belgium,Ajax Amsterdam,€8.00m
Gabriel Moscardo,Defensive Midfield,19,Brazil,SC Braga,€8.00m
Ibrahima Sory Bangoura,Defensive Midfield,21,Guinea,KRC Genk,€8.00m
Djaoui Cissé,Central Midfield,21,France,Stade Rennais FC,€8.00m
Johan Manzambi,Central Midfield,19,Switzerland,SC Freiburg,€8.00m
Lennon Miller,Central Midfield,18,Scotland,Motherwell FC,€8.00m
Pablo Marín,Attacking Midfield,22,Spain,Real Sociedad,€8.00m
Diego Luna,Left Midfield,21,United States,Real Salt Lake City,€8.00m
Kevin Castaño,Defensive Midfield,24,Colombia,CA River Plate,€8.00m
Arthur Atta,Central Midfield,22,France,Udinese Calcio,€8.00m
Paxten Aaronson,Central Midfield,21,United States,Eintracht Frankfurt,€8.00m
Abbosbek Fayzullaev,Attacking Midfield,21,Uzbekistan,CSKA Moscow,€8.00m
Kévin Danois,Central Midfield,21,France,AJ Auxerre,€8.00m
Jordan James,Central Midfield,21,Wales,Stade Rennais FC,€8.00m
Cristian Medina,Central Midfield,23,Argentina,Club Estudiantes de La Plata,€8.00m
Christian,Central Midfield,24,Brazil,Cruzeiro Esporte Clube,€8.00m
Mohamed Diomandé,Central Midfield,23,Cote d'Ivoire,Rangers FC,€8.00m
Matvey Kislyak,Central Midfield,19,Russia,CSKA Moscow,€8.00m
Lucas Gourna-Douath,Defensive Midfield,21,France,Red Bull Salzburg,€8.00m
Érik Lira,Defensive Midfield,25,Mexico,CD Cruz Azul,€8.00m
Jean Lucas,Central Midfield,27,Brazil,Esporte Clube Bahia,€8.00m
Danil Glebov,Defensive Midfield,25,Russia,Dynamo Moscow,€8.00m
Lucien Agoumé,Defensive Midfield,23,France,Sevilla FC,€8.00m
Sergio Arribas,Attacking Midfield,23,Spain,UD Almería,€8.00m
Anass Zaroury,Attacking Midfield,24,Morocco,RC Lens,€8.00m
Rodrigo Nestor,Central Midfield,24,Brazil,Esporte Clube Bahia,€8.00m
Marco Brescianini,Central Midfield,25,Italy,Atalanta BC,€8.00m
Mathías Villasanti,Defensive Midfield,28,Paraguay,Grêmio Foot-Ball Porto Alegrense,€8.00m
Aleksandr Chernikov,Defensive Midfield,25,Russia,FC Krasnodar,€8.00m
Fran Beltrán,Central Midfield,26,Spain,Celta de Vigo,€8.00m
Daniil Fomin,Defensive Midfield,28,Russia,Dynamo Moscow,€8.00m
Albert Sambi Lokonga,Central Midfield,25,Belgium,Arsenal FC,€8.00m
Santi Comesaña,Central Midfield,28,Spain,Villarreal CF,€8.00m
Moatasem Al-Musrati,Defensive Midfield,29,Libya,Besiktas JK,€8.00m
Amine Harit,Attacking Midfield,28,Morocco,Olympique Marseille,€8.00m
Pablo Rosario,Defensive Midfield,28,Dominican Republic,OGC Nice,€8.00m
Luis Chávez,Defensive Midfield,29,Mexico,Dynamo Moscow,€8.00m
Michal Sadílek,Central Midfield,26,Czech Republic,SK Slavia Prague,€8.00m
Timi Max Elsnik,Central Midfield,27,Slovenia,Red Star Belgrade,€8.00m
Azor Matusiwa,Defensive Midfield,27,Netherlands,Ipswich Town,€8.00m
Nikola Vlašić,Attacking Midfield,27,Croatia,Torino FC,€8.00m
Dmitriy Barinov,Defensive Midfield,28,Russia,Lokomotiv Moscow,€8.00m
Wilmar Barrios,Defensive Midfield,31,Colombia,Zenit St. Petersburg,€8.00m
James Ward-Prowse,Central Midfield,30,England,West Ham United,€8.00m
Wataru Endo,Defensive Midfield,32,Japan,Liverpool FC,€8.00m
Marcel Sabitzer,Central Midfield,31,Austria,Borussia Dortmund,€8.00m
Koke,Central Midfield,33,Spain,Atlético de Madrid,€8.00m
Oscar Højlund,Central Midfield,20,Denmark,Eintracht Frankfurt,€7.50m
Sydie Peck,Central Midfield,20,England,Sheffield United,€7.50m
Kevin Paredes,Left Midfield,22,United States,VfL Wolfsburg,€7.50m
Marcel Ruiz,Central Midfield,24,Mexico,Deportivo Toluca,€7.50m
Dan Neil,Central Midfield,23,England,Sunderland AFC,€7.50m
Fisayo Dele-Bashiru,Attacking Midfield,24,Nigeria,SS Lazio,€7.50m
Mady Camara,Central Midfield,28,Guinea,PAOK Thessaloniki,€7.50m
Daniel Boloca,Defensive Midfield,26,Italy,US Sassuolo,€7.50m
Mateusz Bogusz,Attacking Midfield,23,Poland,CD Cruz Azul,€7.50m
Darius Olaru,Attacking Midfield,27,Romania,FCSB,€7.50m
Leonardo Fernández,Attacking Midfield,26,Uruguay,CA Peñarol,€7.50m
Gustavo Scarpa,Attacking Midfield,31,Brazil,Clube Atlético Mineiro,€7.50m
Ellyes Skhiri,Defensive Midfield,30,Tunisia,Eintracht Frankfurt,€7.50m
Michel Aebischer,Central Midfield,28,Switzerland,Bologna FC 1909,€7.50m
Djibril Sow,Central Midfield,28,Switzerland,Sevilla FC,€7.50m
Mario Lemina,Defensive Midfield,31,Gabon,Galatasaray,€7.50m
Christian Ordóñez,Central Midfield,20,Argentina,Parma Calcio 1913,€7.00m
Hércules,Central Midfield,24,Brazil,Fluminense Football Club,€7.00m
Ibrahim Sulemana,Defensive Midfield,22,Ghana,Atalanta BC,€7.00m
Jhon Jhon,Attacking Midfield,22,Brazil,Red Bull Bragantino,€7.00m
Assan Ouédraogo,Central Midfield,19,Germany,RB Leipzig,€7.00m
Muhammed Damar,Attacking Midfield,21,Germany,TSG 1899 Hoffenheim,€7.00m
Emiliano Martínez,Defensive Midfield,25,Uruguay,Sociedade Esportiva Palmeiras,€7.00m
Caspar Jander,Central Midfield,22,Germany,1.FC Nuremberg,€7.00m
Aljoscha Kemlein,Defensive Midfield,20,Germany,1.FC Union Berlin,€7.00m
