name,position,age,nation,club,value,confederation,league
Anel Ahmedhodzic,Centre-Back,26,Bosnia-Herzegovina,Sheffield United,€18.00m,OFC,
Carlos Soler,Central Midfield,28,Spain,Paris Saint-Germain,€18.00m,OFC,
Jaka Bijol,Centre-Back,26,Slovenia,Leeds United,€18.00m,OFC,
Joel Piroe,Centre-Forward,25,Netherlands,Leeds United,€18.00m,OFC,
Fran Garcia,Left-Back,25,Spain,Real Madrid,€18.00m,OFC,
Eddie Nketiah,Centre-Forward,26,England,Crystal Palace,€18.00m,OFC,
Konstantinos Tsimikas,Left-Back,29,Greece,Liverpool FC,€18.00m,OFC,
Gedson Fernandes,Central Midfield,26,Portugal,Besiktas JK,€18.00m,OFC,
Robin Koch,Centre-Back,29,Germany,Eintracht Frankfurt,€18.00m,OFC,
Kristoffer Ajer,Centre-Back,27,Norway,Brentford FC,€18.00m,OFC,
Daniel James,Right Winger,27,Wales,Leeds United,€18.00m,OFC,
Albert Gudmundsson,Second Striker,28,Iceland,ACF Fiorentina,€18.00m,OFC,
Michele Di Gregorio,Goalkeeper,28,Italy,Juventus FC,€18.00m,OFC,
Orel Mangala,Defensive Midfield,27,Belgium,Olympique Lyon,€18.00m,OFC,
Gustav Isaksen,Right Winger,24,Denmark,SS Lazio,€20.00m,OFC,
Marcin Bulka,Goalkeeper,25,Poland,NEOM SC,€20.00m,OFC,
Tyler Dibling,Right Winger,19,England,Southampton FC,€25.00m,OFC,
Ruben Neves,Defensive Midfield,28,Portugal,Al-Hilal SFC,€25.00m,OFC,
Riccardo Orsolini,Right Winger,28,Italy,Bologna FC 1909,€25.00m,OFC,
Benjamin Pavard,Centre-Back,29,France,Inter Milan,€25.00m,OFC,
Mikel Oyarzabal,Centre-Forward,28,Spain,Real Sociedad,€25.00m,OFC,
Trevoh Chalobah,Centre-Back,26,England,Chelsea FC,€25.00m,OFC,
Noa Lang,Left Winger,26,Netherlands,SSC Napoli,€25.00m,OFC,
Mile Svilar,Goalkeeper,25,Serbia,AS Roma,€25.00m,OFC,
Sander Berge,Defensive Midfield,27,Norway,Fulham FC,€25.00m,OFC,
Donyell Malen,Right Winger,26,Netherlands,Aston Villa,€25.00m,OFC,
Marcos Llorente,Right Midfield,30,Spain,Atlético de Madrid,€25.00m,OFC,
Lucas Hernandez,Left-Back,29,France,Paris Saint-Germain,€25.00m,OFC,
Kevin Danso,Centre-Back,26,Austria,Tottenham Hotspur,€25.00m,OFC,
Ivan Toney,Centre-Forward,29,England,Al-Ahli SFC,€25.00m,OFC,
Alexander Sorloth,Centre-Forward,29,Norway,Atlético de Madrid,€25.00m,OFC,
Konrad Laimer,Right-Back,28,Austria,Bayern Munich,€25.00m,OFC,
Kiernan Dewsbury-Hall,Central Midfield,26,England,Chelsea FC,€20.00m,OFC,
Stanislav Lobotka,Defensive Midfield,30,Slovakia,SSC Napoli,€25.00m,OFC,
Julian Brandt,Attacking Midfield,29,Germany,Borussia Dortmund,€25.00m,OFC,
John Stones,Centre-Back,31,England,Manchester City,€25.00m,OFC,
Adrien Rabiot,Central Midfield,30,France,Olympique Marseille,€25.00m,OFC,
Mike Maignan,Goalkeeper,30,France,AC Milan,€25.00m,OFC,
Nathan Ake,Centre-Back,30,Netherlands,Manchester City,€25.00m,OFC,
Jack Hinshelwood,Central Midfield,20,England,Brighton & Hove Albion,€24.00m,OFC,
Conrad Harder,Centre-Forward,20,Denmark,Sporting CP,€24.00m,OFC,
Federico Gatti,Centre-Back,27,Italy,Juventus FC,€24.00m,OFC,
Paul Nebel,Attacking Midfield,22,Germany,1.FSV Mainz 05,€24.00m,OFC,
Kerem Akturkoglu,Left Winger,26,Türkiye,SL Benfica,€24.00m,OFC,
Josip Sutalo,Centre-Back,25,Croatia,Ajax Amsterdam,€24.00m,OFC,
Arthur Theate,Centre-Back,25,Belgium,Eintracht Frankfurt,€24.00m,OFC,
Ferdi Kadioglu,Left-Back,25,Türkiye,Brighton & Hove Albion,€25.00m,OFC,
Callum Hudson-Odoi,Left Winger,24,England,Nottingham Forest,€25.00m,OFC,
Giacomo Raspadori,Second Striker,25,Italy,SSC Napoli,€25.00m,OFC,
Joey Veerman,Central Midfield,26,Netherlands,PSV Eindhoven,€25.00m,OFC,
Javi Guerra,Central Midfield,22,Spain,Valencia CF,€25.00m,OFC,
Renato Veiga,Centre-Back,21,Portugal,Chelsea FC,€25.00m,OFC,
Pietro Comuzzo,Centre-Back,20,Italy,ACF Fiorentina,€25.00m,OFC,
Alberto Moleiro,Left Winger,21,Spain,Villarreal CF,€25.00m,OFC,
Tyrick Mitchell,Left-Back,25,England,Crystal Palace,€25.00m,OFC,
Loic Bade,Centre-Back,25,France,Sevilla FC,€25.00m,OFC,
Brajan Gruda,Right Winger,21,Germany,Brighton & Hove Albion,€25.00m,OFC,
Konstantinos Koulierakis,Centre-Back,21,Greece,VfL Wolfsburg,€25.00m,OFC,
Oscar Bobb,Right Winger,22,Norway,Manchester City,€25.00m,OFC,
Evan Ferguson,Centre-Forward,20,Ireland,AS Roma,€25.00m,OFC,
Jean-Clair Todibo,Centre-Back,25,France,West Ham United,€25.00m,OFC,
Dwight McNeil,Left Winger,25,England,Everton FC,€25.00m,OFC,
Maximilian Beier,Centre-Forward,22,Germany,Borussia Dortmund,€25.00m,OFC,
Radu Dragusin,Centre-Back,23,Romania,Tottenham Hotspur,€25.00m,OFC,
Joan Garcia,Goalkeeper,24,Spain,FC Barcelona,€25.00m,OFC,
Emanuel Emegha,Centre-Forward,22,Netherlands,RC Strasbourg Alsace,€25.00m,OFC,
Dilane Bakwa,Right Winger,22,France,RC Strasbourg Alsace,€25.00m,OFC,
Nuno Tavares,Left-Back,25,Portugal,SS Lazio,€25.00m,OFC,
Maximilian Kilman,Centre-Back,28,England,West Ham United,€25.00m,OFC,
Eduard Spertsyan,Attacking Midfield,25,Armenia,FC Krasnodar,€25.00m,OFC,
Edon Zhegrova,Right Winger,26,Kosovo,LOSC Lille,€25.00m,OFC,
Wesley Fofana,Centre-Back,24,France,Chelsea FC,€25.00m,OFC,
Marco Carnesecchi,Goalkeeper,25,Italy,Atalanta BC,€25.00m,OFC,
Christos Tzolis,Left Winger,23,Greece,Club Brugge KV,€25.00m,OFC,
Maxence Lacroix,Centre-Back,25,France,Crystal Palace,€25.00m,OFC,
Matty Cash,Right-Back,27,Poland,Aston Villa,€25.00m,OFC,
Mats Wieffer,Defensive Midfield,25,Netherlands,Brighton & Hove Albion,€25.00m,OFC,
Raoul Bellanova,Right Midfield,25,Italy,Atalanta BC,€24.00m,OFC,
Gianluca Scamacca,Centre-Forward,26,Italy,Atalanta BC,€24.00m,OFC,
Mohamed Simakan,Centre-Back,25,France,Al-Nassr FC,€23.00m,OFC,
Jerdy Schouten,Defensive Midfield,28,Netherlands,PSV Eindhoven,€22.00m,OFC,
Ermedin Demirovic,Centre-Forward,27,Bosnia-Herzegovina,VfB Stuttgart,€22.00m,OFC,
Brais Mendez,Attacking Midfield,28,Spain,Real Sociedad,€22.00m,OFC,
Serge Gnabry,Left Winger,30,Germany,Bayern Munich,€22.00m,OFC,
Leon Goretzka,Central Midfield,30,Germany,Bayern Munich,€22.00m,OFC,
Leandro Trossard,Left Winger,30,Belgium,Arsenal FC,€22.00m,OFC,
Romelu Lukaku,Centre-Forward,32,Belgium,SSC Napoli,€22.00m,OFC,
Baris Alper Yilmaz,Left Winger,25,Türkiye,Galatasaray,€21.00m,OFC,
Konstantinos Karetsas,Attacking Midfield,17,Greece,KRC Genk,€20.00m,OFC,
Chris Rigg,Attacking Midfield,18,England,Sunderland AFC,€20.00m,OFC,
Thierno Barry,Centre-Forward,22,France,Everton FC,€20.00m,OFC,
Oscar Gloukh,Attacking Midfield,21,Israel,Red Bull Salzburg,€20.00m,OFC,
Finn Jeltsch,Centre-Back,19,Germany,VfB Stuttgart,€20.00m,OFC,
Guillaume Restes,Goalkeeper,20,France,FC Toulouse,€20.00m,OFC,
Mamadou Sarr,Centre-Back,19,France,Chelsea FC,€20.00m,OFC,
Alex Scott,Central Midfield,21,England,AFC Bournemouth,€20.00m,OFC,
Maxime Esteve,Centre-Back,23,France,Burnley FC,€20.00m,OFC,
Ange-Yoan Bonny,Centre-Forward,21,France,Inter Milan,€20.00m,OFC,
Wilson Odobert,Right Winger,20,France,Tottenham Hotspur,€20.00m,OFC,
Dario Essugo,Defensive Midfield,20,Portugal,Chelsea FC,€20.00m,OFC,
Jarell Quansah,Centre-Back,22,England,Bayer 04 Leverkusen,€20.00m,OFC,
Ryan Flamingo,Centre-Back,22,Netherlands,PSV Eindhoven,€20.00m,OFC,
James McAtee,Attacking Midfield,22,England,Manchester City,€20.00m,OFC,
Miguel Gutierrez,Left-Back,24,Spain,Girona FC,€20.00m,OFC,
Jamie Leweling,Right Winger,24,Germany,VfB Stuttgart,€20.00m,OFC,
Fabio Silva,Centre-Forward,23,Portugal,Wolverhampton Wanderers,€20.00m,OFC,
Morten Frendrup,Central Midfield,24,Denmark,Genoa CFC,€20.00m,OFC,
Neco Williams,Right-Back,24,Wales,Nottingham Forest,€20.00m,OFC,
Joe Willock,Central Midfield,25,England,Newcastle United,€22.00m,OFC,
Florentino,Defensive Midfield,25,Portugal,SL Benfica,€22.00m,OFC,
Keane Lewis-Potter,Left-Back,24,England,Brentford FC,€23.00m,OFC,
Axel Disasi,Centre-Back,27,France,Chelsea FC,€22.00m,OFC,
Virgil van Dijk,Centre-Back,34,Netherlands,Liverpool FC,€23.00m,OFC,
Stefanos Tzimas,Centre-Forward,19,Greece,Brighton & Hove Albion,€22.00m,OFC,
Arthur Vermeeren,Defensive Midfield,20,Belgium,RB Leipzig,€22.00m,OFC,
Lewis Miley,Central Midfield,19,England,Newcastle United,€22.00m,OFC,
Roger,Right Winger,19,Portugal,SC Braga,€22.00m,OFC,
Jobe Bellingham,Central Midfield,19,England,Borussia Dortmund,€22.00m,OFC,
Omari Hutchinson,Attacking Midfield,21,England,Ipswich Town,€22.00m,OFC,
Georges Mikautadze,Centre-Forward,24,Georgia,Olympique Lyon,€22.00m,OFC,
Nathaniel Brown,Left-Back,22,Germany,Eintracht Frankfurt,€22.00m,OFC,
Yasin Ayari,Central Midfield,21,Sweden,Brighton & Hove Albion,€22.00m,OFC,
Elye Wahi,Centre-Forward,22,France,Eintracht Frankfurt,€22.00m,OFC,
Wilfried Gnonto,Right Winger,21,Italy,Leeds United,€22.00m,OFC,
Leif Davis,Left-Back,25,England,Ipswich Town,€22.00m,OFC,
Aitor Paredes,Centre-Back,25,Spain,Athletic Bilbao,€22.00m,OFC,
Arnaud Kalimuendo,Centre-Forward,23,France,Stade Rennais FC,€22.00m,OFC,
Martin Baturina,Attacking Midfield,22,Croatia,Como 1907,€22.00m,OFC,
Lorenzo Lucca,Centre-Forward,24,Italy,SSC Napoli,€22.00m,OFC,
Chrislain Matsima,Centre-Back,23,France,FC Augsburg,€22.00m,OFC,
James Trafford,Goalkeeper,22,England,Burnley FC,€22.00m,OFC,
Sepp van den Berg,Centre-Back,23,Netherlands,Brentford FC,€22.00m,OFC,
Fabio Vieira,Attacking Midfield,25,Portugal,Arsenal FC,€22.00m,OFC,
Taylor Harwood-Bellis,Centre-Back,23,England,Southampton FC,€22.00m,OFC,
Koni De Winter,Centre-Back,23,Belgium,Genoa CFC,€22.00m,OFC,
Crysencio Summerville,Left Winger,23,Netherlands,West Ham United,€22.00m,OFC,
Brian Brobbey,Centre-Forward,23,Netherlands,Ajax Amsterdam,€22.00m,OFC,
Benoit Badiashile,Centre-Back,24,France,Chelsea FC,€22.00m,OFC,
Matt O'Riley,Central Midfield,24,Denmark,Brighton & Hove Albion,€22.00m,OFC,
Lamine Yamal,Right Winger,18,Spain,FC Barcelona,€200.00m,OFC,
Ivan Ilic,Central Midfield,24,Serbia,Torino FC,€16.00m,OFC,
Nathan Walker,Left Winger,19,New Zealand,Wellington Phoenix,€250k,CONMEBOL,
Timothy Fenton,Defensive Midfield,28,New Zealand,Miramar Rangers AFC,€125k,CONMEBOL,
Akeimi Ralulu,Defender,27,Fiji,Labasa FC,€125k,CONMEBOL,
Isaac Bates,Defender,18,New Zealand,Eastern Suburbs AFC,€125k,CONMEBOL,
Daniel Makowem,Centre-Forward,20,New Zealand,Wellington Phoenix FC Reserves,€125k,CONMEBOL,
Jovilisi Borisi,Goalkeeper,27,Fiji,Navua FC,€125k,CONMEBOL,
Vinal Prasad,Defender,28,Fiji,Navua FC,€125k,CONMEBOL,
Ilaisa Vulimainavuso,Midfield,28,Fiji,Ba FC,€125k,CONMEBOL,
Ralph Rutherford,Right Winger,20,New Zealand,Auckland FC Reserves,€125k,CONMEBOL,
Shivam Naidu,Left Midfield,25,Fiji,Lautoka FC,€125k,CONMEBOL,
Jackson Jarvie,Right-Back,22,New Zealand,Eastern Suburbs AFC,€125k,CONMEBOL,
Finn Caughey,Centre-Forward,20,New Zealand,Cashmere Technical FC,€125k,CONMEBOL,
James Brittain,Midfield,21,New Zealand,Cashmere Technical FC,€125k,CONMEBOL,
Ilisoni Lolaivalu,Centre-Forward,31,Fiji,Labasa FC,€125k,CONMEBOL,
Zachary Chung,Left Winger,20,New Zealand,Birkenhead United,€125k,CONMEBOL,
Thomas Dunn,Attacking Midfield,22,Fiji,Eastern Suburbs AFC,€125k,CONMEBOL,
Sitiveni Rakai,Defender,29,Fiji,Labasa FC,€125k,CONMEBOL,
Ethan Richards,Central Midfield,21,New Zealand,Birkenhead United,€125k,CONMEBOL,
Everton O'Leary,Right-Back,20,New Zealand,Auckland FC Reserves,€125k,CONMEBOL,
Callum McNeill,Centre-Back,25,New Zealand,Bay Olympic FC,€125k,CONMEBOL,
Joseph Knowles,Goalkeeper,20,New Zealand,Auckland FC,€125k,CONMEBOL,
Oliver Fay,Left Winger,22,New Zealand,Auckland United FC,€125k,CONMEBOL,
Lachlan Candy,Attacking Midfield,19,New Zealand,Wellington Phoenix FC Reserves,€125k,CONMEBOL,
Rusiate Doidoi,Midfield,29,Fiji,Labasa FC,€125k,CONMEBOL,
Kalaveti Sivoi,Midfield,26,Fiji,Ba FC,€125k,CONMEBOL,
Riley Manuel,Central Midfield,20,New Zealand,Auckland United FC,€125k,CONMEBOL,
Sekove Naivakananumi,Defender,26,Fiji,Labasa FC,€125k,CONMEBOL,
Isake Naduvu,Defender,26,Fiji,Navua FC,€125k,CONMEBOL,
Anaru Cassidy,Defensive Midfield,19,New Zealand,Wellington Phoenix FC Reserves,€125k,CONMEBOL,
Ashneel Raju,Attack,30,Fiji,Labasa FC,€125k,CONMEBOL,
Isa Prins,Central Midfield,20,New Zealand,Wellington Olympic AFC,€125k,CONMEBOL,
Saula Waqa,Centre-Forward,29,Fiji,Lautoka FC,€125k,CONMEBOL,
Etonia Dogalau,Midfield,24,Fiji,Ba FC,€150k,CONMEBOL,
Riley Bidois,Centre-Forward,23,New Zealand,Loudoun United FC,€150k,CONMEBOL,
Adam Hewson,Left Winger,26,New Zealand,Napier City Rovers,€150k,CONMEBOL,
Iowane Matanisiga,Right-Back,24,Fiji,Rewa FA,€150k,CONMEBOL,
Oscar Browne,Centre-Back,26,New Zealand,Western Springs AFC,€150k,CONMEBOL,
Dalton Wilkins,Left-Back,26,New Zealand,Sönderjyske Fodbold,€150k,CONMEBOL,
Joe Champness,Left Winger,28,New Zealand,Without Club,€150k,CONMEBOL,
Asivorosi Rabo,Attack,20,Fiji,Rewa FA,€150k,CONMEBOL,
Delon Shankar,Midfield,18,Fiji,Rewa FA,€150k,CONMEBOL,
Michael Boxall,Centre-Back,36,New Zealand,Minnesota United FC,€150k,CONMEBOL,
Jimson Abana,Attack,20,Solomon Islands,Labasa FC,€150k,CONMEBOL,
Mohammad Mekawir,Centre-Forward,25,Solomon Islands,Navua FC,€150k,CONMEBOL,
Joe Moses,Left Midfield,23,Vanuatu,Suva FA,€125k,CONMEBOL,
Kaleb De Groot-Green,Centre-Back,23,Samoa,Coastal Spirit FC,€125k,CONMEBOL,
Nicholas Gaze,Central Midfield,20,New Zealand,Auckland FC Reserves,€125k,CONMEBOL,
Filipe Baravilala,Right-Back,30,Fiji,Navua FC,€125k,CONMEBOL,
Iosefo Verevou,Central Midfield,29,Fiji,Rewa FA,€125k,CONMEBOL,
Joby Reid,Right Winger,19,New Zealand,Eastern Suburbs AFC,€125k,CONMEBOL,
Ilimotama Jese,Centre-Back,35,Fiji,Lautoka FC,€125k,CONMEBOL,
Morgan Wellsbury,Centre-Forward,19,New Zealand,Tauranga City AFC,€125k,CONMEBOL,
Sakaraia Naisua,Left-Back,32,Fiji,Lautoka FC,€125k,CONMEBOL,
Atonio Tuivuna,Centre-Back,30,Fiji,Unknown,€125k,CONMEBOL,
Suliano Tawanakoro,Defender,28,Fiji,Ba FC,€125k,CONMEBOL,
Sitiveni Cavuilagi,Defensive Midfield,31,Fiji,Lautoka FC,€125k,CONMEBOL,
Epeli Leiroti,Right Midfield,30,Fiji,Lautoka FC,€125k,CONMEBOL,
Luke Mitchell,Central Midfield,18,New Zealand,Wellington Phoenix FC Reserves,€125k,CONMEBOL,
Peceli Sukabula,Right-Back,23,Fiji,Ba FC,€125k,CONMEBOL,
Samuel Navoce,Defender,22,Fiji,Ba FC,€125k,CONMEBOL,
Dion Buckingham,Centre-Back,25,New Zealand,West Coast Rangers,€100k,CONMEBOL,
Luke Brooke-Smith,Attacking Midfield,17,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Jayden Smith,Centre-Back,18,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Oscar Faulds,Centre-Forward,23,New Zealand,Union Titus Petange,€100k,CONMEBOL,
Luke Flowerdew,Centre-Forward,19,New Zealand,Wellington Phoenix FC Reserves,€100k,CONMEBOL,
Gabriel Sloane-Rodrigues,Right Winger,18,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Luke Supyk,Centre-Forward,19,New Zealand,Wellington Phoenix,€100k,CONMEBOL,
Caspar Mcgavin,Attack,19,New Zealand,Western Springs AFC,€100k,CONMEBOL,
Codey Phoenix,Left-Back,20,New Zealand,Auckland FC Reserves,€100k,CONMEBOL,
Ryan Watson,Attacking Midfield,20,New Zealand,Wellington Phoenix FC Reserves,€100k,CONMEBOL,
Conor Butler,Centre-Back,25,New Zealand,Miramar Rangers AFC,€100k,CONMEBOL,
Ry McLeod,Right-Back,21,New Zealand,Western Springs AFC,€100k,CONMEBOL,
Dublin Boon,Goalkeeper,20,New Zealand,Without Club,€100k,CONMEBOL,
Cameron Emerson,Defensive Midfield,29,New Zealand,Napier City Rovers,€125k,CONMEBOL,
Alifeleti Peini,Left Winger,20,New Zealand,Western Suburbs FC,€100k,CONMEBOL,
Jack De Groot,Goalkeeper,21,New Zealand,Miramar Rangers AFC,€100k,CONMEBOL,
Matthew Thomas,Right-Back,21,New Zealand,Western Springs AFC,€100k,CONMEBOL,
Abdallah Khaled,Centre-Back,22,New Zealand,Auckland United FC,€100k,CONMEBOL,
Yusuf van Dam,Centre-Forward,20,New Zealand,Cashmere Technical FC,€100k,CONMEBOL,
Rayan Tayeb,Attacking Midfield,21,New Zealand,Western Springs AFC,€100k,CONMEBOL,
Alex Ballard,Central Midfield,20,New Zealand,Cashmere Technical FC,€100k,CONMEBOL,
Fergus Gillion,Left Winger,20,New Zealand,Wellington Phoenix FC Reserves,€100k,CONMEBOL,
Hamed Basiri,Central Midfield,22,New Zealand,Birkenhead United,€100k,CONMEBOL,
Finn Diamond,Central Midfield,24,New Zealand,Western Suburbs FC,€100k,CONMEBOL,
Vadym Patkevych,Goalkeeper,21,New Zealand,CSC 03 Kassel,€100k,CONMEBOL,
Orlando Thorpe,Central Midfield,19,New Zealand,East Coast Bays AFC,€100k,CONMEBOL,
James Edgeler,Centre-Back,19,New Zealand,East Coast Bays AFC,€100k,CONMEBOL,
Van Fitzharris,Midfield,17,New Zealand,Tauranga City AFC,€100k,CONMEBOL,
Oscar Ramsay,Defensive Midfield,28,New Zealand,Without Club,€125k,CONMEBOL,
Kaelin Nguyen,Centre-Forward,22,New Zealand,Western Suburbs FC,€125k,CONMEBOL,
Marco Lorenz,Centre-Back,21,New Zealand,Auckland United FC,€125k,CONMEBOL,
Cameron MacKenzie,Central Midfield,25,New Zealand,Western Suburbs FC,€125k,CONMEBOL,
Roy Krishna,Centre-Forward,37,Fiji,Without Club,€125k,CONMEBOL,
Nicholas Milicich,Centre-Back,22,New Zealand,Bay Olympic FC,€125k,CONMEBOL,
Mitieli Naiviro,Defender,23,Fiji,Ba FC,€125k,CONMEBOL,
Ryan Verney,Central Midfield,23,New Zealand,Auckland United FC,€125k,CONMEBOL,
Nabil Begg,Attacking Midfield,21,Fiji,Ba FC,€125k,CONMEBOL,
Ellis Hare-Reid,Goalkeeper,26,New Zealand,Coastal Spirit FC,€125k,CONMEBOL,
George Stanger,Centre-Back,24,New Zealand,Kilmarnock FC,€125k,CONMEBOL,
Josh Rogerson,Centre-Back,25,New Zealand,Christchurch United,€125k,CONMEBOL,
Matthew Jones,Centre-Back,25,New Zealand,Napier City Rovers,€125k,CONMEBOL,
Matt Tod-Smith,Central Midfield,26,New Zealand,Cashmere Technical FC,€125k,CONMEBOL,
Simione Ragoneturaga,Attack,22,Fiji,Labasa FC,€125k,CONMEBOL,
Nik Tzanev,Goalkeeper,28,New Zealand,Newport County,€125k,CONMEBOL,
Noah Billingsley,Right-Back,27,New Zealand,Eastern Suburbs AFC,€125k,CONMEBOL,
Sailasa Ratu,Central Midfield,21,Fiji,Ba FC,€125k,CONMEBOL,
Penisoni Tirau,Midfield,32,Fiji,Ba FC,€125k,CONMEBOL,
Ryan De Vries,Centre-Forward,33,New Zealand,Auckland City FC,€125k,CONMEBOL,
James Musa,Defensive Midfield,33,New Zealand,Indy Eleven,€125k,CONMEBOL,
Jackson Wale,Attack,24,Solomon Islands,Nadroga FC,€125k,CONMEBOL,
Adam Davidson,Left-Back,25,New Zealand,Tauranga City AFC,€100k,CONMEBOL,
Vira Jack,Attack,24,Vanuatu,Nadroga FC,€100k,CONMEBOL,
Alex Saniel,Centre-Forward,28,Vanuatu,Virtus SC,€100k,CONMEBOL,
Ata Inia,Left Winger,25,Tonga,Melbourne Knights,€100k,CONMEBOL,
Niko Steinmetz,Centre-Back,25,Samoa,Western Springs AFC,€100k,CONMEBOL,
Wan Gatkek,Attacking Midfield,25,New Zealand,Western Springs AFC,€150k,CONMEBOL,
Noah Karunaratne,Left Winger,22,New Zealand,Eastern Suburbs AFC,€150k,CONMEBOL,
Ollie van Rijssel,Central Midfield,24,New Zealand,Christchurch United,€150k,CONMEBOL,
Oscar Mason,Goalkeeper,20,New Zealand,Western Springs AFC,€250k,CONMEBOL,
Lukas Kelly-Heald,Left-Back,20,New Zealand,Wellington Phoenix,€300k,CONMEBOL,
Alex Greive,Centre-Forward,26,New Zealand,San Antonio FC,€300k,CONMEBOL,
Matt Dibley-Dias,Central Midfield,21,New Zealand,Chesterfield FC,€300k,CONMEBOL,
Kyle Adams,Centre-Back,28,New Zealand,Louisville City FC,€300k,CONMEBOL,
Elijah Just,Right Winger,25,New Zealand,Motherwell FC,€300k,CONMEBOL,
Callan Elliot,Right-Back,26,New Zealand,Auckland FC,€300k,CONMEBOL,
Max Mata,Centre-Forward,25,New Zealand,Shrewsbury Town,€300k,CONMEBOL,
Sarpreet Singh,Attacking Midfield,26,New Zealand,FK TSC Backa Topola,€300k,CONMEBOL,
Nathan Lobo,Left-Back,22,New Zealand,Auckland City FC,€275k,CONMEBOL,
Moses Dyer,Centre-Forward,28,New Zealand,Phnom Penh Crown,€275k,CONMEBOL,
Mario Ilich,Defensive Midfield,30,New Zealand,Auckland City FC,€275k,CONMEBOL,
Storm Roux,Right-Back,32,New Zealand,Central Coast Mariners,€275k,CONMEBOL,
Abiezer Jeno,Defensive Midfield,25,Neukaledonien,Without Club,€250k,CONMEBOL,
Luis Toomey,Central Midfield,24,New Zealand,Without Club,€250k,CONMEBOL,
Fin Roa Conchie,Central Midfield,21,New Zealand,Wellington Phoenix,€150k,CONMEBOL,
Luke Jorgensen,Defensive Midfield,25,New Zealand,Without Club,€250k,CONMEBOL,
Myer Bevan,Centre-Forward,28,New Zealand,Auckland City FC,€250k,CONMEBOL,
Sam Philip,Centre-Forward,26,New Zealand,Birkenhead United,€250k,CONMEBOL,
James McGarry,Left-Back,27,New Zealand,Brisbane Roar,€250k,CONMEBOL,
Reid Drake,Central Midfield,29,New Zealand,Western Springs AFC,€250k,CONMEBOL,
Adam Mitchell,Centre-Back,29,New Zealand,Auckland City FC,€250k,CONMEBOL,
Dylan Gardiner,Centre-Back,19,New Zealand,Wellington Phoenix FC Reserves,€225k,CONMEBOL,
Regan Diver,Goalkeeper,22,New Zealand,Hibiscus Coast AFC,€225k,CONMEBOL,
Oskar van Hattum,Right Winger,23,New Zealand,Sligo Rovers,€225k,CONMEBOL,
Dino Botica,Centre-Back,26,New Zealand,Birkenhead United,€225k,CONMEBOL,
Jacob Mechell,Centre-Forward,26,New Zealand,Eastern Suburbs AFC,€225k,CONMEBOL,
Jack-Henry Sinclair,Right Winger,27,New Zealand,Wellington Olympic AFC,€225k,CONMEBOL,
Max Crocombe,Goalkeeper,31,New Zealand,Millwall FC,€225k,CONMEBOL,
Kosta Barbarouses,Centre-Forward,35,New Zealand,Western Sydney Wanderers,€350k,CONMEBOL,
Cameron Howieson,Central Midfield,30,New Zealand,Auckland FC,€350k,CONMEBOL,
Oliver Sail,Goalkeeper,29,New Zealand,Perth Glory,€350k,CONMEBOL,
Sam Sutton,Left-Back,23,New Zealand,Perth Glory,€350k,CONMEBOL,
Chris Wood,Centre-Forward,33,New Zealand,Nottingham Forest,€10.00m,CONMEBOL,
Marko Stamenic,Defensive Midfield,23,New Zealand,Nottingham Forest,€3.00m,CONMEBOL,
Liberato Cacace,Left-Back,24,New Zealand,Wrexham AFC,€3.00m,CONMEBOL,
Joe Bell,Defensive Midfield,26,New Zealand,Viking FK,€2.00m,CONMEBOL,
Tyler Bindon,Centre-Back,20,New Zealand,Sheffield United,€1.20m,CONMEBOL,
Callum McCowatt,Right Winger,26,New Zealand,Silkeborg IF,€1.20m,CONMEBOL,
Finn Surman,Centre-Back,21,New Zealand,Portland Timbers,€800k,CONMEBOL,
Alex Paulsen,Goalkeeper,23,New Zealand,AFC Bournemouth,€750k,CONMEBOL,
Ben Old,Left Winger,22,New Zealand,AS Saint-Étienne,€700k,CONMEBOL,
Ryan Thomas,Central Midfield,30,New Zealand,PEC Zwolle,€700k,CONMEBOL,
Andre de Jong,Attacking Midfield,28,New Zealand,Stellenbosch FC,€600k,CONMEBOL,
Alex Rufer,Defensive Midfield,29,New Zealand,Wellington Phoenix,€600k,CONMEBOL,
Francis de Vries,Left-Back,30,New Zealand,Auckland FC,€600k,CONMEBOL,
Ben Waine,Centre-Forward,24,New Zealand,Port Vale FC,€550k,CONMEBOL,
Brian Kaltak,Centre-Back,31,Vanuatu,Perth Glory,€450k,CONMEBOL,
Nando Pijnaker,Centre-Back,26,New Zealand,Auckland FC,€450k,CONMEBOL,
Logan Rogerson,Right Winger,27,New Zealand,Auckland FC,€450k,CONMEBOL,
Tim Payne,Right-Back,31,New Zealand,Wellington Phoenix,€450k,CONMEBOL,
Matthew Garbett,Central Midfield,23,New Zealand,Without Club,€400k,CONMEBOL,
Dane Ingham,Right-Back,26,New Zealand,Sabah FC,€400k,CONMEBOL,
Bill Tuiloma,Centre-Back,30,New Zealand,Charlotte FC,€400k,CONMEBOL,
Lachlan Bayliss,Central Midfield,23,New Zealand,Newcastle United Jets,€350k,CONMEBOL,
Isaac Hughes,Centre-Back,21,New Zealand,Wellington Phoenix,€350k,CONMEBOL,
Corban Piper,Centre-Back,22,New Zealand,Wellington Phoenix,€350k,CONMEBOL,
