name,position,age,nation,club,value
Arthur Cabral,Centre-Forward,27,Brazil,Botafogo de Futebol e Regatas,€10.00m
Mateo Cassierra,Centre-Forward,28,Colombia,Zenit St. Petersburg,€10.00m
Stephy Mavididi,Left Winger,27,England,Leicester City,€10.00m
Roland Sallai,Right Winger,28,Hungary,Galatasaray,€10.00m
Hirving Lozano,Left Winger,29,Mexico,San Diego FC,€10.00m
Saïd Benrahma,Left Winger,29,Algeria,NEOM SC,€10.00m
David Brooks,Right Winger,28,Wales,AFC Bournemouth,€10.00m
Miguel Almirón,Right Winger,31,Paraguay,Atlanta United FC,€10.00m
Ángel Correa,Right Winger,30,Argentina,Tigres UANL,€10.00m
Enes Ünal,Centre-Forward,28,Türkiye,AFC Bournemouth,€10.00m
Ayoze Pérez,Centre-Forward,31,Spain,Villarreal CF,€10.00m
Jérémie Boga,Left Winger,28,Cote d'Ivoire,OGC Nice,€10.00m
Memphis Depay,Centre-Forward,31,Netherlands,Sport Club Corinthians Paulista,€10.00m
Matteo Politano,Right Winger,31,Italy,SSC Napoli,€10.00m
Raheem Sterling,Right Winger,30,England,Chelsea FC,€10.00m
Chris Wood,Centre-Forward,33,New Zealand,Nottingham Forest,€10.00m
Niclas Füllkrug,Centre-Forward,32,Germany,West Ham United,€10.00m
Alisson,Right Winger,19,Brazil,Shakhtar Donetsk,€9.00m
Bazoumana Touré,Left Winger,19,Cote d'Ivoire,TSG 1899 Hoffenheim,€9.00m
William Gomes,Left Winger,19,Brazil,FC Porto,€9.00m
Kevin Zenón,Left Winger,23,Argentina,CA Boca Juniors,€9.00m
Abdallah Sima,Left Winger,24,Senegal,Brighton & Hove Albion,€9.00m
Nicolò Tresoldi,Centre-Forward,20,Germany,Club Brugge KV,€9.00m
Jaidon Anthony,Left Winger,25,England,Burnley FC,€9.00m
Wesley,Left Winger,26,Brazil,Sport Club Internacional,€9.00m
Kyogo Furuhashi,Centre-Forward,30,Japan,Birmingham City,€9.00m
Hugo Cuypers,Centre-Forward,28,Belgium,Chicago Fire FC,€9.00m
Patson Daka,Centre-Forward,26,Zambia,Leicester City,€9.00m
Róger Guedes,Second Striker,28,Brazil,Al-Rayyan SC,€9.00m
Anders Dreyer,Right Winger,27,Denmark,San Diego FC,€9.00m
Gorka Guruzeta,Centre-Forward,28,Spain,Athletic Bilbao,€9.00m
Álex Berenguer,Left Winger,30,Spain,Athletic Bilbao,€9.00m
Rafa Silva,Second Striker,32,Portugal,Besiktas JK,€9.00m
Adama Traoré,Right Winger,29,Spain,Fulham FC,€9.00m
Mauro Icardi,Centre-Forward,32,Argentina,Galatasaray,€9.00m
Julien Duranville,Left Winger,19,Belgium,Borussia Dortmund,€8.50m
Sebastiano Esposito,Second Striker,23,Italy,Inter Milan,€8.50m
Nicolò Cambiaghi,Left Winger,24,Italy,Bologna FC 1909,€8.50m
Krzysztof Piatek,Centre-Forward,30,Poland,Al-Duhail SC,€8.50m
Cyriaque Irié,Right Winger,20,Burkina Faso,SC Freiburg,€8.00m
Deivid Washington,Centre-Forward,20,Brazil,Santos FC,€8.00m
Moussa Yeo,Right Winger,21,Mali,Red Bull Salzburg,€8.00m
Gianluca Prestianni,Right Winger,19,Argentina,SL Benfica,€8.00m
Anan Khalaili,Right Winger,20,Israel,Union Saint-Gilloise,€8.00m
Marc Guiu,Centre-Forward,19,Spain,Chelsea FC,€8.00m
Gonzalo García,Centre-Forward,21,Spain,Real Madrid,€8.00m
Tom Watson,Left Winger,19,England,Brighton & Hove Albion,€8.00m
Darío Osorio,Right Winger,21,Chile,FC Midtjylland,€8.00m
Luciano Rodríguez,Centre-Forward,22,Uruguay,Esporte Clube Bahia,€8.00m
Yoann Cathline,Left Winger,23,France,FC Utrecht,€8.00m
Ângelo,Right Winger,20,Brazil,Al-Nassr FC,€8.00m
Chemsdine Talbi,Right Winger,20,Morocco,Sunderland AFC,€8.00m
Carlos Forbs,Left Winger,21,Portugal,Club Brugge KV,€8.00m
Ruben van Bommel,Left Winger,20,Netherlands,PSV Eindhoven,€8.00m
Ferreirinha,Left Winger,27,Brazil,São Paulo Futebol Clube,€8.00m
Mexx Meerdink,Centre-Forward,21,Netherlands,AZ Alkmaar,€8.00m
Facundo Pellistri,Right Winger,23,Uruguay,Panathinaikos FC,€8.00m
Chermiti,Centre-Forward,21,Portugal,Everton FC,€8.00m
Jacob Ondrejka,Left Winger,22,Sweden,Parma Calcio 1913,€8.00m
Eren Dinkçi,Right Winger,23,Türkiye,SC Freiburg,€8.00m
William Bøving,Centre-Forward,22,Denmark,SK Sturm Graz,€8.00m
Ferran Jutglà,Centre-Forward,26,Spain,Celta de Vigo,€8.00m
Ayase Ueda,Centre-Forward,26,Japan,Feyenoord Rotterdam,€8.00m
Vitinha,Centre-Forward,25,Portugal,Genoa CFC,€8.00m
Ante Crnac,Centre-Forward,21,Croatia,Norwich City,€8.00m
Kasper Høgh,Centre-Forward,24,Denmark,FK Bodø/Glimt,€8.00m
Joseph Paintsil,Right Winger,27,Ghana,Los Angeles Galaxy,€8.00m
Fisnik Asllani,Centre-Forward,22,Kosovo,TSG 1899 Hoffenheim,€8.00m
Mirlind Daku,Centre-Forward,27,Albania,Rubin Kazan,€8.00m
Sergey Pinyaev,Left Winger,20,Russia,Lokomotiv Moscow,€8.00m
Benjamín Rollheiser,Right Winger,25,Argentina,Santos FC,€8.00m
David Strelec,Centre-Forward,24,Slovakia,Slovan Bratislava,€8.00m
Yann Gboho,Left Winger,24,France,FC Toulouse,€8.00m
Artur,Right Winger,27,Brazil,Botafogo de Futebol e Regatas,€8.00m
Luis Suárez,Centre-Forward,27,Colombia,UD Almería,€8.00m
Keito Nakamura,Left Winger,24,Japan,Stade Reims,€8.00m
Tyrese Campbell,Centre-Forward,25,England,Sheffield United,€8.00m
Cyril Ngonge,Right Winger,25,Belgium,SSC Napoli,€8.00m
Gaëtan Perrin,Right Winger,29,France,AJ Auxerre,€8.00m
Álex Zendejas,Right Winger,27,United States,CF América,€8.00m
Odsonne Edouard,Centre-Forward,27,France,Crystal Palace,€8.00m
Akram Afif,Left Winger,28,Qatar,Al-Sadd SC,€8.00m
Jota,Left Winger,26,Portugal,Celtic FC,€8.00m
Everton,Left Winger,29,Brazil,CR Flamengo,€8.00m
Haji Wright,Centre-Forward,27,United States,Coventry City,€8.00m
Oleksandr Zubkov,Right Winger,28,Ukraine,Trabzonspor,€8.00m
Vaclav Cerny,Right Winger,27,Czech Republic,VfL Wolfsburg,€8.00m
Denis Bouanga,Left Winger,30,Gabon,Los Angeles FC,€8.00m
Maxwel Cornet,Left Winger,28,Cote d'Ivoire,West Ham United,€8.00m
Moussa Dembélé,Centre-Forward,29,France,Al-Ettifaq FC,€8.00m
Kiril Despodov,Right Winger,28,Bulgaria,PAOK Thessaloniki,€8.00m
Neal Maupay,Centre-Forward,28,France,Olympique Marseille,€8.00m
Andrija Zivkovic,Right Winger,29,Serbia,PAOK Thessaloniki,€8.00m
Paulo Dybala,Second Striker,31,Argentina,AS Roma,€8.00m
Sadio Mané,Left Winger,33,Senegal,Al-Nassr FC,€8.00m
Sardar Azmoun,Centre-Forward,30,Iran,Shabab Al-Ahli Club,€8.00m
Domenico Berardi,Right Winger,30,Italy,US Sassuolo,€8.00m
Riyad Mahrez,Right Winger,34,Algeria,Al-Ahli SFC,€8.00m
Bertrand Traoré,Right Winger,29,Burkina Faso,Ajax Amsterdam,€8.00m
Callum Wilson,Centre-Forward,33,England,Without Club,€8.00m
Christopher Bonsu Baah,Left Winger,20,Ghana,Al-Qadsiah FC,€7.50m
Hugo Álvarez,Left Winger,22,Spain,Celta de Vigo,€7.50m
Matija Frigan,Centre-Forward,22,Croatia,KVC Westerlo,€7.50m
Ismaël Gharbi,Left Winger,21,Spain,SC Braga,€7.50m
Tommy Conway,Centre-Forward,22,Scotland,Middlesbrough FC,€7.50m
Roony Bardghji,Right Winger,19,Sweden,FC Barcelona Atlètic,€7.50m
Vitinho,Left Winger,26,Brazil,Sport Club Internacional,€7.50m
Raúl Moro,Left Winger,22,Spain,Ajax Amsterdam,€7.50m
Largie Ramazani,Left Winger,24,Belgium,Leeds United,€7.50m
Tijjani Noslin,Right Winger,26,Netherlands,SS Lazio,€7.50m
Ben Brereton Díaz,Centre-Forward,26,Chile,Southampton FC,€7.50m
Brandon Vazquez,Centre-Forward,26,United States,Austin FC,€7.50m
Rafa Mujica,Centre-Forward,26,Spain,Al-Sadd SC,€7.50m
Cengiz Ünder,Right Winger,28,Türkiye,Fenerbahce,€7.50m
Myrto Uzuni,Left Winger,30,Albania,Austin FC,€7.50m
Borja Mayoral,Centre-Forward,28,Spain,Getafe CF,€7.50m
Fedor Chalov,Centre-Forward,27,Russia,PAOK Thessaloniki,€7.50m
Michael Olunga,Centre-Forward,31,Kenya,Al-Arabi SC,€7.50m
Cristian Arango,Centre-Forward,30,Colombia,San Jose Earthquakes,€7.50m
Lukas Haraslin,Left Winger,29,Slovakia,AC Sparta Prague,€7.50m
Paulinho,Centre-Forward,32,Portugal,Deportivo Toluca,€7.50m
Anthony Martial,Centre-Forward,29,France,AEK Athens,€7.50m
Keny Arroyo,Right Winger,19,Ecuador,Besiktas JK,€7.00m
Joaquín Panichelli,Centre-Forward,22,Argentina,Deportivo Alavés,€7.00m
Sondre Ørjasæter,Left Winger,21,Norway,Sarpsborg 08 FF,€7.00m
Rafiu Durosinmi,Centre-Forward,22,Nigeria,FC Viktoria Plzen,€7.00m
