name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Dennis Cirkin,DF,Left_Back,23,England,UEFA,Sunderland AFC,PremierLeague,130.0,denniscirkin_ENG
Dennis Seimen,GK,Goalkeeper,19,Germany,UEFA,SC Paderborn 07,Bundesliga_2,40.6,dennisseimen_GER
Denso Kasius,DF,Right_Back,22,Netherlands,UEFA,AZ Alkmaar,Eredivisie,65.0,densokasius_NET
Denzel Dumfries,DF,Right_Back,29,Netherlands,UEFA,Inter Milan,Serie_A,568.8,denzeldumfries_NET
Derek Cornelius,DF,Centre_Back,27,Canada,CONCACAF,Olympique Marseille,Ligue1,81.2,derekcornelius_CAN
Derrick Kohn,DF,Left_Back,26,Germany,UEFA,Galatasaray,SuperLig,81.2,derrickkohn_GER
Destiny Udogie,DF,Left_Back,22,Italy,UEFA,Tottenham Hotspur,PremierLeague,650.0,destinyudogie_ITA
Devis Vasquez,GK,Goalkeeper,27,Colombia,CONMEBOL,Without Club,Without_Club,32.5,devisvasquez_COL
Devyne Rensch,DF,Right_Back,22,Netherlands,UEFA,AS Roma,Serie_A,162.5,devynerensch_NET
Dexter Lembikisa,DF,Right_Back,21,Jamaica,CONCACAF,Wolverhampton Wanderers U21,Other_leagues,21.1,dexterlembikisa_JAM
Di'Shon Bernard,DF,Centre_Back,24,Jamaica,CONCACAF,Sheffield Wednesday,Championship,26.0,di'shonbernard_JAM
Diant Ramaj,GK,Goalkeeper,23,Germany,UEFA,Borussia Dortmund,Bundesliga,113.8,diantramaj_GER
Diego Callai,GK,Goalkeeper,21,Brazil,CONMEBOL,Sporting CP B,Other_leagues,16.2,diegocallai_BRA
Diego Carlos,DF,Centre_Back,32,Brazil,CONMEBOL,Fenerbahce,SuperLig,154.4,diegocarlos_BRA
Diego Conde,GK,Goalkeeper,26,Spain,UEFA,Villarreal CF,LaLiga,121.9,diegoconde_SPA
Diego Coppola,DF,Centre_Back,21,Italy,UEFA,Brighton & Hove Albion,PremierLeague,162.5,diegocoppola_ITA
Diego Gomez,MF,Central_Midfielder,22,Paraguay,CONMEBOL,Brighton & Hove Albion,PremierLeague,227.5,diegogomez_PAR
Diego Luna,MF,Side_Midfielder,21,United States,CONCACAF,Real Salt Lake City,MLS,130.0,diegoluna_UNI
Diego Rossi,MF,Attacking_Midfielder,27,Uruguay,CONMEBOL,Columbus Crew,MLS,138.1,diegorossi_URU
Dimitar Mitov,GK,Goalkeeper,28,Bulgaria,UEFA,Aberdeen FC,Scottish_Premiership,16.2,dimitarmitov_BUL
Dimitri Lavalee,DF,Left_Back,28,Belgium,UEFA,SK Sturm Graz,Austria_Bundesliga,65.0,dimitrilavalee_BEL
Dimitrios Pelkas,MF,Attacking_Midfielder,31,Greece,UEFA,PAOK Thessaloniki,SuperLeague1,29.2,dimitriospelkas_GRE
Dimitry Bertaud,GK,Goalkeeper,27,Congo,CAF,Without Club,Without_Club,16.2,dimitrybertaud_CON
Dinko Horkas,GK,Goalkeeper,26,Croatia,UEFA,UD Las Palmas,LaLiga_2,19.5,dinkohorkas_CRO
Diogo Costa,GK,Goalkeeper,25,Portugal,UEFA,FC Porto,Liga_Portugal,650.0,diogocosta_POR
Diogo Dalot,DF,Right_Back,26,Portugal,UEFA,Manchester United,PremierLeague,487.5,diogodalot_POR
Diogo Leite,DF,Centre_Back,26,Portugal,UEFA,1.FC Union Berlin,Bundesliga,276.2,diogoleite_POR
Diogo Sousa,GK,Goalkeeper,26,Portugal,UEFA,Bodrum FK,Other_leagues,22.8,diogosousa_POR
Djaniny,FW,Striker,34,Cabo Verde,CAF,Without Club,Without_Club,32.5,djaniny_CAB
Djed Spence,DF,Left_Back,24,England,UEFA,Tottenham Hotspur,PremierLeague,325.0,djedspence_ENG
Djibril Sow,MF,Central_Midfielder,28,Switzerland,UEFA,Sevilla FC,LaLiga,121.9,djibrilsow_SWI
Djordje Mihailovic,MF,Attacking_Midfielder,26,United States,CONCACAF,Colorado Rapids,MLS,81.2,djordjemihailovic_UNI
Dmytro Riznyk,GK,Goalkeeper,26,Ukraine,UEFA,Shakhtar Donetsk,Ukrainian_PremierLeague,113.8,dmytroriznyk_UKR
Dodi Lukebakio,FW,Right_Winger,27,Belgium,UEFA,Sevilla FC,LaLiga,325.0,dodilukebakio_BEL
Dodo,DF,Right_Back,26,Brazil,CONMEBOL,ACF Fiorentina,Serie_A,390.0,dodo_BRA
Dogan Alemdar,GK,Goalkeeper,22,Turkey,UEFA,Stade Rennais FC,Ligue1,24.4,doganalemdar_TUR
Dogucan Haspolat,MF,Defensive_Midfielder,25,Turkey,UEFA,KVC Westerlo,Jupiler_ProLeague,81.2,dogucanhaspolat_TUR
Domagoj Vida,DF,Centre_Back,36,Croatia,UEFA,AEK Athens,SuperLeague1,11.4,domagojvida_CRO
Domenico Berardi,FW,Right_Winger,30,Italy,UEFA,US Sassuolo,Serie_A,130.0,domenicoberardi_ITA
Dominic Calvert-Lewin,FW,Striker,28,England,UEFA,Without Club,Without_Club,260.0,dominiccalvert-lewin_ENG
Dominic Solanke,FW,Striker,27,England,UEFA,Tottenham Hotspur,PremierLeague,650.0,dominicsolanke_ENG
Dominik Baumgartner,DF,Centre_Back,29,Austria,UEFA,Wolfsberger AC,Austria_Bundesliga,14.6,dominikbaumgartner_AUS
Dominik Fitz,MF,Attacking_Midfielder,26,Austria,UEFA,Austria Vienna,Austria_Bundesliga,56.9,dominikfitz_AUS
Dominik Greif,GK,Goalkeeper,28,Slovakia,UEFA,RCD Mallorca,LaLiga,97.5,dominikgreif_SLO
Dominik Kotarski,GK,Goalkeeper,25,Croatia,UEFA,FC Copenhagen,Danish_Superligaen,146.2,dominikkotarski_CRO
Dominik Livakovic,GK,Goalkeeper,30,Croatia,UEFA,Fenerbahce,SuperLig,146.2,dominiklivakovic_CRO
Dominik Reimann,GK,Goalkeeper,28,Germany,UEFA,1.FC Magdeburg,Bundesliga_2,16.2,dominikreimann_GER
Dominik Schmid,DF,Left_Back,27,Switzerland,UEFA,FC Basel 1893,Swiss_SuperLeague,65.0,dominikschmid_SWI
Dominik Szoboszlai,MF,Attacking_Midfielder,24,Hungary,UEFA,Liverpool FC,PremierLeague,1300.0,dominikszoboszlai_HUN
Donat Rrudhani,MF,Side_Midfielder,26,Kosovo,UEFA,BSC Young Boys,Swiss_SuperLeague,29.2,donatrrudhani_KOS
Dorgeles Nene,FW,Left_Winger,22,Mali,CAF,Red Bull Salzburg,Austria_Bundesliga,195.0,dorgelesnene_MAL
Douglas Augusto,MF,Central_Midfielder,28,Brazil,CONMEBOL,FC Krasnodar,Russian_PremierLiga,97.5,douglasaugusto_BRA
Douglas Luiz,MF,Central_Midfielder,27,Brazil,CONMEBOL,Juventus FC,Serie_A,487.5,douglasluiz_BRA
Drake Callender,GK,Goalkeeper,27,United States,CONCACAF,Inter Miami CF,MLS,40.6,drakecallender_UNI
Duckens Nazon,FW,Striker,31,Haiti,CONCACAF,Kayserispor,SuperLig,19.5,duckensnazon_HAI
Dujon Sterling,DF,Right_Back,25,England,UEFA,Rangers FC,Scottish_Premiership,56.9,dujonsterling_ENG
Duncan McGuire,FW,Striker,24,United States,CONCACAF,Orlando City SC,MLS,45.5,duncanmcguire_UNI
Dusan Vlahovic,FW,Striker,25,Serbia,UEFA,Juventus FC,Serie_A,568.8,dusanvlahovic_SER
Duvan Zapata,FW,Striker,34,Colombia,CONMEBOL,Torino FC,Serie_A,56.9,duvanzapata_COL
Dylan Levitt,MF,Central_Midfielder,24,Wales,UEFA,Hibernian FC,Scottish_Premiership,10.6,dylanlevitt_WAL
Dylan Nealis,DF,Right_Back,26,United States,CONCACAF,New York Red Bulls,MLS,29.2,dylannealis_UNI
Dylan Vente,FW,Striker,26,Suriname,CONCACAF,SC Heerenveen,Eredivisie,32.5,dylanvente_SUR
Dzenan Pejcinovic,FW,Striker,20,Germany,UEFA,VfL Wolfsburg,Bundesliga,65.0,dzenanpejcinovic_GER
Ebenezer Akinsanmiro,MF,Central_Midfielder,20,Nigeria,CAF,Pisa Sporting Club,Serie_A,32.5,ebenezerakinsanmiro_NIG
Eberechi Eze,MF,Attacking_Midfielder,27,England,UEFA,Crystal Palace,PremierLeague,893.8,eberechieze_ENG
Ebrima Colley,FW,Right_Winger,25,Gambia,CAF,BSC Young Boys,Swiss_SuperLeague,32.5,ebrimacolley_GAM
Eddie Nketiah,FW,Striker,26,England,UEFA,Crystal Palace,PremierLeague,292.5,eddienketiah_ENG
Eden Karzev,MF,Defensive_Midfielder,25,Israel,UEFA,Shenzhen Peng City,Chinese_SuperLeague,24.4,edenkarzev_ISR
Eder Militao,DF,Centre_Back,27,Brazil,CONMEBOL,Real Madrid,LaLiga,487.5,edermilitao_BRA
Edin Dzeko,FW,Striker,39,Bosnia-Herzegovina,UEFA,ACF Fiorentina,Serie_A,26.0,edindzeko_BOS
Edinson Cavani,FW,Striker,38,Uruguay,CONMEBOL,CA Boca Juniors,Liga_Profesional,16.2,edinsoncavani_URU
Edmond Tapsoba,DF,Centre_Back,26,Burkina Faso,CAF,Bayer 04 Leverkusen,Bundesliga,568.8,edmondtapsoba_BUR
Edo Kayembe,MF,Central_Midfielder,27,Congo,CAF,Watford FC,Championship,65.0,edokayembe_CON
Edouard Mendy,GK,Goalkeeper,33,Senegal,CAF,Al-Ahli SFC,Saudi_ProLeague,81.2,edouardmendy_SEN
Edson Alvarez,MF,Defensive_Midfielder,27,Mexico,CONCACAF,West Ham United,PremierLeague,406.2,edsonalvarez_MEX
Eduard Lowen,MF,Central_Midfielder,28,Germany,UEFA,St. Louis CITY SC,MLS,65.0,eduardlowen_GER
Eduardo Camavinga,MF,Central_Midfielder,22,France,UEFA,Real Madrid,LaLiga,975.0,eduardocamavinga_FRA
Eduardo Quaresma,DF,Centre_Back,23,Portugal,UEFA,Sporting CP,Liga_Portugal,292.5,eduardoquaresma_POR
Eduardo Salvio,FW,Right_Winger,35,Argentina,CONMEBOL,CA Lanús,Liga_Profesional,16.2,eduardosalvio_ARG
Edvinas Gertmonas,GK,Goalkeeper,29,Lithuania,UEFA,FC Universitatea Cluj,Romaina_SuperLiga,22.8,edvinasgertmonas_LIT
Edvin Austbo,FW,Left_Winger,20,Norway,UEFA,Viking FK,Eliteserien,81.2,edvinaustbo_NOR
Edward Chilufya,FW,Right_Winger,25,Zambia,CAF,FC Midtjylland,Danish_Superligaen,16.2,edwardchilufya_ZAM
Edwin Cerrillo,MF,Defensive_Midfielder,24,United States,CONCACAF,Los Angeles Galaxy,MLS,40.6,edwincerrillo_UNI
Egil Selvik,GK,Goalkeeper,27,Norway,UEFA,Watford FC,Championship,24.4,egilselvik_NOR
Eiran Cashin,DF,Centre_Back,23,Ireland,UEFA,Birmingham City,Championship,130.0,eirancashin_IRE
El Bilal Toure,FW,Striker,23,Mali,CAF,Atalanta BC,Serie_A,243.8,elbilaltoure_MAL
El Chadaille Bitshiabu,DF,Centre_Back,20,France,UEFA,RB Leipzig,Bundesliga,292.5,elchadaillebitshiabu_FRA
Eldor Shomurodov,FW,Striker,30,Uzbekistan,AFC,Basaksehir FK,SuperLig,81.2,eldorshomurodov_UZB
Elia Caprile,GK,Goalkeeper,23,Italy,UEFA,Cagliari Calcio,Serie_A,146.2,eliacaprile_ITA
Elian Irala,MF,Defensive_Midfielder,21,Argentina,CONMEBOL,Shabab Al-Ahli Club,UAE_ProLeague,81.2,elianirala_ARG
Elias Achouri,FW,Left_Winger,26,Tunisia,CAF,FC Copenhagen,Danish_Superligaen,56.9,eliasachouri_TUN
Elias Baum,DF,Right_Back,19,Germany,UEFA,Eintracht Frankfurt,Bundesliga,130.0,eliasbaum_GER
Elias Jelert,DF,Right_Back,22,Denmark,UEFA,Galatasaray,SuperLig,113.8,eliasjelert_DEN
Elias Mar Omarsson,FW,Striker,30,Iceland,UEFA,Meizhou Hakka,Chinese_SuperLeague,11.4,eliasmaromarsson_ICE
Elias Saad,FW,Left_Winger,25,Tunisia,CAF,FC Augsburg,Bundesliga,65.0,eliassaad_TUN
Eliezer Mayenda,FW,Striker,20,Spain,UEFA,Sunderland AFC,PremierLeague,195.0,eliezermayenda_SPA
Eli Junior Kroupi,FW,Striker,19,France,UEFA,AFC Bournemouth,PremierLeague,243.8,elijuniorkroupi_FRA
Elis Bishesari,GK,Goalkeeper,20,Sweden,UEFA,IFK Göteborg,Allsvenskan,29.2,elisbishesari_SWE
Elisha Owusu,MF,Defensive_Midfielder,27,Ghana,CAF,AJ Auxerre,Ligue1,48.8,elishaowusu_GHA
Elliot Anderson,MF,Central_Midfielder,22,England,UEFA,Nottingham Forest,PremierLeague,520.0,elliotanderson_ENG
Ellis Simms,FW,Striker,24,England,UEFA,Coventry City,Championship,97.5,ellissimms_ENG
Ellyes Skhiri,MF,Defensive_Midfielder,30,Tunisia,CAF,Eintracht Frankfurt,Bundesliga,121.9,ellyesskhiri_TUN
Elye Wahi,FW,Striker,22,France,UEFA,Eintracht Frankfurt,Bundesliga,357.5,elyewahi_FRA
Emanuel Aiwu,DF,Centre_Back,24,Austria,UEFA,SK Sturm Graz,Austria_Bundesliga,32.5,emanuelaiwu_AUS
Emanuel Emegha,FW,Striker,22,Netherlands,UEFA,RC Strasbourg Alsace,Ligue1,406.2,emanuelemegha_NET
Emerson,DF,Left_Back,30,Italy,UEFA,West Ham United,PremierLeague,162.5,emerson_ITA
Emerson Royal,DF,Right_Back,26,Brazil,CONMEBOL,CR Flamengo,Brasileiro_SerieA,146.2,emersonroyal_BRA
Emile Smith Rowe,MF,Attacking_Midfielder,24,England,UEFA,Fulham FC,PremierLeague,487.5,emilesmithrowe_ENG
Emiliano Buendia,MF,Attacking_Midfielder,28,Argentina,CONMEBOL,Aston Villa,PremierLeague,243.8,emilianobuendia_ARG
Emiliano Martinez,GK,Goalkeeper,32,Argentina,CONMEBOL,Aston Villa,PremierLeague,325.0,emilianomartinez_ARG
Emiliano Martinez,MF,Defensive_Midfielder,25,Uruguay,CONMEBOL,Sociedade Esportiva Palmeiras,Brasileiro_SerieA,113.8,emilianomartinez_URU
Emil Riis,FW,Striker,27,Denmark,UEFA,Bristol City,Championship,73.1,emilriis_DEN
Emin Bayram,DF,Centre_Back,22,Turkey,UEFA,KVC Westerlo,Jupiler_ProLeague,56.9,eminbayram_TUR
Emirhan Topcu,DF,Centre_Back,24,Turkey,UEFA,Besiktas JK,SuperLig,89.4,emirhantopcu_TUR
Emmanuel Agbadou,DF,Centre_Back,28,Cote d'Ivoire,CAF,Wolverhampton Wanderers,PremierLeague,325.0,emmanuelagbadou_COT
Emmanuel Agyemang,MF,Central_Midfielder,21,Ghana,CAF,Wolfsberger AC,Austria_Bundesliga,32.5,emmanuelagyemang_GHA
Emmanuel Biumla,DF,Centre_Back,20,France,UEFA,Angers SCO,Ligue1,65.0,emmanuelbiumla_FRA
Emmanuel Latte Lath,FW,Striker,26,Cote d'Ivoire,CAF,Atlanta United FC,MLS,292.5,emmanuellattelath_COT
Emmanuel Longelo,DF,Left_Back,24,England,UEFA,Motherwell FC,Scottish_Premiership,13.0,emmanuellongelo_ENG
Endrick,FW,Striker,19,Brazil,CONMEBOL,Real Madrid,LaLiga,568.8,endrick_BRA
Enea Mihaj,DF,Centre_Back,27,Albania,UEFA,Atlanta United FC,MLS,65.0,eneamihaj_ALB
Enes Unal,FW,Striker,28,Turkey,UEFA,AFC Bournemouth,PremierLeague,162.5,enesunal_TUR
Enis Bardhi,MF,Attacking_Midfielder,30,North Macedonia,UEFA,Konyaspor,SuperLig,48.8,enisbardhi_NOR
Enis Destan,FW,Striker,23,Turkey,UEFA,Trabzonspor,SuperLig,48.8,enisdestan_TUR
Enric Llansana,MF,Defensive_Midfielder,24,Netherlands,UEFA,RSC Anderlecht,Jupiler_ProLeague,65.0,enricllansana_NET
Enso Gonzalez,FW,Left_Winger,20,Paraguay,CONMEBOL,Wolverhampton Wanderers,PremierLeague,65.0,ensogonzalez_PAR
Enzo Barrenechea,MF,Defensive_Midfielder,24,Argentina,CONMEBOL,SL Benfica,Liga_Portugal,162.5,enzobarrenechea_ARG
Enzo Copetti,FW,Striker,29,Argentina,CONMEBOL,CA Rosario Central,Liga_Profesional,61.8,enzocopetti_ARG
Enzo Fernandez,MF,Central_Midfielder,24,Argentina,CONMEBOL,Chelsea FC,PremierLeague,1218.8,enzofernandez_ARG
Enzo Le Fee,MF,Central_Midfielder,25,France,UEFA,Sunderland AFC,PremierLeague,292.5,enzolefee_FRA
Enzo Millot,MF,Attacking_Midfielder,23,France,UEFA,VfB Stuttgart,Bundesliga,568.8,enzomillot_FRA
Ercan Kara,FW,Striker,29,Austria,UEFA,Rapid Vienna,Austria_Bundesliga,13.0,ercankara_AUS
Eren Elmali,DF,Left_Back,25,Turkey,UEFA,Galatasaray,SuperLig,81.2,erenelmali_TUR
Eric Bailly,DF,Centre_Back,31,Cote d'Ivoire,CAF,Without Club,Without_Club,32.5,ericbailly_COT
Eric Dier,DF,Centre_Back,31,England,UEFA,AS Monaco,Ligue1,130.0,ericdier_ENG
Eric Garcia,DF,Centre_Back,24,Spain,UEFA,FC Barcelona,LaLiga,292.5,ericgarcia_SPA
Erick,MF,Defensive_Midfielder,27,Brazil,CONMEBOL,Esporte Clube Bahia,Brasileiro_SerieA,73.1,erick_BRA
Eric Kahl,DF,Centre_Back,23,Sweden,UEFA,Aarhus GF,Danish_Superligaen,29.2,erickahl_SWE
Erik,DF,Left_Back,24,United Arab Emirates,AFC,Al-Ain FC,UAE_ProLeague,37.4,erik_UNI
Erik Lamela,FW,Right_Winger,33,Argentina,CONMEBOL,AEK Athens,SuperLeague1,19.5,eriklamela_ARG
Erik Palmer-Brown,DF,Centre_Back,28,United States,CONCACAF,Panathinaikos FC,SuperLeague1,14.6,erikpalmer-brown_UNI
Erling Haaland,FW,Striker,25,Norway,UEFA,Manchester City,PremierLeague,2925.0,erlinghaaland_NOR
Ermedin Demirovic,FW,Striker,27,Bosnia-Herzegovina,UEFA,VfB Stuttgart,Bundesliga,357.5,ermedindemirovic_BOS
Ermin Bicakcic,DF,Centre_Back,35,Bosnia-Herzegovina,UEFA,Without Club,Without_Club,6.5,erminbicakcic_BOS
Ernest Nuamah,FW,Right_Winger,21,Ghana,CAF,Olympique Lyon,Ligue1,243.8,ernestnuamah_GHA
Ernest Poku,FW,Right_Winger,21,Netherlands,UEFA,AZ Alkmaar,Eredivisie,65.0,ernestpoku_NET
Ersin Destanoglu,GK,Goalkeeper,24,Turkey,UEFA,Besiktas JK,SuperLig,29.2,ersindestanoglu_TUR
Eryk Williamson,MF,Central_Midfielder,28,United States,CONCACAF,Charlotte FC,MLS,16.2,erykwilliamson_UNI
Ester Sokler,FW,Striker,26,Slovenia,UEFA,Aberdeen FC,Scottish_Premiership,16.2,estersokler_SLO
Ethan Alagich,MF,Central_Midfielder,21,Australia,AFC,Adelaide United,A_League,7.3,ethanalagich_AUS
Ethan Ampadu,DF,Centre_Back,24,Wales,UEFA,Leeds United,PremierLeague,325.0,ethanampadu_WAL
Ethan Horvath,GK,Goalkeeper,30,United States,CONCACAF,Cardiff City,League_One,19.5,ethanhorvath_UNI
Ethan Mbappe,MF,Central_Midfielder,18,France,UEFA,LOSC Lille,Ligue1,81.2,ethanmbappe_FRA
Ethan Pinnock,DF,Centre_Back,32,Jamaica,CONCACAF,Brentford FC,PremierLeague,113.8,ethanpinnock_JAM
Etienne Vaessen,GK,Goalkeeper,30,Suriname,CONCACAF,FC Groningen,Eredivisie,32.5,etiennevaessen_SUR
Etienne Youte Kinkoue,DF,Centre_Back,23,France,UEFA,Le Havre AC,Ligue1,113.8,etienneyoutekinkoue_FRA
Evander,MF,Attacking_Midfielder,27,Brazil,CONMEBOL,FC Cincinnati,MLS,227.5,evander_BRA
Evan Ferguson,FW,Striker,20,Ireland,UEFA,AS Roma,Serie_A,406.2,evanferguson_IRE
Evanilson,FW,Striker,25,Brazil,CONMEBOL,AFC Bournemouth,PremierLeague,568.8,evanilson_BRA
Evan Ndicka,DF,Centre_Back,25,Cote d'Ivoire,CAF,AS Roma,Serie_A,487.5,evanndicka_COT
Evann Guessand,FW,Striker,24,Cote d'Ivoire,CAF,OGC Nice,Ligue1,406.2,evannguessand_COT
Ever Banega,MF,Central_Midfielder,37,Argentina,CONMEBOL,CA Newell's Old Boys,Liga_Profesional,12.2,everbanega_ARG
Ewan Wilson,DF,Left_Back,20,Scotland,UEFA,Motherwell FC,Scottish_Premiership,11.4,ewanwilson_SCO
Exequiel Palacios,MF,Central_Midfielder,26,Argentina,CONMEBOL,Bayer 04 Leverkusen,Bundesliga,650.0,exequielpalacios_ARG
Ezechiel Banzuzi,MF,Central_Midfielder,20,Netherlands,UEFA,RB Leipzig,Bundesliga,211.2,ezechielbanzuzi_NET
Ezequiel Centurion,GK,Goalkeeper,28,Argentina,CONMEBOL,CS Independiente Rivadavia,Liga_Profesional,32.5,ezequielcenturion_ARG
Ezequiel Fernandez,MF,Defensive_Midfielder,23,Argentina,CONMEBOL,Al-Qadsiah FC,Saudi_ProLeague,195.0,ezequielfernandez_ARG
Ezequiel Ham,MF,Central_Midfielder,31,Syria,AFC,Atlético Clube Goianiense,Other_leagues,13.0,ezequielham_SYR
Ezequiel Ponce,FW,Striker,28,Argentina,CONMEBOL,Houston Dynamo FC,MLS,81.2,ezequielponce_ARG
Ezgjan Alioski,DF,Left_Back,33,North Macedonia,UEFA,FC Lugano,Swiss_SuperLeague,19.5,ezgjanalioski_NOR
Ezri Konsa,DF,Centre_Back,27,England,UEFA,Aston Villa,PremierLeague,568.8,ezrikonsa_ENG
Fabian de Keijzer,GK,Goalkeeper,25,Netherlands,UEFA,Heracles Almelo,Eredivisie,24.4,fabiandekeijzer_NET
Fabian Ruiz,MF,Central_Midfielder,29,Spain,UEFA,Paris Saint-Germain,Ligue1,650.0,fabianruiz_SPA
Fabinho,MF,Defensive_Midfielder,31,Brazil,CONMEBOL,Al-Ittihad Club,Saudi_ProLeague,243.8,fabinho_BRA
Fabio Abreu,FW,Striker,32,Angola,CAF,Beijing Guoan,Chinese_SuperLeague,27.6,fabioabreu_ANG
Fabio Borini,FW,Left_Winger,34,Italy,UEFA,Without Club,Without_Club,8.1,fabioborini_ITA
Fabio Carvalho,MF,Attacking_Midfielder,22,Portugal,UEFA,Brentford FC,PremierLeague,227.5,fabiocarvalho_POR
Fabio Miretti,MF,Central_Midfielder,21,Italy,UEFA,Juventus FC,Serie_A,227.5,fabiomiretti_ITA
Fabio Silva,FW,Striker,23,Portugal,UEFA,Wolverhampton Wanderers,PremierLeague,325.0,fabiosilva_POR
Fabio Vieira,MF,Attacking_Midfielder,25,Portugal,UEFA,Arsenal FC,PremierLeague,357.5,fabiovieira_POR
Facundo Altamirano,GK,Goalkeeper,29,Argentina,CONMEBOL,CA San Lorenzo de Almagro,Liga_Profesional,16.2,facundoaltamirano_ARG
Facundo Buonanotte,MF,Attacking_Midfielder,20,Argentina,CONMEBOL,Brighton & Hove Albion,PremierLeague,325.0,facundobuonanotte_ARG
Facundo Cambeses,GK,Goalkeeper,28,Argentina,CONMEBOL,Racing Club,Liga_Profesional,27.6,facundocambeses_ARG
Facundo Colidio,FW,Striker,25,Argentina,CONMEBOL,CA River Plate,Liga_Profesional,97.5,facundocolidio_ARG
Facundo Medina,DF,Centre_Back,26,Argentina,CONMEBOL,Olympique Marseille,Ligue1,406.2,facundomedina_ARG
Facundo Sanguinetti,GK,Goalkeeper,24,Argentina,CONMEBOL,CA Banfield,Liga_Profesional,32.5,facundosanguinetti_ARG
Fallou Fall,DF,Centre_Back,21,Senegal,CAF,St. Louis CITY SC,MLS,45.5,falloufall_SEN
Fares Chaibi,MF,Attacking_Midfielder,22,Algeria,CAF,Eintracht Frankfurt,Bundesliga,146.2,fareschaibi_ALG
Fashion Sakala,FW,Striker,28,Zambia,CAF,Al-Fayha FC,Saudi_ProLeague,65.0,fashionsakala_ZAM
Fedde Leysen,DF,Centre_Back,22,Belgium,UEFA,Union Saint-Gilloise,Jupiler_ProLeague,48.8,feddeleysen_BEL
Federico Chiesa,FW,Right_Winger,27,Italy,UEFA,Liverpool FC,PremierLeague,227.5,federicochiesa_ITA
Federico Dimarco,DF,Left_Back,27,Italy,UEFA,Inter Milan,Serie_A,812.5,federicodimarco_ITA
Federico Gatti,DF,Centre_Back,27,Italy,UEFA,Juventus FC,Serie_A,390.0,federicogatti_ITA
Federico Ravaglia,GK,Goalkeeper,25,Italy,UEFA,Bologna FC 1909,Serie_A,24.4,federicoravaglia_ITA
Federico Redondo,MF,Defensive_Midfielder,22,Argentina,CONMEBOL,Inter Miami CF,MLS,81.2,federicoredondo_ARG
Federico Valverde,MF,Central_Midfielder,27,Uruguay,CONMEBOL,Real Madrid,LaLiga,2112.5,federicovalverde_URU
Fedor Chalov,FW,Striker,27,Russia,UEFA,PAOK Thessaloniki,SuperLeague1,121.9,fedorchalov_RUS
Felipe Silva,FW,Striker,33,Brazil,CONMEBOL,Chengdu Rongcheng,Chinese_SuperLeague,7.3,felipesilva_BRA
Felipe Zenobio,GK,Goalkeeper,25,Argentina,CONMEBOL,Club Atlético Tigre,Liga_Profesional,48.8,felipezenobio_ARG
Felix Lemarechal,MF,Attacking_Midfielder,21,France,UEFA,RC Strasbourg Alsace,Ligue1,162.5,felixlemarechal_FRA
Felix Nmecha,MF,Central_Midfielder,24,Germany,UEFA,Borussia Dortmund,Bundesliga,455.0,felixnmecha_GER
Felix Uduokhai,DF,Centre_Back,27,Germany,UEFA,Besiktas JK,SuperLig,113.8,felixuduokhai_GER
Ferdi Kadioglu,DF,Left_Back,25,Turkey,UEFA,Brighton & Hove Albion,PremierLeague,406.2,ferdikadioglu_TUR
Ferland Mendy,DF,Left_Back,30,France,UEFA,Real Madrid,LaLiga,227.5,ferlandmendy_FRA
Fernando de Paul,GK,Goalkeeper,34,Chile,CONMEBOL,CSD Colo-Colo,Primera_División,6.1,fernandodepaul_CHI
Fernando Muslera,GK,Goalkeeper,39,Uruguay,CONMEBOL,Club Estudiantes de La Plata,Liga_Profesional,13.0,fernandomuslera_URU
Ferran Torres,FW,Striker,25,Spain,UEFA,FC Barcelona,LaLiga,650.0,ferrantorres_SPA
Festy Ebosele,DF,Right_Back,22,Ireland,UEFA,Basaksehir FK,SuperLig,74.8,festyebosele_IRE
Fikayo Tomori,DF,Centre_Back,27,England,UEFA,AC Milan,Serie_A,325.0,fikayotomori_ENG
Filip Bundgaard,FW,Striker,21,Denmark,UEFA,Bröndby IF,Danish_Superligaen,32.5,filipbundgaard_DEN
Filip Jorgensen,GK,Goalkeeper,23,Denmark,UEFA,Chelsea FC,PremierLeague,292.5,filipjorgensen_DEN
Filip Kurto,GK,Goalkeeper,34,Poland,UEFA,Macarthur FC,A_League,6.1,filipkurto_POL
Filip Stankovic,GK,Goalkeeper,23,Serbia,UEFA,Venezia FC,Serie_B,97.5,filipstankovic_SER
Filip Ugrinic,MF,Central_Midfielder,26,Switzerland,UEFA,BSC Young Boys,Swiss_SuperLeague,113.8,filipugrinic_SWI
Finn Azaz,MF,Attacking_Midfielder,24,Ireland,UEFA,Middlesbrough FC,Championship,260.0,finnazaz_IRE
Finn Dahmen,GK,Goalkeeper,27,Germany,UEFA,FC Augsburg,Bundesliga,146.2,finndahmen_GER
Finn Jeltsch,DF,Centre_Back,19,Germany,UEFA,VfB Stuttgart,Bundesliga,325.0,finnjeltsch_GER
Finn Surman,DF,Centre_Back,21,New Zealand,OFC,Portland Timbers,MLS,13.0,finnsurman_NEW
Finn van Breemen,DF,Centre_Back,22,Netherlands,UEFA,FC Basel 1893,Swiss_SuperLeague,73.1,finnvanbreemen_NET
