name,position,age,nation,club,value,league
Roland Sallai,Right Winger,28,Hungary,Galatasaray,€10.00m,Süper Lig
Batista Mendy,Defensive Midfield,25,France,Trabzonspor,€10.00m,Süper Lig
Ernest Muci,Left Winger,24,Albania,Besiktas JK,€10.00m,Süper Lig
Diego Carlos,Centre-Back,32,Brazil,Fenerbahce,€9.50m,Süper Lig
Ugurcan Cakir,Goalkeeper,29,Türkiye,Trabzonspor,€9.50m,Süper Lig
Dominik Livakovic,Goalkeeper,30,Croatia,Fenerbahce,€9.00m,Süper Lig
Mauro Icardi,Centre-Forward,32,Argentina,Galatasaray,€9.00m,Süper Lig
Rafa Silva,Second Striker,32,Portugal,Besiktas JK,€9.00m,Süper Lig
Oleksandr Zubkov,Right Winger,28,Ukraine,Trabzonspor,€8.00m,Süper Lig
Moatasem Al-Musrati,Defensive Midfield,29,Libya,Besiktas JK,€8.00m,Süper Lig
Cengiz Under,Right Winger,28,Türkiye,Fenerbahce,€7.50m,Süper Lig
Mario Lemina,Defensive Midfield,31,Gabon,Galatasaray,€7.50m,Süper Lig
Irfan Can Kahveci,Right Winger,30,Türkiye,Fenerbahce,€7.00m,Süper Lig
Carlos Cuesta,Centre-Back,26,Colombia,Galatasaray,€7.00m,Süper Lig
Caglar Soyuncu,Centre-Back,29,Türkiye,Fenerbahce,€7.00m,Süper Lig
Ismail Jakobs,Left-Back,25,Senegal,Galatasaray,€7.00m,Süper Lig
Archie Brown,Left-Back,23,England,Fenerbahce,€7.00m,Süper Lig
Przemyslaw Frankowski,Right-Back,30,Poland,Galatasaray,€7.00m,Süper Lig
Abdulkerim Bardakci,Centre-Back,30,Türkiye,Galatasaray,€7.00m,Süper Lig
Elias Jelert,Right-Back,22,Denmark,Galatasaray,€7.00m,Süper Lig
Felix Uduokhai,Centre-Back,27,Germany,Besiktas JK,€7.00m,Süper Lig
Keny Arroyo,Right Winger,19,Ecuador,Besiktas JK,€7.00m,Süper Lig
Alexander Djiku,Centre-Back,30,Ghana,Fenerbahce,€6.50m,Süper Lig
Milot Rashica,Right Winger,29,Kosovo,Besiktas JK,€6.50m,Süper Lig
Danylo Sikan,Centre-Forward,24,Ukraine,Trabzonspor,€6.00m,Süper Lig
Berke Ozer,Goalkeeper,25,Türkiye,Eyüpspor,€6.00m,Süper Lig
Paul Onuachu,Centre-Forward,31,Nigeria,Trabzonspor,€6.00m,Süper Lig
Mert Muldur,Right-Back,26,Türkiye,Fenerbahce,€6.00m,Süper Lig
Emirhan Topcu,Centre-Back,24,Türkiye,Besiktas JK,€5.50m,Süper Lig
Taha Altikardes,Centre-Back,21,Türkiye,Göztepe,€5.50m,Süper Lig
Muhammed Cham,Attacking Midfield,24,Austria,Trabzonspor,€5.50m,Süper Lig
Rodrigo Becao,Centre-Back,29,Brazil,Fenerbahce,€5.50m,Süper Lig
David Jurasek,Left-Back,24,Czech Republic,Besiktas JK,€5.00m,Süper Lig
Wagner Pina,Right-Back,22,Cape Verde,Trabzonspor,€5.00m,Süper Lig
Ahmed Kutucu,Left Winger,25,Türkiye,Galatasaray,€5.00m,Süper Lig
Eren Elmali,Left-Back,25,Türkiye,Galatasaray,€5.00m,Süper Lig
Demir Ege Tiknaz,Central Midfield,20,Türkiye,Besiktas JK,€5.00m,Süper Lig
Mustafa Hekimoglu,Centre-Forward,18,Türkiye,Besiktas JK,€5.00m,Süper Lig
Derrick Kohn,Left-Back,26,Germany,Galatasaray,€5.00m,Süper Lig
Jerome Opoku,Centre-Back,26,Ghana,Basaksehir FK,€5.00m,Süper Lig
Eldor Shomurodov,Centre-Forward,30,Uzbekistan,Basaksehir FK,€5.00m,Süper Lig
Festy Ebosele,Right-Back,22,Ireland,Basaksehir FK,€4.60m,Süper Lig
Amir Hadziahmetovic,Defensive Midfield,28,Bosnia-Herzegovina,Besiktas JK,€4.50m,Süper Lig
Arseniy Batagov,Centre-Back,23,Ukraine,Trabzonspor,€4.50m,Süper Lig
Berat Ozdemir,Defensive Midfield,27,Türkiye,Basaksehir FK,€4.20m,Süper Lig
Kacper Kozlowski,Attacking Midfield,21,Poland,Gaziantep FK,€4.20m,Süper Lig
Qazim Laci,Central Midfield,29,Albania,Caykur Rizespor,€4.00m,Süper Lig
Anthony Dennis,Defensive Midfield,21,Nigeria,Göztepe,€4.00m,Süper Lig
Kaan Ayhan,Centre-Back,30,Türkiye,Galatasaray,€4.00m,Süper Lig
Yusuf Sari,Right Winger,26,Türkiye,Basaksehir FK,€3.80m,Süper Lig
Carlo Holse,Attacking Midfield,26,Denmark,Samsunspor,€3.80m,Süper Lig
Christopher Operi,Left-Back,28,Cote d'Ivoire,Basaksehir FK,€3.80m,Süper Lig
Abdulkadir Omur,Attacking Midfield,26,Türkiye,Antalyaspor,€3.60m,Süper Lig
Davie Selke,Centre-Forward,30,Germany,Basaksehir FK,€3.50m,Süper Lig
Antoine Makoumbou,Defensive Midfield,27,Congo,Samsunspor,€3.50m,Süper Lig
Cihan Canak,Right Winger,20,Türkiye,Trabzonspor,€3.50m,Süper Lig
Marius Mouandilmadji,Centre-Forward,27,Chad,Samsunspor,€3.50m,Süper Lig
Lincoln,Attacking Midfield,26,Brazil,Fenerbahce,€3.50m,Süper Lig
Ognjen Mimovic,Right-Back,20,Serbia,Fenerbahce,€3.50m,Süper Lig
Calegari,Right-Back,23,Brazil,Eyüpspor,€3.50m,Süper Lig
Jakub Kaluzinski,Defensive Midfield,22,Poland,Antalyaspor,€3.50m,Süper Lig
Denis Dragus,Centre-Forward,26,Romania,Eyüpspor,€3.50m,Süper Lig
Arbnor Muja,Right Winger,26,Albania,Samsunspor,€3.40m,Süper Lig
Berkan Kutlu,Central Midfield,27,Türkiye,Galatasaray,€3.20m,Süper Lig
Miguel Crespo,Central Midfield,28,Portugal,Basaksehir FK,€3.20m,Süper Lig
Bruno Petkovic,Centre-Forward,30,Croatia,Kocaelispor,€3.00m,Süper Lig
Joe Mendes,Right-Back,22,Sweden,Samsunspor,€3.00m,Süper Lig
Valentin Mihaila,Left Winger,25,Romania,Caykur Rizespor,€3.00m,Süper Lig
Leo Duarte,Centre-Back,29,Brazil,Basaksehir FK,€3.00m,Süper Lig
Juninho Bacuna,Central Midfield,27,Curacao,Gaziantep FK,€3.00m,Süper Lig
Bakhtiyor Zaynutdinov,Left-Back,27,Kazakhstan,Besiktas JK,€3.00m,Süper Lig
Enis Destan,Centre-Forward,23,Türkiye,Trabzonspor,€3.00m,Süper Lig
Henry Onyekuru,Left Winger,28,Nigeria,Genclerbirligi Ankara,€3.00m,Süper Lig
Riechedly Bazoer,Centre-Back,28,Curacao,Konyaspor,€3.00m,Süper Lig
Enis Bardhi,Attacking Midfield,30,North Macedonia,Konyaspor,€3.00m,Süper Lig
Olivier Ntcham,Attacking Midfield,29,Cameroon,Samsunspor,€2.80m,Süper Lig
Daizen Maeda,Left Winger,27,Japan,Celtic FC,€15.00m,Scottish Premiership
Cameron Carter-Vickers,Centre-Back,27,United States,Celtic FC,€14.00m,Scottish Premiership
Reo Hatate,Central Midfield,27,Japan,Celtic FC,€13.00m,Scottish Premiership
Arne Engels,Central Midfield,21,Belgium,Celtic FC,€12.00m,Scottish Premiership
Alistair Johnston,Right-Back,26,Canada,Celtic FC,€10.00m,Scottish Premiership
Nicolas Raskin,Central Midfield,24,Belgium,Rangers FC,€10.00m,Scottish Premiership
Nasser Djiga,Centre-Back,22,Burkina Faso,Rangers FC,€10.00m,Scottish Premiership
Kieran Tierney,Left-Back,28,Scotland,Celtic FC,€9.00m,Scottish Premiership
Lennon Miller,Central Midfield,18,Scotland,Motherwell FC,€8.00m,Scottish Premiership
Mohamed Diomande,Central Midfield,23,Cote d'Ivoire,Rangers FC,€8.00m,Scottish Premiership
Jota,Left Winger,26,Portugal,Celtic FC,€8.00m,Scottish Premiership
Hamza Igamane,Centre-Forward,22,Morocco,Rangers FC,€7.00m,Scottish Premiership
Adam Idah,Centre-Forward,24,Ireland,Celtic FC,€6.50m,Scottish Premiership
Benjamin Nygren,Right Winger,24,Sweden,Celtic FC,€6.00m,Scottish Premiership
Max Aarons,Right-Back,25,England,Rangers FC,€6.00m,Scottish Premiership
Auston Trusty,Centre-Back,26,United States,Celtic FC,€6.00m,Scottish Premiership
Paulo Bernardo,Central Midfield,23,Portugal,Celtic FC,€5.50m,Scottish Premiership
Jose Cifuentes,Central Midfield,26,Ecuador,Rangers FC,€5.00m,Scottish Premiership
Callum McGregor,Central Midfield,32,Scotland,Celtic FC,€5.00m,Scottish Premiership
Thibault Klidje,Centre-Forward,24,Togo,Hibernian FC,€4.00m,Scottish Premiership
John Souttar,Centre-Back,28,Scotland,Rangers FC,€4.00m,Scottish Premiership
Cyriel Dessers,Centre-Forward,30,Nigeria,Rangers FC,€4.00m,Scottish Premiership
Liam Scales,Centre-Back,26,Ireland,Celtic FC,€4.00m,Scottish Premiership
Jefte,Left-Back,21,Brazil,Rangers FC,€4.00m,Scottish Premiership
Dujon Sterling,Right-Back,25,England,Rangers FC,€3.50m,Scottish Premiership
Ridvan Yilmaz,Left-Back,24,Türkiye,Rangers FC,€3.50m,Scottish Premiership
Nedim Bajrami,Attacking Midfield,26,Albania,Rangers FC,€3.00m,Scottish Premiership
Oscar Cortes,Left Winger,21,Colombia,Rangers FC,€3.00m,Scottish Premiership
Lawrence Shankland,Centre-Forward,29,Scotland,Heart of Midlothian FC,€2.50m,Scottish Premiership
Hyun-jun Yang,Right Winger,23,"Korea, South",Celtic FC,€2.50m,Scottish Premiership
Luke McCowan,Central Midfield,27,Scotland,Celtic FC,€2.50m,Scottish Premiership
Ben Davies,Centre-Back,29,England,Rangers FC,€2.50m,Scottish Premiership
Connor Barron,Central Midfield,22,Scotland,Rangers FC,€2.50m,Scottish Premiership
Robin Propper,Centre-Back,31,Netherlands,Rangers FC,€2.00m,Scottish Premiership
Danilo,Centre-Forward,26,Brazil,Rangers FC,€2.00m,Scottish Premiership
Thelo Aasgaard,Attacking Midfield,23,Norway,Rangers FC,€2.00m,Scottish Premiership
Djeidi Gassama,Left Winger,21,France,Rangers FC,€2.00m,Scottish Premiership
Topi Keskinen,Left Winger,22,Finland,Aberdeen FC,€2.00m,Scottish Premiership
Joe Rothwell,Central Midfield,30,England,Rangers FC,€1.80m,Scottish Premiership
Lyall Cameron,Attacking Midfield,22,Scotland,Rangers FC,€1.80m,Scottish Premiership
David Watson,Central Midfield,20,Scotland,Kilmarnock FC,€1.50m,Scottish Premiership
Elie Youan,Left Winger,26,France,Hibernian FC,€1.50m,Scottish Premiership
Beni Baningime,Defensive Midfield,26,DR Congo,Heart of Midlothian FC,€1.50m,Scottish Premiership
James Tavernier,Right-Back,33,England,Rangers FC,€1.50m,Scottish Premiership
Jack Butland,Goalkeeper,32,England,Rangers FC,€1.50m,Scottish Premiership
Rabbi Matondo,Right Winger,24,Wales,Rangers FC,€1.50m,Scottish Premiership
Anthony Ralston,Right-Back,26,Scotland,Celtic FC,€1.50m,Scottish Premiership
Alexander Jensen,Right-Back,23,Denmark,Aberdeen FC,€1.50m,Scottish Premiership
Adil Aouchiche,Attacking Midfield,23,France,Aberdeen FC,€1.50m,Scottish Premiership
Slobodan Rubezic,Centre-Back,25,Montenegro,Aberdeen FC,€1.50m,Scottish Premiership
Leighton Clarkson,Attacking Midfield,23,England,Aberdeen FC,€1.30m,Scottish Premiership
Josh Campbell,Attacking Midfield,25,Scotland,Hibernian FC,€1.20m,Scottish Premiership
Jamie McGrath,Attacking Midfield,28,Ireland,Hibernian FC,€1.20m,Scottish Premiership
Michael Steinwender,Centre-Back,25,Austria,Heart of Midlothian FC,€1.20m,Scottish Premiership
James Wilson,Centre-Forward,18,Scotland,Heart of Midlothian FC,€1.20m,Scottish Premiership
Pape Habib Gueye,Centre-Forward,25,Senegal,Aberdeen FC,€1.20m,Scottish Premiership
Kieron Bowie,Centre-Forward,22,Scotland,Hibernian FC,€1.00m,Scottish Premiership
Cammy Devlin,Central Midfield,27,Australia,Heart of Midlothian FC,€1.00m,Scottish Premiership
Calem Nieuwenhof,Defensive Midfield,24,Australia,Heart of Midlothian FC,€1.00m,Scottish Premiership
Viljami Sinisalo,Goalkeeper,23,Finland,Celtic FC,€1.00m,Scottish Premiership
Kieran Dowell,Attacking Midfield,27,England,Rangers FC,€1.00m,Scottish Premiership
Ross McCausland,Right Winger,22,Northern Ireland,Rangers FC,€1.00m,Scottish Premiership
Stephen Welsh,Centre-Back,25,Scotland,Celtic FC,€1.00m,Scottish Premiership
Dimitar Mitov,Goalkeeper,28,Bulgaria,Aberdeen FC,€1.00m,Scottish Premiership
Shayden Morris,Right Winger,23,England,Aberdeen FC,€1.00m,Scottish Premiership
Kristers Tobers,Centre-Back,24,Latvia,Aberdeen FC,€1.00m,Scottish Premiership
Ester Sokler,Centre-Forward,26,Slovenia,Aberdeen FC,€1.00m,Scottish Premiership
Lewis Miller,Right-Back,24,Australia,Hibernian FC,€900k,Scottish Premiership
Rocky Bushiri,Centre-Back,25,DR Congo,Hibernian FC,€900k,Scottish Premiership
Marco Tilio,Right Winger,23,Australia,Celtic FC,€900k,Scottish Premiership
Kenneth Vargas,Centre-Forward,23,Costa Rica,Heart of Midlothian FC,€900k,Scottish Premiership
Lewis Mayo,Centre-Back,25,Scotland,Kilmarnock FC,€850k,Scottish Premiership
Nicolas Milanovic,Right Winger,23,Australia,Aberdeen FC,€850k,Scottish Premiership
Josh Mulligan,Right Midfield,22,Scotland,Hibernian FC,€800k,Scottish Premiership
Nicky Cadden,Left Midfield,28,Scotland,Hibernian FC,€800k,Scottish Premiership
Emmanuel Longelo,Left-Back,24,England,Motherwell FC,€800k,Scottish Premiership
Ibrahim Said,Right Winger,23,Nigeria,Motherwell FC,€800k,Scottish Premiership
Will Ferry,Left Midfield,24,Ireland,Dundee United FC,€800k,Scottish Premiership
Shin Yamada,Centre-Forward,25,Japan,Celtic FC,€800k,Scottish Premiership
Bailey Rice,Defensive Midfield,18,Scotland,Rangers FC,€800k,Scottish Premiership
Frankie Kent,Centre-Back,29,England,Heart of Midlothian FC,€800k,Scottish Premiership
Blair Spittal,Central Midfield,29,Scotland,Heart of Midlothian FC,€800k,Scottish Premiership
Liam Kelly,Goalkeeper,29,Scotland,Rangers FC,€800k,Scottish Premiership
Leon King,Centre-Back,21,Scotland,Rangers FC,€800k,Scottish Premiership
Yan Dhanda,Attacking Midfield,26,England,Heart of Midlothian FC,€700k,Scottish Premiership
Hyeok-kyu Kwon,Defensive Midfield,24,"Korea, South",Celtic FC,€700k,Scottish Premiership
Ross Graham,Centre-Back,24,Scotland,Dundee United FC,€700k,Scottish Premiership
Mark O'Hara,Defensive Midfield,29,Scotland,St. Mirren FC,€700k,Scottish Premiership
Alfie Dorrington,Centre-Back,20,England,Aberdeen FC,€700k,Scottish Premiership
Ewan Wilson,Left-Back,20,Scotland,Motherwell FC,€700k,Scottish Premiership
Lewis Neilson,Centre-Back,22,Scotland,Falkirk FC,€700k,Scottish Premiership
Martin Boyle,Right Winger,32,Australia,Hibernian FC,€700k,Scottish Premiership
Joe Newell,Central Midfield,32,England,Hibernian FC,€700k,Scottish Premiership
Vicko Sevelj,Defensive Midfield,24,Croatia,Dundee United FC,€700k,Scottish Premiership
Robbie Deas,Centre-Back,25,Scotland,Kilmarnock FC,€650k,Scottish Premiership
Alasana Manneh,Central Midfield,27,The Gambia,Hibernian FC,€650k,Scottish Premiership
Dylan Levitt,Central Midfield,24,Wales,Hibernian FC,€650k,Scottish Premiership
Raphael Sallinger,Goalkeeper,29,Austria,Hibernian FC,€600k,Scottish Premiership
Ryan Strain,Right-Back,28,Australia,Dundee United FC,€600k,Scottish Premiership
Yevgeniy Kucherenko,Goalkeeper,25,Ukraine,Dundee United FC,€600k,Scottish Premiership
Alvyn Sanches,Central Midfield,22,Switzerland,FC Lausanne-Sport,€14.00m,Swiss SuperLeague
Mattia Zanotti,Right-Back,22,Italy,FC Lugano,€13.00m,Swiss SuperLeague
Albian Hajdari,Centre-Back,22,Switzerland,FC Lugano,€12.00m,Swiss SuperLeague
Benie Traore,Left Winger,22,Cote d'Ivoire,FC Basel 1893,€10.00m,Swiss SuperLeague
Willem Geubbels,Centre-Forward,23,France,FC St. Gallen 1879,€10.00m,Swiss SuperLeague
Jaouen Hadjam,Left-Back,22,Algeria,BSC Young Boys,€9.00m,Swiss SuperLeague
Marvin Keller,Goalkeeper,23,Switzerland,BSC Young Boys,€9.00m,Swiss SuperLeague
Jonas Adjetey,Centre-Back,21,Ghana,FC Basel 1893,€8.00m,Swiss SuperLeague
Martim Marques,Left-Back,21,Portugal,FC Lugano,€7.00m,Swiss SuperLeague
Filip Ugrinic,Central Midfield,26,Switzerland,BSC Young Boys,€7.00m,Swiss SuperLeague
Joel Monteiro,Right Midfield,25,Switzerland,BSC Young Boys,€6.00m,Swiss SuperLeague
Adrian Leon Barisic,Centre-Back,24,Bosnia-Herzegovina,FC Basel 1893,€5.00m,Swiss SuperLeague
Anton Kade,Right Midfield,21,Germany,FC Basel 1893,€5.00m,Swiss SuperLeague
Zachary Athekame,Right-Back,20,Switzerland,BSC Young Boys,€5.00m,Swiss SuperLeague
Karim Sow,Centre-Back,22,Switzerland,FC Lausanne-Sport,€5.00m,Swiss SuperLeague
Christian Witzig,Left Midfield,24,Switzerland,FC St. Gallen 1879,€5.00m,Swiss SuperLeague
Koba Koindredi,Central Midfield,23,France,FC Basel 1893,€4.50m,Swiss SuperLeague
Finn van Breemen,Centre-Back,22,Netherlands,FC Basel 1893,€4.50m,Swiss SuperLeague
Kevin Carlos,Centre-Forward,24,Spain,FC Basel 1893,€4.50m,Swiss SuperLeague
Georgios Koutsias,Centre-Forward,21,Greece,FC Lugano,€4.50m,Swiss SuperLeague
Jamie Roche,Defensive Midfield,24,Sweden,FC Lausanne-Sport,€4.50m,Swiss SuperLeague
Dominik Schmid,Left-Back,27,Switzerland,FC Basel 1893,€4.00m,Swiss SuperLeague
Ayman El Wafi,Centre-Back,21,Morocco,FC Lugano,€4.00m,Swiss SuperLeague
Philip Otele,Left Winger,26,Nigeria,FC Basel 1893,€4.00m,Swiss SuperLeague
Meschack Elia,Centre-Forward,27,DR Congo,BSC Young Boys,€4.00m,Swiss SuperLeague
Mohamed Belhadj Mahmoud,Defensive Midfield,25,Tunisia,FC Lugano,€4.00m,Swiss SuperLeague
Timothe Cognat,Central Midfield,27,France,Servette FC,€4.00m,Swiss SuperLeague
Junior Ligue,Left-Back,20,Switzerland,FC Zürich,€4.00m,Swiss SuperLeague
Cheveyo Tsawa,Central Midfield,18,Switzerland,FC Zürich,€4.00m,Swiss SuperLeague
Keigo Tsunemoto,Right-Back,26,Japan,FC Basel 1893,€3.50m,Swiss SuperLeague
Lukasz Lakomy,Central Midfield,24,Poland,BSC Young Boys,€3.50m,Swiss SuperLeague
Gregory Wuthrich,Centre-Back,30,Switzerland,BSC Young Boys,€3.50m,Swiss SuperLeague
Lars Villiger,Centre-Forward,22,Switzerland,FC Luzern,€3.50m,Swiss SuperLeague
Antonios Papadopoulos,Centre-Back,25,Greece,FC Lugano,€3.50m,Swiss SuperLeague
Pascal Loretz,Goalkeeper,22,Switzerland,FC Luzern,€3.50m,Swiss SuperLeague
Ilyas Chouaref,Left Winger,24,Malta,FC Sion,€3.50m,Swiss SuperLeague
Alan Virginius,Left Winger,22,France,BSC Young Boys,€3.00m,Swiss SuperLeague
Darian Males,Right Midfield,24,Switzerland,BSC Young Boys,€3.00m,Swiss SuperLeague
Lewin Blum,Right-Back,23,Switzerland,BSC Young Boys,€3.00m,Swiss SuperLeague
Metinho,Central Midfield,22,Brazil,FC Basel 1893,€3.00m,Swiss SuperLeague
Edimilson Fernandes,Defensive Midfield,29,Switzerland,BSC Young Boys,€3.00m,Swiss SuperLeague
Alexis Antunes,Attacking Midfield,24,Switzerland,Servette FC,€3.00m,Swiss SuperLeague
Uran Bislimi,Attacking Midfield,25,Switzerland,FC Lugano,€3.00m,Swiss SuperLeague
Amir Saipi,Goalkeeper,25,Kosovo,FC Lugano,€3.00m,Swiss SuperLeague
Theo Berdayes,Right Winger,23,Switzerland,FC Sion,€3.00m,Swiss SuperLeague
Marin Soticek,Right Winger,20,Croatia,FC Basel 1893,€2.50m,Swiss SuperLeague
Ahmed Kendouci,Central Midfield,26,Algeria,FC Lugano,€2.50m,Swiss SuperLeague
Chris Bedia,Centre-Forward,29,Cote d'Ivoire,BSC Young Boys,€2.50m,Swiss SuperLeague
Bung Meng Freimann,Centre-Back,19,Switzerland,FC Luzern,€2.50m,Swiss SuperLeague
Justin Hammel,Goalkeeper,24,Switzerland,Grasshopper Club Zurich,€2.50m,Swiss SuperLeague
Anton Miranchuk,Attacking Midfield,29,Russia,FC Sion,€2.50m,Swiss SuperLeague
Xherdan Shaqiri,Attacking Midfield,33,Switzerland,FC Basel 1893,€2.00m,Swiss SuperLeague
Ebrima Colley,Right Winger,25,The Gambia,BSC Young Boys,€2.00m,Swiss SuperLeague
Leo Leroy,Central Midfield,25,France,FC Basel 1893,€2.00m,Swiss SuperLeague
Yanis Cimignani,Left Midfield,23,France,FC Lugano,€2.00m,Swiss SuperLeague
Kastriot Imeri,Central Midfield,25,Switzerland,BSC Young Boys,€2.00m,Swiss SuperLeague
Gabriel Sigua,Central Midfield,20,Georgia,FC Basel 1893,€2.00m,Swiss SuperLeague
Rayan Raveloson,Central Midfield,28,Madagascar,BSC Young Boys,€2.00m,Swiss SuperLeague
Christian Fassnacht,Right Winger,31,Switzerland,BSC Young Boys,€2.00m,Swiss SuperLeague
Theo Magnin,Right-Back,21,Switzerland,Servette FC,€2.00m,Swiss SuperLeague
Keyan Varela,Left Winger,19,Portugal,Servette FC,€2.00m,Swiss SuperLeague
Lukas Mai,Centre-Back,25,Germany,FC Lugano,€2.00m,Swiss SuperLeague
Kaly Sene,Centre-Forward,24,Senegal,FC Lausanne-Sport,€2.00m,Swiss SuperLeague
Jahnoah Markelo,Right Winger,22,Netherlands,FC Zürich,€2.00m,Swiss SuperLeague
Corsin Konietzke,Defensive Midfield,19,Switzerland,FC St. Gallen 1879,€2.00m,Swiss SuperLeague
Carlo Boukhalfa,Central Midfield,26,Germany,FC St. Gallen 1879,€2.00m,Swiss SuperLeague
Tanguy Zoukrou,Centre-Back,22,France,BSC Young Boys,€1.80m,Swiss SuperLeague
Donat Rrudhani,Right Midfield,26,Kosovo,BSC Young Boys,€1.80m,Swiss SuperLeague
Levin Winkler,Central Midfield,21,Switzerland,FC Luzern,€1.80m,Swiss SuperLeague
Bledian Krasniqi,Attacking Midfield,24,Kosovo,FC Zürich,€1.70m,Swiss SuperLeague
Noah Persson,Left-Back,22,Sweden,BSC Young Boys,€1.50m,Swiss SuperLeague
Cedric Itten,Centre-Forward,28,Switzerland,BSC Young Boys,€1.50m,Swiss SuperLeague
Nikolas Muci,Centre-Forward,22,Switzerland,Grasshopper Club Zurich,€1.50m,Swiss SuperLeague
Adrian Bajrami,Centre-Back,23,Albania,FC Luzern,€1.50m,Swiss SuperLeague
Jonathan Asp Jensen,Attacking Midfield,19,Denmark,Grasshopper Club Zurich,€1.50m,Swiss SuperLeague
Baltazar,Central Midfield,25,Brazil,FC Sion,€1.50m,Swiss SuperLeague
Bastien Toma,Central Midfield,26,Switzerland,FC St. Gallen 1879,€1.50m,Swiss SuperLeague
Anto Grgic,Central Midfield,28,Switzerland,FC Lugano,€1.50m,Swiss SuperLeague
Shkelqim Vladi,Centre-Forward,24,Kosovo,FC Lugano,€1.50m,Swiss SuperLeague
Nicolas Vouilloz,Centre-Back,24,Switzerland,FC Basel 1893,€1.50m,Swiss SuperLeague
Ablie Jallow,Right Midfield,26,The Gambia,Servette FC,€1.50m,Swiss SuperLeague
Bradley Mazikou,Left-Back,29,Congo,Servette FC,€1.50m,Swiss SuperLeague
Timothy Fayulu,Goalkeeper,26,DR Congo,FC Sion,€1.40m,Swiss SuperLeague
Ezgjan Alioski,Left-Back,33,North Macedonia,FC Lugano,€1.20m,Swiss SuperLeague
Daniel Dos Santos,Attacking Midfield,22,Switzerland,FC Lugano,€1.20m,Swiss SuperLeague
Miguel Chaiwa,Defensive Midfield,21,Zambia,BSC Young Boys,€1.20m,Swiss SuperLeague
Steven Zuber,Attacking Midfield,33,Switzerland,FC Zürich,€1.20m,Swiss SuperLeague
Matthias Phaeton,Left Winger,25,Guadeloupe,FC Zürich,€1.20m,Swiss SuperLeague
Juan Carlos Gauto,Right Winger,21,Argentina,FC Basel 1893,€1.20m,Swiss SuperLeague
Teddy Okou,Right Winger,27,France,FC Luzern,€1.20m,Swiss SuperLeague
Mihailo Stevanovic,Central Midfield,23,Serbia,FC St. Gallen 1879,€1.20m,Swiss SuperLeague
Karlo Letica,Goalkeeper,28,Croatia,FC Lausanne-Sport,€1.20m,Swiss SuperLeague
Umeh Emmanuel,Left Winger,20,Nigeria,FC Zürich,€1.20m,Swiss SuperLeague
Tim Meyer,Defensive Midfield,21,Switzerland,Grasshopper Club Zurich,€1.20m,Swiss SuperLeague
Lukas Gortler,Right Midfield,31,Germany,FC St. Gallen 1879,€1.20m,Swiss SuperLeague
Lawrence Ati Zigi,Goalkeeper,28,Ghana,FC St. Gallen 1879,€1.20m,Swiss SuperLeague
Matteo Di Giusto,Attacking Midfield,24,Switzerland,FC Luzern,€1.20m,Swiss SuperLeague
Tyron Owusu,Central Midfield,22,Switzerland,FC Luzern,€1.20m,Swiss SuperLeague
Yoan Severin,Centre-Back,28,France,Servette FC,€1.20m,Swiss SuperLeague
Mariano Gomez,Centre-Back,26,Argentina,FC Zürich,€1.00m,Swiss SuperLeague
Oscar Gloukh,Attacking Midfield,21,Israel,Red Bull Salzburg,€20.00m,Austria Bundesliga
Karim Konate,Centre-Forward,21,Cote d'Ivoire,Red Bull Salzburg,€15.00m,Austria Bundesliga
Joane Gadou,Centre-Back,18,France,Red Bull Salzburg,€15.00m,Austria Bundesliga
Dorgeles Nene,Left Winger,22,Mali,Red Bull Salzburg,€12.00m,Austria Bundesliga
Mads Bidstrup,Central Midfield,24,Denmark,Red Bull Salzburg,€10.00m,Austria Bundesliga
Maurits Kjaergaard,Central Midfield,22,Denmark,Red Bull Salzburg,€10.00m,Austria Bundesliga
Lucas Gourna-Douath,Defensive Midfield,21,France,Red Bull Salzburg,€8.00m,Austria Bundesliga
William Boving,Centre-Forward,22,Denmark,SK Sturm Graz,€8.00m,Austria Bundesliga
Moussa Yeo,Right Winger,21,Mali,Red Bull Salzburg,€8.00m,Austria Bundesliga
Chibuike Nwaiwu,Centre-Back,22,Nigeria,Wolfsberger AC,€7.00m,Austria Bundesliga
Yorbe Vertessen,Centre-Forward,24,Belgium,Red Bull Salzburg,€6.00m,Austria Bundesliga
Otar Kiteishvili,Attacking Midfield,29,Georgia,SK Sturm Graz,€6.00m,Austria Bundesliga
Mamadou Sangare,Central Midfield,23,Mali,Rapid Vienna,€6.00m,Austria Bundesliga
Dejan Zukic,Attacking Midfield,24,Serbia,Wolfsberger AC,€5.00m,Austria Bundesliga
Thierno Ballo,Left Winger,23,Austria,Wolfsberger AC,€5.00m,Austria Bundesliga
Tomi Horvat,Right Midfield,26,Slovenia,SK Sturm Graz,€5.00m,Austria Bundesliga
Tim Oermann,Centre-Back,21,Germany,SK Sturm Graz,€5.00m,Austria Bundesliga
Adam Daghim,Centre-Forward,19,Denmark,Red Bull Salzburg,€5.00m,Austria Bundesliga
Serge-Philippe Raux-Yao,Centre-Back,26,France,Rapid Vienna,€5.00m,Austria Bundesliga
Kamil Piatkowski,Centre-Back,25,Poland,Red Bull Salzburg,€4.50m,Austria Bundesliga
Bobby Clark,Central Midfield,20,England,Red Bull Salzburg,€4.50m,Austria Bundesliga
