name,position,age,nation,club,value
Milos Lukovic,Centre-Forward,19,Serbia,RC Strasbourg Alsace,€5.00m
Victor Gabriel,Centre-Back,21,Brazil,Sport Club Internacional,€5.00m
Noah Nartey,Central Midfield,19,Denmark,Bröndby IF,€5.00m
Quinn Sullivan,Central Midfield,21,United States,Philadelphia Union,€5.00m
Mert Komur,Attacking Midfield,20,Germany,FC Augsburg,€5.00m
Kaio Cesar,Right Winger,21,Brazil,Al-Hilal SFC,€5.00m
Williot Swedberg,Left Winger,21,Sweden,Celta de Vigo,€5.00m
Yassine Titraoui,Central Midfield,21,Algeria,Royal Charleroi SC,€5.00m
Vinicius Tobias,Right-Back,21,Brazil,Shakhtar Donetsk,€5.00m
Nino Marcelli,Left Winger,20,Slovakia,Slovan Bratislava,€5.00m
Leo Sauer,Left Winger,19,Slovakia,Feyenoord Rotterdam,€5.00m
Tim Oermann,Centre-Back,21,Germany,SK Sturm Graz,€5.00m
James Beadle,Goalkeeper,21,England,Birmingham City,€5.00m
Mathias Lovik,Left-Back,21,Norway,Parma Calcio 1913,€5.00m
Bilal Nadir,Central Midfield,21,Morocco,Olympique Marseille,€5.00m
Jakob Breum,Attacking Midfield,21,Denmark,Go Ahead Eagles,€5.00m
Toby Collyer,Defensive Midfield,21,England,Manchester United,€5.00m
Anton Kade,Right Midfield,21,Germany,FC Basel 1893,€5.00m
Cher Ndour,Central Midfield,20,Italy,ACF Fiorentina,€5.00m
Antoni Kozubal,Defensive Midfield,20,Poland,Lech Poznan,€5.00m
Yunus Emre Konak,Defensive Midfield,19,Türkiye,Brentford FC,€4.50m
Trey Nyoni,Central Midfield,18,England,Liverpool FC U21,€4.50m
Isak Vural,Central Midfield,19,Türkiye,Pisa Sporting Club,€4.50m
Noah Adedeji-Sternberg,Left Winger,20,Belgium,KRC Genk,€4.50m
Leonel Perez,Defensive Midfield,20,Argentina,CA Huracán,€4.50m
Kyriani Sabbe,Right-Back,20,Belgium,Club Brugge KV,€4.50m
Georgios Koutsias,Centre-Forward,21,Greece,FC Lugano,€4.50m
Matej Sin,Attacking Midfield,21,Czech Republic,FC Banik Ostrava,€4.50m
Bobby Clark,Central Midfield,20,England,Red Bull Salzburg,€4.50m
Dor Turgeman,Centre-Forward,21,Israel,Maccabi Tel Aviv,€4.50m
Matteo Dams,Left-Back,21,Belgium,Al-Ahli SFC,€4.50m
Rav van den Berg,Centre-Back,21,Netherlands,Middlesbrough FC,€4.50m
Victor Hugo,Attacking Midfield,21,Brazil,CR Flamengo,€4.20m
Kacper Kozlowski,Attacking Midfield,21,Poland,Gaziantep FK,€4.20m
Diego Leon,Left-Back,18,Paraguay,Manchester United,€4.00m
Lautaro Rivero,Centre-Back,21,Argentina,CA River Plate,€4.00m
Edmund Baidoo,Right Winger,19,Ghana,Red Bull Salzburg,€4.00m
Lucas Sanabria,Defensive Midfield,21,Uruguay,Los Angeles Galaxy,€4.00m
Love Arrhov,Attacking Midfield,17,Sweden,IF Brommapojkarna,€4.00m
Idrissa Gueye,Centre-Forward,18,Senegal,FC Metz,€4.00m
Amadou Kone,Defensive Midfield,20,Cote d'Ivoire,NEOM SC,€4.00m
Keita Kosugi,Left-Back,19,Japan,Djurgårdens IF,€4.00m
Louis Leroux,Attacking Midfield,19,France,FC Nantes,€4.00m
Anthony Dennis,Defensive Midfield,21,Nigeria,Göztepe,€4.00m
Papa Amadou Diallo,Left Winger,21,Senegal,FC Metz,€4.00m
Gabriel Bontempo,Central Midfield,20,Brazil,Santos FC,€4.00m
Allan,Right Winger,21,Brazil,Sociedade Esportiva Palmeiras,€4.00m
Emmanuel Biumla,Centre-Back,20,France,Angers SCO,€4.00m
Deniz Gul,Centre-Forward,21,Türkiye,FC Porto,€4.00m
Enso Gonzalez,Left Winger,20,Paraguay,Wolverhampton Wanderers,€4.00m
Gora Diouf,Centre-Back,21,Senegal,KV Mechelen,€4.00m
Jan Ziolkowski,Centre-Back,20,Poland,Legia Warszawa,€4.00m
Mario Dorgeles,Central Midfield,20,Cote d'Ivoire,SC Braga,€4.00m
Niko Sigur,Defensive Midfield,21,Canada,HNK Hajduk Split,€4.00m
Yaya Fofana,Central Midfield,21,Cote d'Ivoire,Stade Reims,€4.00m
Ricardo Mathias,Centre-Forward,18,Brazil,Sport Club Internacional,€4.00m
Ruben Lezcano,Attacking Midfield,21,Paraguay,Fluminense Football Club,€4.00m
Ilyas Ansah,Centre-Forward,20,Germany,1.FC Union Berlin,€4.00m
Nobel Mendy,Centre-Back,20,Senegal,Real Betis Balompié,€4.00m
Eguinaldo,Left Winger,20,Brazil,Shakhtar Donetsk,€4.00m
Adrian Przyborek,Attacking Midfield,18,Poland,Pogon Szczecin,€4.00m
Wesley,Left Winger,20,Brazil,Al-Nassr FC,€4.00m
Jaydee Canvot,Centre-Back,18,France,FC Toulouse,€4.00m
Santiago Castaneda,Defensive Midfield,20,United States,SC Paderborn 07,€4.00m
Tobias Ramirez,Centre-Back,18,Argentina,AA Argentinos Juniors,€4.00m
Mattia Liberali,Attacking Midfield,18,Italy,AC Milan Primavera,€4.00m
Julian Fernandez,Right Winger,21,Argentina,New York City FC,€4.00m
Kodai Sano,Central Midfield,21,Japan,NEC Nijmegen,€4.00m
Nestory Irankunda,Right Winger,19,Australia,Watford FC,€4.00m
Vasilije Adzic,Attacking Midfield,19,Montenegro,Juventus FC,€4.00m
Adam Aznou,Left-Back,19,Morocco,Bayern Munich,€4.00m
Samuel Amo-Ameyaw,Right Winger,19,England,RC Strasbourg Alsace,€4.00m
Agustin Ojeda,Left Winger,21,Argentina,New York City FC,€4.00m
Hugo Sotelo,Central Midfield,21,Spain,Celta de Vigo,€4.00m
Kevin Kelsy,Centre-Forward,20,Venezuela,Portland Timbers,€4.00m
Kevin Zeroli,Central Midfield,20,Italy,AC Monza,€4.00m
Oliver Braude,Right-Back,21,Norway,SC Heerenveen,€4.00m
Maxi Oyedele,Defensive Midfield,20,Poland,RC Strasbourg Alsace,€4.00m
Junior Ligue,Left-Back,20,Switzerland,FC Zürich,€4.00m
Ayman El Wafi,Centre-Back,21,Morocco,FC Lugano,€4.00m
Jefte,Left-Back,21,Brazil,Rangers FC,€4.00m
Mihailo Ivanovic,Centre-Forward,20,Serbia,Millwall FC,€4.00m
Max Weiss,Goalkeeper,21,Germany,Burnley FC,€4.00m
Dzenan Pejcinovic,Centre-Forward,20,Germany,VfL Wolfsburg,€4.00m
Max Finkgrafe,Left-Back,21,Germany,RB Leipzig,€4.00m
Slawomir Abramowicz,Goalkeeper,21,Poland,Jagiellonia Bialystok,€4.00m
Cheveyo Tsawa,Central Midfield,18,Switzerland,FC Zürich,€4.00m
Willy Kambwala,Centre-Back,20,France,Villarreal CF,€4.00m
Luka Romero,Right Winger,20,Argentina,CD Cruz Azul,€4.00m
Arijon Ibrahimovic,Attacking Midfield,19,Germany,1.FC Heidenheim 1846,€4.00m
David Mella,Right Winger,20,Spain,Deportivo de La Coruña,€4.00m
Kacper Trelowski,Goalkeeper,21,Poland,Raków Częstochowa,€4.00m
Ernest Poku,Right Winger,21,Netherlands,AZ Alkmaar,€4.00m
Keke Topp,Centre-Forward,21,Germany,SV Werder Bremen,€4.00m
Kristian Hlynsson,Attacking Midfield,21,Iceland,Twente Enschede FC,€4.00m
Markus Karlsson,Central Midfield,21,Sweden,Hammarby IF,€4.00m
Matthieu Epolo,Goalkeeper,20,Belgium,Standard Liège,€4.00m
Divin Mubama,Centre-Forward,20,England,Stoke City,€4.00m
Cade Cowell,Left Winger,21,United States,Deportivo Guadalajara,€4.00m
Gjivai Zechiel,Defensive Midfield,21,Netherlands,FC Utrecht,€4.00m
Livan Burcu,Left Winger,20,Türkiye,1.FC Union Berlin,€4.00m
Sebastian Boselli,Centre-Back,21,Uruguay,CA River Plate,€3.80m
Antonio Raimondo,Centre-Forward,21,Italy,Frosinone Calcio,€3.80m
Santino Andino,Left Winger,19,Argentina,CD Godoy Cruz Antonio Tomba,€3.50m
Alvaro Montoro,Attacking Midfield,18,Argentina,Botafogo de Futebol e Regatas,€3.50m
Bruno Durdov,Right Winger,17,Croatia,HNK Hajduk Split,€3.50m
Eivind Helland,Centre-Back,20,Norway,SK Brann,€3.50m
Matheus Alves,Attacking Midfield,20,Brazil,CSKA Moscow,€3.50m
Anton Matkovic,Centre-Forward,19,Croatia,NK Osijek,€3.50m
Iker Fimbres,Attacking Midfield,20,Mexico,CF Monterrey,€3.50m
Vinicinho,Left Winger,21,Brazil,Red Bull Bragantino,€3.50m
Lorenzo Scipioni,Central Midfield,20,Argentina,Olympiacos Piraeus,€3.50m
Min-hyeok Yang,Right Winger,19,"Korea, South",Tottenham Hotspur,€3.50m
Thiago Helguera,Defensive Midfield,19,Uruguay,SC Braga,€3.50m
Michal Gurgul,Left-Back,19,Poland,Lech Poznan,€3.50m
Denil Castillo,Central Midfield,21,Ecuador,FC Midtjylland,€3.50m
Matias Abaldo,Right Winger,21,Uruguay,Defensor Sporting Club,€3.50m
Lucas Hogsberg,Centre-Back,19,Denmark,FC Nordsjaelland,€3.50m
Marco Palestra,Right Midfield,20,Italy,Atalanta BC,€3.50m
Yaimar Medina,Left-Back,20,Ecuador,KRC Genk,€3.50m
Ognjen Mimovic,Right-Back,20,Serbia,Fenerbahce,€3.50m
Alex Luna,Second Striker,21,Argentina,Instituto ACC,€3.50m
Nathan-Dylan Saliba,Central Midfield,21,Canada,RSC Anderlecht,€3.50m
Mateo Joseph,Centre-Forward,21,Spain,Leeds United,€3.50m
Maurice Krattenmacher,Attacking Midfield,19,Germany,Hertha BSC,€3.50m
Max Dean,Centre-Forward,21,England,KAA Gent,€3.50m
Charlie Hughes,Centre-Back,21,England,Hull City,€3.50m
Cihan Canak,Right Winger,20,Türkiye,Trabzonspor,€3.50m
Alfie Devine,Attacking Midfield,20,England,Tottenham Hotspur,€3.50m
Brooke Norton-Cuffy,Right-Back,21,England,Genoa CFC,€3.50m
Andrew Moran,Attacking Midfield,21,Ireland,Brighton & Hove Albion,€3.50m
Luca Lipani,Defensive Midfield,20,Italy,US Sassuolo,€3.50m
Erling Haaland,Centre-Forward,25,Norway,Manchester City,€180.00m
Kylian Mbappe,Centre-Forward,26,France,Real Madrid,€180.00m
Vinicius Junior,Left Winger,25,Brazil,Real Madrid,€170.00m
Bukayo Saka,Right Winger,23,England,Arsenal FC,€150.00m
Federico Valverde,Central Midfield,27,Uruguay,Real Madrid,€130.00m
Cole Palmer,Attacking Midfield,23,England,Chelsea FC,€120.00m
Declan Rice,Central Midfield,26,England,Arsenal FC,€120.00m
Alexander Isak,Centre-Forward,25,Sweden,Newcastle United,€120.00m
Rodri,Defensive Midfield,29,Spain,Manchester City,€110.00m
Julian Alvarez,Centre-Forward,25,Argentina,Atlético de Madrid,€100.00m
Michael Olise,Right Winger,23,France,Bayern Munich,€100.00m
Alexis Mac Allister,Central Midfield,26,Argentina,Liverpool FC,€100.00m
Phil Foden,Right Winger,25,England,Manchester City,€100.00m
Lautaro Martinez,Centre-Forward,27,Argentina,Inter Milan,€95.00m
Moises Caicedo,Defensive Midfield,23,Ecuador,Chelsea FC,€90.00m
Khvicha Kvaratskhelia,Left Winger,24,Georgia,Paris Saint-Germain,€90.00m
Rodrygo,Right Winger,24,Brazil,Real Madrid,€90.00m
Raphinha,Left Winger,28,Brazil,FC Barcelona,€90.00m
Ousmane Dembele,Right Winger,28,France,Paris Saint-Germain,€90.00m
Martin Odegaard,Attacking Midfield,26,Norway,Arsenal FC,€85.00m
Bruno Guimaraes,Defensive Midfield,27,Brazil,Newcastle United,€80.00m
William Saliba,Centre-Back,24,France,Arsenal FC,€80.00m
Vitinha,Central Midfield,25,Portugal,Paris Saint-Germain,€80.00m
Dominik Szoboszlai,Attacking Midfield,24,Hungary,Liverpool FC,€80.00m
Achraf Hakimi,Right-Back,26,Morocco,Paris Saint-Germain,€80.00m
Alessandro Bastoni,Centre-Back,26,Italy,Inter Milan,€80.00m
Hugo Ekitike,Centre-Forward,23,France,Liverpool FC,€75.00m
Enzo Fernandez,Central Midfield,24,Argentina,Chelsea FC,€75.00m
Ryan Gravenberch,Defensive Midfield,23,Netherlands,Liverpool FC,€75.00m
Josko Gvardiol,Left-Back,23,Croatia,Manchester City,€75.00m
Omar Marmoush,Centre-Forward,26,Egypt,Manchester City,€75.00m
Gabriel Magalhaes,Centre-Back,27,Brazil,Arsenal FC,€75.00m
Aurelien Tchouameni,Defensive Midfield,25,France,Real Madrid,€75.00m
Viktor Gyokeres,Centre-Forward,27,Sweden,Sporting CP,€75.00m
Marcus Thuram,Centre-Forward,27,France,Inter Milan,€75.00m
Trent Alexander-Arnold,Right-Back,26,England,Real Madrid,€75.00m
Nicolo Barella,Central Midfield,28,Italy,Inter Milan,€75.00m
Nico Williams,Left Winger,23,Spain,Athletic Bilbao,€70.00m
Nuno Mendes,Left-Back,23,Portugal,Paris Saint-Germain,€70.00m
Luis Diaz,Left Winger,28,Colombia,Liverpool FC,€70.00m
Cody Gakpo,Left Winger,26,Netherlands,Liverpool FC,€70.00m
Victor Osimhen,Centre-Forward,26,Nigeria,SSC Napoli,€70.00m
Rafael Leao,Left Winger,26,Portugal,AC Milan,€70.00m
Willian Pacho,Centre-Back,23,Ecuador,Paris Saint-Germain,€65.00m
Anthony Gordon,Left Winger,24,England,Newcastle United,€65.00m
Jules Kounde,Right-Back,26,France,FC Barcelona,€65.00m
Kai Havertz,Centre-Forward,26,Germany,Arsenal FC,€65.00m
Ruben Dias,Centre-Back,28,Portugal,Manchester City,€65.00m
Oihan Sancet,Attacking Midfield,25,Spain,Athletic Bilbao,€60.00m
Matheus Cunha,Second Striker,26,Brazil,Manchester United,€60.00m
Tijjani Reijnders,Central Midfield,26,Netherlands,Manchester City,€60.00m
Martin Zubimendi,Defensive Midfield,26,Spain,Arsenal FC,€60.00m
Ademola Lookman,Second Striker,27,Nigeria,Atalanta BC,€60.00m
Sandro Tonali,Central Midfield,25,Italy,Newcastle United,€60.00m
Ibrahima Konate,Centre-Back,26,France,Liverpool FC,€60.00m
Dani Olmo,Attacking Midfield,27,Spain,FC Barcelona,€60.00m
Murillo,Centre-Back,23,Brazil,Nottingham Forest,€55.00m
Gabriel Martinelli,Left Winger,24,Brazil,Arsenal FC,€55.00m
Alex Baena,Left Winger,24,Spain,Atlético de Madrid,€55.00m
Eberechi Eze,Attacking Midfield,27,England,Crystal Palace,€55.00m
Jurrien Timber,Right-Back,24,Netherlands,Arsenal FC,€55.00m
Bryan Mbeumo,Right Winger,25,Cameroon,Manchester United,€55.00m
Nicolas Jackson,Centre-Forward,24,Senegal,Chelsea FC,€50.00m
Jarrad Branthwaite,Centre-Back,23,England,Everton FC,€50.00m
Piero Hincapie,Centre-Back,23,Ecuador,Bayer 04 Leverkusen,€50.00m
Joao Pedro,Centre-Forward,23,Brazil,Chelsea FC,€50.00m
Ederson,Central Midfield,26,Brazil,Atalanta BC,€50.00m
Micky van de Ven,Centre-Back,24,Netherlands,Tottenham Hotspur,€50.00m
Bremer,Centre-Back,28,Brazil,Juventus FC,€50.00m
Pedro Neto,Right Winger,25,Portugal,Chelsea FC,€50.00m
Jeremy Doku,Left Winger,23,Belgium,Manchester City,€50.00m
Amadou Onana,Defensive Midfield,23,Belgium,Aston Villa,€50.00m
Jeremie Frimpong,Right-Back,24,Netherlands,Liverpool FC,€50.00m
Morten Hjulmand,Defensive Midfield,26,Denmark,Sporting CP,€50.00m
Dejan Kulusevski,Attacking Midfield,25,Sweden,Tottenham Hotspur,€50.00m
Morgan Gibbs-White,Attacking Midfield,25,England,Nottingham Forest,€50.00m
Alphonso Davies,Left-Back,24,Canada,Bayern Munich,€50.00m
Alessandro Buongiorno,Centre-Back,26,Italy,SSC Napoli,€50.00m
Lois Openda,Centre-Forward,25,Belgium,RB Leipzig,€50.00m
Moise Kean,Centre-Forward,25,Italy,ACF Fiorentina,€50.00m
Cristian Romero,Centre-Back,27,Argentina,Tottenham Hotspur,€50.00m
Dayot Upamecano,Centre-Back,26,France,Bayern Munich,€50.00m
Scott McTominay,Central Midfield,28,Scotland,SSC Napoli,€50.00m
Christian Pulisic,Right Winger,26,United States,AC Milan,€50.00m
Marcus Rashford,Left Winger,27,England,FC Barcelona,€50.00m
Bruno Fernandes,Attacking Midfield,30,Portugal,Manchester United,€50.00m
Federico Dimarco,Left-Back,27,Italy,Inter Milan,€50.00m
Maghnes Akliouche,Right Winger,23,France,AS Monaco,€45.00m
Mateo Retegui,Centre-Forward,26,Italy,Al-Qadsiah FC,€45.00m
Goncalo Inacio,Centre-Back,23,Portugal,Sporting CP,€45.00m
Darwin Nunez,Centre-Forward,26,Uruguay,Liverpool FC,€45.00m
Mohammed Kudus,Right Winger,24,Ghana,Tottenham Hotspur,€45.00m
Amad Diallo,Right Winger,23,Cote d'Ivoire,Manchester United,€45.00m
Jonathan David,Centre-Forward,25,Canada,Juventus FC,€45.00m
Karim Adeyemi,Right Winger,23,Germany,Borussia Dortmund,€45.00m
Manuel Ugarte,Defensive Midfield,24,Uruguay,Manchester United,€45.00m
Angelo Stiller,Defensive Midfield,24,Germany,VfB Stuttgart,€45.00m
Curtis Jones,Central Midfield,24,England,Liverpool FC,€45.00m
Marc Guehi,Centre-Back,25,England,Crystal Palace,€45.00m
Ben White,Right-Back,27,England,Arsenal FC,€45.00m
Frenkie de Jong,Central Midfield,28,Netherlands,FC Barcelona,€45.00m
Serhou Guirassy,Centre-Forward,29,Guinea,Borussia Dortmund,€45.00m
Joshua Kimmich,Defensive Midfield,30,Germany,Bayern Munich,€45.00m
Anthony Elanga,Right Winger,23,Sweden,Newcastle United,€42.00m
Sven Botman,Centre-Back,25,Netherlands,Newcastle United,€42.00m
James Maddison,Attacking Midfield,28,England,Tottenham Hotspur,€42.00m
Joao Gomes,Central Midfield,24,Brazil,Wolverhampton Wanderers,€40.00m
Victor Boniface,Centre-Forward,24,Nigeria,Bayer 04 Leverkusen,€40.00m
Manu Kone,Central Midfield,24,France,AS Roma,€40.00m
Antoine Semenyo,Left Winger,25,Ghana,AFC Bournemouth,€40.00m
Goncalo Ramos,Centre-Forward,24,Portugal,Paris Saint-Germain,€40.00m
Mason Greenwood,Right Winger,23,England,Olympique Marseille,€40.00m
Dani Vivian,Centre-Back,26,Spain,Athletic Bilbao,€40.00m
Kaoru Mitoma,Left Winger,28,Japan,Brighton & Hove Albion,€40.00m
Noni Madueke,Right Winger,23,England,Arsenal FC,€40.00m
Min-jae Kim,Centre-Back,28,"Korea, South",Bayern Munich,€40.00m
Conor Gallagher,Central Midfield,25,England,Atlético de Madrid,€40.00m
Lisandro Martinez,Centre-Back,27,Argentina,Manchester United,€40.00m
Brennan Johnson,Right Winger,24,Wales,Tottenham Hotspur,€40.00m
Nico Gonzalez,Central Midfield,23,Spain,Manchester City,€40.00m
Khephren Thuram,Central Midfield,24,France,Juventus FC,€40.00m
Exequiel Palacios,Central Midfield,26,Argentina,Bayer 04 Leverkusen,€40.00m
Ferran Torres,Centre-Forward,25,Spain,FC Barcelona,€40.00m
Boubacar Kamara,Defensive Midfield,25,France,Aston Villa,€40.00m
Nico Schlotterbeck,Centre-Back,25,Germany,Borussia Dortmund,€40.00m
Diogo Costa,Goalkeeper,25,Portugal,FC Porto,€40.00m
Robin Le Normand,Centre-Back,28,Spain,Atlético de Madrid,€40.00m
Fabian Ruiz,Central Midfield,29,Spain,Paris Saint-Germain,€40.00m
Ollie Watkins,Centre-Forward,29,England,Aston Villa,€40.00m
Gianluigi Donnarumma,Goalkeeper,26,Italy,Paris Saint-Germain,€40.00m
Jarrod Bowen,Right Winger,28,England,West Ham United,€40.00m
Brahim Diaz,Right Winger,25,Morocco,Real Madrid,€40.00m
David Raya,Goalkeeper,29,Spain,Arsenal FC,€40.00m
Dominic Solanke,Centre-Forward,27,England,Tottenham Hotspur,€40.00m
Gregor Kobel,Goalkeeper,27,Switzerland,Borussia Dortmund,€40.00m
Pedro Porro,Right-Back,25,Spain,Tottenham Hotspur,€38.00m
Matthijs de Ligt,Centre-Back,25,Netherlands,Manchester United,€38.00m
Youri Tielemans,Central Midfield,28,Belgium,Aston Villa,€38.00m
Bernardo Silva,Attacking Midfield,30,Portugal,Manchester City,€38.00m
Evanilson,Centre-Forward,25,Brazil,AFC Bournemouth,€35.00m
Igor Paixao,Left Winger,25,Brazil,Feyenoord Rotterdam,€35.00m
Antony,Right Winger,25,Brazil,Manchester United,€35.00m
Matheus Nunes,Central Midfield,26,Portugal,Manchester City,€35.00m
Rayan Ait-Nouri,Left-Back,24,Algeria,Manchester City,€35.00m
Enzo Millot,Attacking Midfield,23,France,VfB Stuttgart,€35.00m
Edmond Tapsoba,Centre-Back,26,Burkina Faso,Bayer 04 Leverkusen,€35.00m
Riccardo Calafiori,Left-Back,23,Italy,Arsenal FC,€35.00m
Ronald Araujo,Centre-Back,26,Uruguay,FC Barcelona,€35.00m
Andrea Cambiaso,Left-Back,25,Italy,Juventus FC,€35.00m
Yann Bisseck,Centre-Back,24,Germany,Inter Milan,€35.00m
Charles De Ketelaere,Attacking Midfield,24,Belgium,Atalanta BC,€35.00m
Nikola Milenkovic,Centre-Back,27,Serbia,Nottingham Forest,€35.00m
Ezri Konsa,Centre-Back,27,England,Aston Villa,€35.00m
Francisco Trincao,Right Winger,25,Portugal,Sporting CP,€35.00m
Harvey Barnes,Left Winger,27,England,Newcastle United,€35.00m
Davide Frattesi,Central Midfield,25,Italy,Inter Milan,€35.00m
Dan Ndoye,Right Winger,24,Switzerland,Bologna FC 1909,€35.00m
Teun Koopmeiners,Attacking Midfield,27,Netherlands,Juventus FC,€35.00m
Dusan Vlahovic,Centre-Forward,25,Serbia,Juventus FC,€35.00m
Antonee Robinson,Left-Back,27,United States,Fulham FC,€35.00m
Christopher Nkunku,Centre-Forward,27,France,Chelsea FC,€35.00m
Theo Hernandez,Left-Back,27,France,Al-Hilal SFC,€35.00m
Mikel Merino,Central Midfield,29,Spain,Arsenal FC,€35.00m
Jonathan Burkardt,Centre-Forward,25,Germany,Eintracht Frankfurt,€35.00m
Joelinton,Central Midfield,28,Brazil,Newcastle United,€35.00m
Justin Kluivert,Attacking Midfield,26,Netherlands,AFC Bournemouth,€35.00m
Vangelis Pavlidis,Centre-Forward,26,Greece,SL Benfica,€35.00m
Denzel Dumfries,Right-Back,29,Netherlands,Inter Milan,€35.00m
Marc Cucurella,Left-Back,27,Spain,Chelsea FC,€35.00m
Alan Varela,Defensive Midfield,24,Argentina,FC Porto,€32.00m
Mohamed Amoura,Centre-Forward,25,Algeria,VfL Wolfsburg,€32.00m
Jan Paul van Hecke,Centre-Back,25,Netherlands,Brighton & Hove Albion,€32.00m
Georginio Rutter,Centre-Forward,23,France,Brighton & Hove Albion,€32.00m
Tomas Araujo,Centre-Back,23,Portugal,SL Benfica,€32.00m
Jacob Ramsey,Left Midfield,24,England,Aston Villa,€32.00m
Josip Stanisic,Right-Back,25,Croatia,Bayern Munich,€32.00m
Malik Tillman,Attacking Midfield,23,United States,Bayer 04 Leverkusen,€32.00m
Matteo Guendouzi,Central Midfield,26,France,SS Lazio,€32.00m
Pau Torres,Centre-Back,28,Spain,Aston Villa,€32.00m
Yoane Wissa,Centre-Forward,28,DR Congo,Brentford FC,€32.00m
Gabriel Jesus,Centre-Forward,28,Brazil,Arsenal FC,€32.00m
Guglielmo Vicario,Goalkeeper,28,Italy,Tottenham Hotspur,€32.00m
Leroy Sane,Right Winger,29,Germany,Galatasaray,€32.00m
Mario Gila,Centre-Back,24,Spain,SS Lazio,€30.00m
Youssouf Fofana,Defensive Midfield,26,France,AC Milan,€30.00m
Santiago Gimenez,Centre-Forward,24,Mexico,AC Milan,€30.00m
Nicolo Rovella,Defensive Midfield,23,Italy,SS Lazio,€30.00m
Isak Hien,Centre-Back,26,Sweden,Atalanta BC,€30.00m
Giorgi Mamardashvili,Goalkeeper,24,Georgia,Liverpool FC,€30.00m
Randal Kolo Muani,Centre-Forward,26,France,Paris Saint-Germain,€30.00m
Kevin Schade,Left Winger,23,Germany,Brentford FC,€30.00m
Reece James,Right-Back,25,England,Chelsea FC,€30.00m
David Neres,Right Winger,28,Brazil,SSC Napoli,€30.00m
Samuele Ricci,Defensive Midfield,23,Italy,AC Milan,€30.00m
Lucas Chevalier,Goalkeeper,23,France,LOSC Lille,€30.00m
Nick Woltemade,Second Striker,23,Germany,VfB Stuttgart,€30.00m
Orkun Kokcu,Central Midfield,24,Türkiye,Besiktas JK,€30.00m
Douglas Luiz,Central Midfield,27,Brazil,Juventus FC,€30.00m
Joshua Zirkzee,Centre-Forward,24,Netherlands,Manchester United,€30.00m
Jorgen Strand Larsen,Centre-Forward,25,Norway,Wolverhampton Wanderers,€30.00m
Pedro Goncalves,Left Winger,27,Portugal,Sporting CP,€30.00m
Quinten Timber,Central Midfield,24,Netherlands,Feyenoord Rotterdam,€30.00m
Jean-Philippe Mateta,Centre-Forward,28,France,Crystal Palace,€30.00m
Amine Gouiri,Centre-Forward,25,Algeria,Olympique Marseille,€30.00m
Takefusa Kubo,Right Winger,24,Japan,Real Sociedad,€30.00m
David Hancko,Centre-Back,27,Slovakia,Feyenoord Rotterdam,€30.00m
Eder Militao,Centre-Back,27,Brazil,Real Madrid,€30.00m
Moussa Diaby,Right Winger,26,France,Al-Ittihad Club,€30.00m
Emile Smith Rowe,Attacking Midfield,24,England,Fulham FC,€30.00m
Evan Ndicka,Centre-Back,25,Cote d'Ivoire,AS Roma,€30.00m
Diogo Dalot,Right-Back,26,Portugal,Manchester United,€30.00m
Rodrigo Bentancur,Defensive Midfield,28,Uruguay,Tottenham Hotspur,€30.00m
Pervis Estupinan,Left-Back,27,Ecuador,AC Milan,€30.00m
Artem Dovbyk,Centre-Forward,28,Ukraine,AS Roma,€30.00m
Denis Zakaria,Defensive Midfield,28,Switzerland,AS Monaco,€30.00m
Manuel Locatelli,Defensive Midfield,27,Italy,Juventus FC,€30.00m
Joao Palhinha,Defensive Midfield,30,Portugal,Bayern Munich,€30.00m
Kingsley Coman,Left Winger,29,France,Bayern Munich,€30.00m
Jonathan Tah,Centre-Back,29,Germany,Bayern Munich,€30.00m
Alejandro Grimaldo,Left-Back,29,Spain,Bayer 04 Leverkusen,€30.00m
Dango Ouattara,Left Winger,23,Burkina Faso,AFC Bournemouth,€28.00m
Danilo,Defensive Midfield,24,Brazil,Botafogo de Futebol e Regatas,€28.00m
Andre,Defensive Midfield,24,Brazil,Wolverhampton Wanderers,€28.00m
Simon Adingra,Left Winger,23,Cote d'Ivoire,Sunderland AFC,€28.00m
Toti,Centre-Back,26,Portugal,Wolverhampton Wanderers,€28.00m
Pierre Kalulu,Centre-Back,25,France,Juventus FC,€28.00m
Mikkel Damsgaard,Attacking Midfield,25,Denmark,Brentford FC,€28.00m
Anatoliy Trubin,Goalkeeper,23,Ukraine,SL Benfica,€28.00m
Ian Maatsen,Left-Back,23,Netherlands,Aston Villa,€28.00m
Kenneth Taylor,Central Midfield,23,Netherlands,Ajax Amsterdam,€28.00m
Nathan Collins,Centre-Back,24,Ireland,Brentford FC,€28.00m
Bafode Diakite,Centre-Back,24,France,LOSC Lille,€28.00m
Lucas Paqueta,Attacking Midfield,27,Brazil,West Ham United,€28.00m
Sam Beukema,Centre-Back,26,Netherlands,SSC Napoli,€28.00m
Lewis Ferguson,Central Midfield,25,Scotland,Bologna FC 1909,€28.00m
Jakub Kiwior,Centre-Back,25,Poland,Arsenal FC,€28.00m
Felix Nmecha,Central Midfield,24,Germany,Borussia Dortmund,€28.00m
Vitaliy Mykolenko,Left-Back,26,Ukraine,Everton FC,€28.00m
Jadon Sancho,Left Winger,25,England,Manchester United,€28.00m
Leon Bailey,Right Winger,27,Jamaica,Aston Villa,€28.00m
