Name,Age,Nation,Position,Club,League,Confederation,Billion_KRW,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Name_ID
Milan van Ewijk,24,Netherlands,Right_Back,Coventry City,Championship,UEFA,162.5,DF,74,92,57,64,71,69,71,ewijkmilanvan
Leo Ostigard,25,Norway,Centre_Back,Stade Rennais FC,Ligue1,UEFA,162.5,DF,72,64,37,50,61,71,79,leoostigard
Nordi Mukiele,27,France,Right_Back,Paris Saint-Germain,Ligue1,UEFA,162.5,DF,79,77,49,68,71,80,80,mukielenordi
Joe Rodon,27,Wales,Centre_Back,Leeds United,PremierLeague,UEFA,162.5,DF,75,70,32,51,59,76,77,joerodon
Wouter Goes,21,Netherlands,Centre_Back,AZ Alkmaar,Eredivisie,UEFA,162.5,DF,69,49,31,51,60,70,69,goeswouter
Mika Marmol,24,Spain,Centre_Back,UD Las Palmas,LaLiga_2,UEFA,162.5,DF,76,80,38,67,73,76,74,marmolmika
Salvatore Esposito,24,Italy,Defensive_Midfielder,Spezia Calcio,Serie_B,UEFA,162.5,MF,69,62,60,70,66,59,57,espositosalvatore
Joao Mario,25,Portugal,Right_Back,Juventus FC,Serie_A,UEFA,162.5,DF,80,68,76,80,82,64,68,joaomario
Joao Mario,25,Portugal,Right_Back,Juventus FC,Serie_A,UEFA,162.5,DF,77,85,63,72,77,69,67,joaomario
Batista Mendy,25,France,Defensive_Midfielder,Trabzonspor,SuperLig,UEFA,162.5,MF,73,62,58,66,68,73,80,batistamendy
Devyne Rensch,22,Netherlands,Right_Back,AS Roma,Serie_A,UEFA,162.5,DF,73,74,56,66,70,72,67,devynerensch
Daniel Maldini,23,Italy,Attacking_Midfielder,Atalanta BC,Serie_A,UEFA,162.5,MF,71,66,68,70,74,40,50,danielmaldini
Philip Billing,29,Denmark,Central_Midfielder,AFC Bournemouth,PremierLeague,UEFA,162.5,MF,77,50,77,73,73,72,80,billingphilip
Peer Koopmeiners,25,Netherlands,Defensive_Midfielder,AZ Alkmaar,Eredivisie,UEFA,162.5,MF,69,68,42,67,62,66,74,koopmeinerspeer
Andre Almeida,25,Portugal,Attacking_Midfielder,Valencia CF,LaLiga,UEFA,162.5,MF,77,72,66,78,79,67,63,almeidaandre
Sammie Szmodics,29,Ireland,Attacking_Midfielder,Ipswich Town,Championship,UEFA,162.5,MF,75,79,75,70,76,51,67,sammieszmodics
Xaver Schlager,27,Austria,Central_Midfielder,RB Leipzig,Bundesliga,UEFA,162.5,MF,81,72,70,74,78,75,79,schlagerxaver
Lucas Da Cunha,24,France,Central_Midfielder,Como 1907,Serie_A,UEFA,162.5,MF,74,79,69,69,78,39,56,cunhadalucas
Antonio Blanco,25,Spain,Defensive_Midfielder,Deportivo Alavés,LaLiga,UEFA,162.5,MF,74,52,57,68,67,70,62,antonioblanco
Mads Bidstrup,24,Denmark,Central_Midfielder,Red Bull Salzburg,Austria_Bundesliga,UEFA,162.5,MF,71,70,55,69,72,72,75,bidstrupmads
Patrick Osterhage,25,Germany,Defensive_Midfielder,SC Freiburg,Bundesliga,UEFA,162.5,MF,74,76,60,68,73,72,75,osterhagepatrick
Tommy Doyle,23,England,Central_Midfielder,Birmingham City,Championship,UEFA,162.5,MF,74,67,65,74,75,65,67,doyletommy
Jacopo Fazzini,22,Italy,Central_Midfielder,ACF Fiorentina,Serie_A,UEFA,162.5,MF,68,68,66,67,70,59,62,fazzinijacopo
Nicolas Raskin,24,Belgium,Central_Midfielder,Rangers FC,Scottish_Premiership,UEFA,162.5,MF,75,69,63,73,75,72,75,nicolasraskin
Oliver Skipp,24,England,Defensive_Midfielder,Leicester City,Championship,UEFA,162.5,MF,77,61,47,68,71,75,70,oliverskipp
Felix Lemarechal,21,France,Attacking_Midfielder,RC Strasbourg Alsace,Ligue1,UEFA,162.5,MF,71,65,57,73,72,61,68,felixlemarechal
Warren Bondo,21,France,Central_Midfielder,AC Milan,Serie_A,UEFA,162.5,MF,66,74,55,62,72,58,63,bondowarren
Tom Fellows,22,England,Side_Midfielder,West Bromwich Albion,Championship,UEFA,162.5,MF,69,83,61,63,70,46,62,fellowstom
Maurits Kjaergaard,22,Denmark,Central_Midfielder,Red Bull Salzburg,Austria_Bundesliga,UEFA,162.5,MF,73,75,71,72,73,64,77,kjaergaardmaurits
Artem Bondarenko,24,Ukraine,Attacking_Midfielder,Shakhtar Donetsk,Ukrainian_PremierLeague,UEFA,162.5,MF,75,75,69,71,75,63,64,artembondarenko
Pavel Sulc,24,Czech Republic,Attacking_Midfielder,FC Viktoria Plzen,Chance_Liga,UEFA,162.5,MF,75,71,72,73,76,39,60,pavelsulc
Valentin Atangana,19,France,Central_Midfielder,Stade Reims,Ligue2,UEFA,162.5,MF,68,55,53,64,67,66,56,atanganavalentin
Tom Rothe,20,Germany,Side_Midfielder,1.FC Union Berlin,Bundesliga,UEFA,162.5,MF,72,69,45,68,68,69,76,rothetom
Shea Charles,21,Northern Ireland,Defensive_Midfielder,Southampton FC,Championship,UEFA,162.5,MF,67,59,47,65,61,65,69,charlesshea
Manu Silva,24,Portugal,Defensive_Midfielder,SL Benfica,Liga_Portugal,UEFA,162.5,MF,70,59,40,59,56,69,76,manusilva
Chris Wood,33,New Zealand,Striker,Nottingham Forest,PremierLeague,OFC,162.5,FW,76,49,78,61,68,40,79,chriswood
Leon Avdullahu,21,Switzerland,Defensive_Midfielder,TSG 1899 Hoffenheim,Bundesliga,UEFA,162.5,MF,63,59,48,59,59,57,63,avdullahuleon
Dani Ceballos,28,Spain,Central_Midfielder,Real Madrid,LaLiga,UEFA,162.5,MF,79,63,70,79,82,70,67,ceballosdani
Mario Pasalic,30,Croatia,Central_Midfielder,Atalanta BC,Serie_A,UEFA,162.5,MF,80,69,78,77,81,67,77,mariopasalic
Marcelo Brozovic,32,Croatia,Defensive_Midfielder,Al-Nassr FC,Saudi_ProLeague,UEFA,162.5,MF,82,66,74,79,80,80,80,brozovicmarcelo
Ruben Loftus-Cheek,29,England,Central_Midfielder,AC Milan,Serie_A,UEFA,162.5,MF,81,81,76,79,82,77,83,cheekloftusruben
Ryan Christie,30,Scotland,Defensive_Midfielder,AFC Bournemouth,PremierLeague,UEFA,162.5,MF,76,76,70,75,77,71,78,christieryan
Maximilian Eggestein,28,Germany,Central_Midfielder,SC Freiburg,Bundesliga,UEFA,162.5,MF,75,63,60,69,71,72,74,eggesteinmaximilian
Samuel Chukwueze,26,Nigeria,Right_Winger,AC Milan,Serie_A,CAF,162.5,FW,80,88,74,74,83,36,61,chukwuezesamuel
Piotr Zielinski,31,Poland,Central_Midfielder,Inter Milan,Serie_A,UEFA,162.5,MF,81,78,76,80,83,71,62,piotrzielinski
Guido Rodriguez,31,Argentina,Defensive_Midfielder,West Ham United,PremierLeague,CONMEBOL,162.5,MF,83,51,58,72,70,85,80,guidorodriguez
Bernd Leno,33,Germany,Goalkeeper,Fulham FC,PremierLeague,UEFA,162.5,GK,82,83,79,76,84,53,82,berndleno
Mark Flekken,32,Netherlands,Goalkeeper,Bayer 04 Leverkusen,Bundesliga,UEFA,162.5,GK,79,80,74,83,82,32,77,flekkenmark
Samuel Iling-Junior,21,England,Left_Winger,Aston Villa,PremierLeague,UEFA,162.5,FW,73,81,61,69,78,37,55,ilingjuniorsamuel
Emerson,30,Italy,Left_Back,West Ham United,PremierLeague,UEFA,162.5,DF,78,79,63,75,78,73,65,emerson
Ibrahim Osman,20,Ghana,Left_Winger,AJ Auxerre,Ligue1,CAF,162.5,FW,66,85,58,57,73,27,54,ibrahimosman
Gift Orban,23,Nigeria,Striker,TSG 1899 Hoffenheim,Bundesliga,CAF,162.5,FW,74,77,79,62,73,18,62,giftorban
Konstantinos Tzolakis,22,Greece,Goalkeeper,Olympiacos Piraeus,SuperLeague1,UEFA,162.5,GK,73,73,71,70,75,49,70,konstantinostzolakis
Jeremie Boga,28,Cote d'Ivoire,Left_Winger,OGC Nice,Ligue1,CAF,162.5,FW,77,85,70,72,82,39,64,bogajeremie
Christos Mandas,23,Greece,Goalkeeper,SS Lazio,Serie_A,UEFA,162.5,GK,72,75,70,71,78,23,69,christosmandas
Josh Maja,26,Nigeria,Striker,West Bromwich Albion,Championship,CAF,162.5,FW,71,76,72,62,71,28,63,joshmaja
David Carmo,26,Angola,Centre_Back,Nottingham Forest,PremierLeague,CAF,162.5,DF,76,49,39,58,51,77,81,carmodavid
Casemiro,33,Brazil,Defensive_Midfielder,Manchester United,PremierLeague,CONMEBOL,162.5,MF,84,38,74,77,69,82,82,casemiro
Angel Correa,30,Argentina,Right_Winger,Tigres UANL,Liga_MX,CONMEBOL,162.5,FW,82,85,84,77,86,50,75,angelcorrea
Jeremy Jacquet,20,France,Centre_Back,Stade Rennais FC,Ligue1,UEFA,162.5,DF,62,64,31,47,52,61,66,jacquetjeremy
Hector Fort,18,Spain,Right_Back,FC Barcelona,LaLiga,UEFA,162.5,DF,65,73,35,60,59,62,61,forthector
Sergi Cardona,26,Spain,Left_Back,Villarreal CF,LaLiga,UEFA,162.5,DF,75,81,43,64,68,73,74,cardonasergi
Diego Coppola,21,Italy,Centre_Back,Brighton & Hove Albion,PremierLeague,UEFA,162.5,DF,71,53,40,55,50,73,65,coppoladiego
Nnamdi Collins,21,Germany,Centre_Back,Eintracht Frankfurt,Bundesliga,UEFA,162.5,DF,63,83,25,45,50,61,68,collinsnnamdi
Yuito Suzuki,23,Japan,Attacking_Midfielder,SC Freiburg,Bundesliga,AFC,162.5,MF,68,73,68,63,72,48,52,suzukiyuito
Ao Tanaka,26,Japan,Defensive_Midfielder,Leeds United,PremierLeague,AFC,162.5,MF,73,68,67,69,72,70,70,aotanaka
Abakar Sylla,22,Cote d'Ivoire,Centre_Back,RC Strasbourg Alsace,Ligue1,CAF,162.5,DF,72,70,30,56,68,70,76,abakarsylla
Benie Traore,22,Cote d'Ivoire,Left_Winger,FC Basel 1893,Swiss_SuperLeague,CAF,162.5,FW,68,86,65,54,75,32,63,benietraore
Arnau Martinez,22,Spain,Right_Back,Girona FC,LaLiga,UEFA,162.5,DF,79,80,50,72,74,74,70,arnaumartinez
Zeno Van Den Bosch,22,Belgium,Centre_Back,Royal Antwerp FC,Jupiler_ProLeague,UEFA,162.5,DF,71,60,27,64,51,72,70,boschdenvanzeno
Cesar Tarrega,23,Spain,Centre_Back,Valencia CF,LaLiga,UEFA,162.5,DF,71,63,40,52,52,71,73,cesartarrega
Anthony Rouault,24,France,Centre_Back,Stade Rennais FC,Ligue1,UEFA,162.5,DF,75,64,30,61,60,76,73,anthonyrouault
Said Benrahma,29,Algeria,Left_Winger,NEOM SC,Saudi_ProLeague,CAF,162.5,FW,78,73,75,75,82,40,57,benrahmasaid
Sofiane Diop,25,Morocco,Left_Winger,OGC Nice,Ligue1,CAF,162.5,FW,76,70,70,75,81,54,53,diopsofiane
Seko Fofana,30,Cote d'Ivoire,Central_Midfielder,Stade Rennais FC,Ligue1,CAF,162.5,MF,80,71,77,76,78,73,86,fofanaseko
Santiago Bueno,26,Uruguay,Centre_Back,Wolverhampton Wanderers,PremierLeague,CONMEBOL,162.5,DF,77,50,31,56,56,78,78,buenosantiago
David Brooks,28,Wales,Right_Winger,AFC Bournemouth,PremierLeague,UEFA,162.5,FW,74,65,69,73,77,48,58,brooksdavid
Youssoufa Moukoko,20,Germany,Striker,FC Copenhagen,Danish_Superligaen,UEFA,162.5,FW,77,77,76,59,80,34,67,moukokoyoussoufa
Valentin Gomez,22,Argentina,Centre_Back,Real Betis Balompié,LaLiga,CONMEBOL,162.5,DF,72,79,32,57,67,72,76,gomezvalentin
Enes Unal,28,Turkey,Striker,AFC Bournemouth,PremierLeague,UEFA,162.5,FW,78,67,80,68,77,40,80,enesunal
Tyrique George,19,England,Left_Winger,Chelsea FC,PremierLeague,UEFA,162.5,FW,64,81,62,58,68,32,52,georgetyrique
Zuriko Davitashvili,24,Georgia,Left_Winger,AS Saint-Étienne,Ligue2,UEFA,162.5,FW,72,84,60,67,73,25,59,davitashvilizuriko
Dennis Man,26,Romania,Right_Winger,Parma Calcio 1913,Serie_A,UEFA,162.5,FW,75,92,72,69,77,45,73,dennisman
Stephy Mavididi,27,England,Left_Winger,Leicester City,Championship,UEFA,162.5,FW,76,88,75,69,76,28,74,mavididistephy
Roland Sallai,28,Hungary,Right_Winger,Galatasaray,SuperLig,UEFA,162.5,FW,77,74,71,71,79,38,70,rolandsallai
Nelson Weiper,20,Germany,Striker,1.FSV Mainz 05,Bundesliga,UEFA,162.5,FW,66,70,65,46,65,25,69,nelsonweiper
Mika Godts,20,Belgium,Left_Winger,Ajax Amsterdam,Eredivisie,UEFA,162.5,FW,69,73,58,65,76,39,59,godtsmika
Willem Geubbels,23,France,Striker,FC St. Gallen 1879,Swiss_SuperLeague,UEFA,162.5,FW,70,79,69,59,71,26,67,geubbelswillem
Ayoze Perez,31,Spain,Striker,Villarreal CF,LaLiga,UEFA,162.5,FW,79,78,73,76,82,58,65,ayozeperez
Matteo Politano,31,Italy,Right_Winger,SSC Napoli,Serie_A,UEFA,162.5,FW,80,80,78,78,83,42,54,matteopolitano
Fred,32,Brazil,Central_Midfielder,Fenerbahce,SuperLig,CONMEBOL,162.5,MF,81,75,71,79,82,75,78,fred
Miguel Almiron,31,Paraguay,Right_Winger,Atlanta United FC,MLS,CONMEBOL,162.5,FW,78,87,75,73,80,57,65,almironmiguel
Azzedine Ounahi,25,Morocco,Central_Midfielder,Olympique Marseille,Ligue1,CAF,162.5,MF,75,64,63,73,77,63,66,azzedineounahi
Loum Tchaouna,21,France,Right_Winger,Burnley FC,PremierLeague,UEFA,162.5,FW,70,75,72,63,71,37,59,loumtchaouna
Ernest Muci,24,Albania,Left_Winger,Besiktas JK,SuperLig,UEFA,162.5,FW,74,79,71,69,75,28,57,ernestmuci
Carlos Vicente,26,Spain,Right_Winger,Deportivo Alavés,LaLiga,UEFA,162.5,FW,71,81,67,66,69,31,56,carlosvicente
Tom Cannon,22,Ireland,Striker,Sheffield United,Championship,UEFA,162.5,FW,69,78,69,56,72,27,59,cannontom
Kendry Paez,18,Ecuador,Attacking_Midfielder,Chelsea FC,PremierLeague,CONMEBOL,162.5,MF,72,79,67,69,72,43,52,kendrypaez
Stephen Eustaquio,28,Canada,Central_Midfielder,FC Porto,Liga_Portugal,CONCACAF,162.5,MF,76,66,66,75,73,72,73,eustaquiostephen
Hirving Lozano,29,Mexico,Left_Winger,San Diego FC,MLS,CONCACAF,162.5,FW,78,88,75,71,80,41,58,hirvinglozano
Alberto Costa,21,Portugal,Right_Back,FC Porto,Liga_Portugal,UEFA,162.5,DF,62,67,32,51,57,59,56,albertocosta
Morgan Whittaker,24,England,Right_Winger,Middlesbrough FC,Championship,UEFA,162.5,FW,74,78,73,67,74,38,65,morganwhittaker
Lucas Digne,32,France,Left_Back,Aston Villa,PremierLeague,UEFA,162.5,DF,79,73,68,78,76,76,74,dignelucas
Kurt Zouma,30,France,Centre_Back,Without Club,Without_Club,UEFA,162.5,DF,78,52,51,61,56,78,82,kurtzouma
Niclas Fullkrug,32,Germany,Striker,West Ham United,PremierLeague,UEFA,162.5,FW,82,63,84,71,75,43,81,fullkrugniclas
Raheem Sterling,30,England,Right_Winger,Chelsea FC,PremierLeague,UEFA,162.5,FW,81,85,78,75,85,42,65,raheemsterling
Andrea Colpani,26,Italy,Attacking_Midfielder,AC Monza,Serie_B,UEFA,154.4,MF,78,76,76,78,78,65,70,andreacolpani
Diego Carlos,32,Brazil,Centre_Back,Fenerbahce,SuperLig,CONMEBOL,154.4,DF,80,63,47,63,67,79,76,carlosdiego
Ugurcan Cakir,29,Turkey,Goalkeeper,Trabzonspor,SuperLig,UEFA,154.4,GK,77,78,76,74,73,54,80,cakirugurcan
Lorenzo Pellegrini,29,Italy,Attacking_Midfielder,AS Roma,Serie_A,UEFA,146.2,MF,83,79,78,83,83,74,78,lorenzopellegrini
Valentin Rongier,30,France,Central_Midfielder,Stade Rennais FC,Ligue1,UEFA,146.2,MF,79,65,65,75,78,75,78,rongiervalentin
Kevin Zenon,23,Argentina,Left_Winger,CA Boca Juniors,Liga_Profesional,CONMEBOL,146.2,FW,72,83,64,72,73,63,65,kevinzenon
Ismael Kone,23,Canada,Central_Midfielder,Olympique Marseille,Ligue1,CONCACAF,146.2,MF,72,78,63,68,71,64,69,ismaelkone
Senne Lynen,26,Belgium,Defensive_Midfielder,SV Werder Bremen,Bundesliga,UEFA,146.2,MF,75,70,62,72,67,73,77,lynensenne
Arsen Zakharyan,22,Russia,Attacking_Midfielder,Real Sociedad,LaLiga,UEFA,146.2,MF,74,79,70,74,72,53,60,arsenzakharyan
Robert Andrich,30,Germany,Defensive_Midfielder,Bayer 04 Leverkusen,Bundesliga,UEFA,146.2,MF,83,54,77,76,73,83,83,andrichrobert
Tommaso Pobega,26,Italy,Central_Midfielder,Bologna FC 1909,Serie_A,UEFA,146.2,MF,74,74,76,71,75,75,78,pobegatommaso
Alidu Seidu,25,Ghana,Centre_Back,Stade Rennais FC,Ligue1,CAF,146.2,DF,74,58,43,61,70,75,67,aliduseidu
Fares Chaibi,22,Algeria,Attacking_Midfielder,Eintracht Frankfurt,Bundesliga,CAF,146.2,MF,77,75,70,77,77,68,73,chaibifares
Abdallah Sima,24,Senegal,Left_Winger,Brighton & Hove Albion,PremierLeague,CAF,146.2,FW,74,89,73,66,72,41,72,abdallahsima
Jaouen Hadjam,22,Algeria,Left_Back,BSC Young Boys,Swiss_SuperLeague,CAF,146.2,DF,68,75,52,59,68,65,71,hadjamjaouen
Souffian El Karouani,24,Morocco,Left_Back,FC Utrecht,Eredivisie,CAF,146.2,DF,71,70,43,67,71,65,67,elkarouanisouffian
Mahdi Camara,27,France,Central_Midfielder,Stade Brestois 29,Ligue1,UEFA,146.2,MF,76,61,63,72,76,75,75,camaramahdi
Pepelu,26,Spain,Defensive_Midfielder,Valencia CF,LaLiga,UEFA,146.2,MF,80,68,70,80,77,75,78,pepelu
Stefan Bajcetic,20,Spain,Defensive_Midfielder,Liverpool FC,PremierLeague,UEFA,146.2,MF,72,66,52,66,72,69,66,bajceticstefan
Harry Winks,29,England,Defensive_Midfielder,Leicester City,Championship,UEFA,146.2,MF,76,57,60,76,77,70,68,harrywinks
Mathias Delorge,20,Belgium,Central_Midfielder,KAA Gent,Jupiler_ProLeague,UEFA,146.2,MF,71,63,59,71,68,61,70,delorgemathias
Tim Iroegbunam,22,England,Central_Midfielder,Everton FC,PremierLeague,UEFA,146.2,MF,69,65,58,64,68,66,71,iroegbunamtim
Kristian Thorstvedt,26,Norway,Attacking_Midfielder,US Sassuolo,Serie_A,UEFA,146.2,MF,73,57,71,73,72,67,79,kristianthorstvedt
Sven Mijnans,25,Netherlands,Attacking_Midfielder,AZ Alkmaar,Eredivisie,UEFA,146.2,MF,74,65,71,71,75,63,70,mijnanssven
Jaidon Anthony,25,England,Left_Winger,Burnley FC,PremierLeague,UEFA,146.2,FW,72,77,66,68,74,39,63,anthonyjaidon
Kyogo Furuhashi,30,Japan,Striker,Birmingham City,Championship,AFC,146.2,FW,77,84,78,67,75,49,65,furuhashikyogo
Marvin Keller,23,Switzerland,Goalkeeper,BSC Young Boys,Swiss_SuperLeague,UEFA,146.2,GK,70,71,68,67,71,38,72,kellermarvin
Senne Lammens,23,Belgium,Goalkeeper,Royal Antwerp FC,Jupiler_ProLeague,UEFA,146.2,GK,67,71,65,61,69,21,63,lammenssenne
Gavin Bazunu,23,Ireland,Goalkeeper,Southampton FC,Championship,UEFA,146.2,GK,73,74,72,74,76,47,69,bazunugavin
Michael Cooper,25,England,Goalkeeper,Sheffield United,Championship,UEFA,146.2,GK,71,70,69,67,74,32,71,coopermichael
Elia Caprile,23,Italy,Goalkeeper,Cagliari Calcio,Serie_A,UEFA,146.2,GK,74,72,72,72,77,48,74,caprileelia
Tsuyoshi Watanabe,28,Japan,Centre_Back,Feyenoord Rotterdam,Eredivisie,AFC,146.2,DF,74,77,29,47,55,75,76,tsuyoshiwatanabe
Dominik Kotarski,25,Croatia,Goalkeeper,FC Copenhagen,Danish_Superligaen,UEFA,146.2,GK,76,78,72,76,79,39,73,dominikkotarski
Marco Di Cesare,23,Argentina,Centre_Back,Racing Club,Liga_Profesional,CONMEBOL,146.2,DF,71,52,31,44,43,74,75,cesaredimarco
Felipe Loyola,24,Chile,Central_Midfielder,CA Independiente,Liga_Profesional,CONMEBOL,146.2,MF,69,71,40,58,64,64,71,felipeloyola
Dominik Livakovic,30,Croatia,Goalkeeper,Fenerbahce,SuperLig,UEFA,146.2,GK,80,80,76,71,83,56,80,dominiklivakovic
Finn Dahmen,27,Germany,Goalkeeper,FC Augsburg,Bundesliga,UEFA,146.2,GK,74,74,68,76,78,45,72,dahmenfinn
Alphonse Areola,32,France,Goalkeeper,West Ham United,PremierLeague,UEFA,146.2,GK,81,82,77,74,83,55,80,alphonseareola
James Tarkowski,32,England,Centre_Back,Everton FC,PremierLeague,UEFA,146.2,DF,80,47,45,64,59,81,81,jamestarkowski
Nelson Semedo,31,Portugal,Right_Back,Without Club,Without_Club,UEFA,146.2,DF,78,80,56,69,78,74,73,nelsonsemedo
Jan Bednarek,29,Poland,Centre_Back,Southampton FC,Championship,UEFA,146.2,DF,74,43,22,55,55,75,77,bednarekjan
Kieran Tierney,28,Scotland,Left_Back,Celtic FC,Scottish_Premiership,UEFA,146.2,DF,79,80,60,75,77,76,75,kierantierney
Nuno Santos,30,Portugal,Left_Back,Sporting CP,Liga_Portugal,UEFA,146.2,DF,80,83,81,76,80,70,76,nunosantos
Nuno Santos,30,Portugal,Left_Back,Sporting CP,Liga_Portugal,UEFA,146.2,DF,71,76,68,68,72,66,67,nunosantos
Ridle Baku,27,Germany,Right_Back,RB Leipzig,Bundesliga,UEFA,146.2,DF,77,82,72,73,81,71,76,bakuridle
Hugo Cuypers,28,Belgium,Striker,Chicago Fire FC,MLS,UEFA,146.2,FW,76,75,76,68,71,44,78,cuypershugo
Lorenz Assignon,25,France,Right_Back,VfB Stuttgart,Bundesliga,UEFA,146.2,DF,74,74,51,63,72,70,67,assignonlorenz
Mauro Icardi,32,Argentina,Striker,Galatasaray,SuperLig,CONMEBOL,146.2,FW,83,68,83,71,76,40,75,icardimauro
David Moller Wolfe,23,Norway,Left_Back,AZ Alkmaar,Eredivisie,UEFA,146.2,DF,70,77,52,59,68,65,72,davidmollerwolfe
Bradley Locko,23,France,Left_Back,Stade Brestois 29,Ligue1,UEFA,146.2,DF,77,75,51,64,73,75,70,bradleylocko
Nicolo Tresoldi,20,Germany,Striker,Club Brugge KV,Jupiler_ProLeague,UEFA,146.2,FW,69,84,65,50,67,22,68,nicolotresoldi
Patson Daka,26,Zambia,Striker,Leicester City,Championship,CAF,146.2,FW,74,89,73,58,74,26,69,dakapatson
Emerson Royal,26,Brazil,Right_Back,CR Flamengo,Brasileiro_SerieA,CONMEBOL,146.2,DF,76,70,62,70,73,74,77,emersonroyal
Gaston Alvarez,25,Uruguay,Centre_Back,Al-Qadsiah FC,Saudi_ProLeague,CONMEBOL,146.2,DF,75,75,27,59,65,76,75,alvarezgaston
Natan,24,Brazil,Centre_Back,Real Betis Balompié,LaLiga,CONMEBOL,146.2,DF,74,59,33,48,50,77,74,natan
Anders Dreyer,27,Denmark,Right_Winger,San Diego FC,MLS,UEFA,146.2,FW,77,78,78,74,77,42,65,andersdreyer
Jordan Teze,25,Netherlands,Right_Back,AS Monaco,Ligue1,UEFA,146.2,DF,78,78,49,70,68,77,78,jordanteze
Alex Berenguer,30,Spain,Left_Winger,Athletic Bilbao,LaLiga,UEFA,146.2,FW,81,85,75,75,83,64,68,alexberenguer
Jayden Bogle,25,England,Right_Back,Leeds United,PremierLeague,UEFA,146.2,DF,73,79,55,67,74,69,68,boglejayden
Ben Cabango,25,Wales,Centre_Back,Swansea City,Championship,UEFA,146.2,DF,70,62,28,47,52,70,75,bencabango
Alexandre Penetra,23,Portugal,Centre_Back,AZ Alkmaar,Eredivisie,UEFA,146.2,DF,72,67,36,53,51,74,72,alexandrepenetra
Armel Bella-Kotchap,23,Germany,Centre_Back,Southampton FC,Championship,UEFA,146.2,DF,74,76,25,50,50,74,77,armelbellakotchap
Julien Duranville,19,Belgium,Left_Winger,Borussia Dortmund,Bundesliga,UEFA,138.1,FW,66,84,60,58,75,23,48,duranvillejulien
Nicolo Cambiaghi,24,Italy,Left_Winger,Bologna FC 1909,Serie_A,UEFA,138.1,FW,74,77,72,65,77,38,68,cambiaghinicolo
Houssem Aouar,27,Algeria,Attacking_Midfielder,Al-Ittihad Club,Saudi_ProLeague,CAF,138.1,MF,75,64,68,75,79,64,63,aouarhoussem
Amir Richardson,23,Morocco,Central_Midfielder,ACF Fiorentina,Serie_A,CAF,138.1,MF,73,73,64,69,72,67,74,amirrichardson
Krzysztof Piatek,30,Poland,Striker,Al-Duhail SC,QSL,UEFA,138.1,FW,74,70,75,56,72,36,71,krzysztofpiatek
Hans Nicolussi Caviglia,25,Italy,Central_Midfielder,Venezia FC,Serie_B,UEFA,138.1,MF,66,63,53,67,67,53,49,cavigliahansnicolussi
Diego Rossi,27,Uruguay,Attacking_Midfielder,Columbus Crew,MLS,CONMEBOL,138.1,MF,75,88,72,70,77,34,55,diegorossi
Sebastiano Esposito,23,Italy,Striker,Inter Milan,Serie_A,UEFA,138.1,FW,72,73,73,72,74,35,63,espositosebastiano
Sandi Lovric,27,Slovenia,Central_Midfielder,Udinese Calcio,Serie_A,UEFA,138.1,MF,73,49,64,72,72,68,69,lovricsandi
Amine Harit,28,Morocco,Attacking_Midfielder,Olympique Marseille,Ligue1,CAF,130.0,MF,76,77,65,74,81,60,57,amineharit
Altay Bayindir,27,Turkey,Goalkeeper,Manchester United,PremierLeague,UEFA,130.0,GK,76,78,73,72,79,30,76,altaybayindir
Inaki Pena,26,Spain,Goalkeeper,FC Barcelona,LaLiga,UEFA,130.0,GK,73,72,68,77,73,35,72,inakipena
Geronimo Rulli,33,Argentina,Goalkeeper,Olympique Marseille,Ligue1,CONMEBOL,130.0,GK,79,78,76,80,81,54,79,geronimorulli
Yerson Mosquera,24,Colombia,Centre_Back,Wolverhampton Wanderers,PremierLeague,CONMEBOL,130.0,DF,70,78,30,49,52,69,73,mosquerayerson
Cristian Medina,23,Argentina,Central_Midfielder,Club Estudiantes de La Plata,Liga_Profesional,CONMEBOL,130.0,MF,75,75,64,72,79,69,69,cristianmedina
Facundo Pellistri,23,Uruguay,Right_Winger,Panathinaikos FC,SuperLeague1,CONMEBOL,130.0,FW,72,80,62,66,75,38,63,facundopellistri
Paxten Aaronson,21,United States,Central_Midfielder,Eintracht Frankfurt,Bundesliga,CONCACAF,130.0,MF,69,74,61,64,72,45,48,aaronsonpaxten
Artur,27,Brazil,Right_Winger,Botafogo de Futebol e Regatas,Brasileiro_SerieA,CONMEBOL,130.0,FW,72,62,51,64,68,69,77,artur
Angelo,20,Brazil,Right_Winger,Al-Nassr FC,Saudi_ProLeague,CONMEBOL,130.0,FW,73,84,60,69,80,30,45,angelo
Azor Matusiwa,27,Netherlands,Defensive_Midfielder,Ipswich Town,Championship,UEFA,130.0,MF,76,51,49,65,70,74,79,azormatusiwa
Nikola Vlasic,27,Croatia,Attacking_Midfielder,Torino FC,Serie_A,UEFA,130.0,MF,79,75,76,76,82,58,72,nikolavlasic
James Ward-Prowse,30,England,Central_Midfielder,West Ham United,PremierLeague,UEFA,130.0,MF,79,57,73,86,75,66,72,jamesprowseward
Marcel Sabitzer,31,Austria,Central_Midfielder,Borussia Dortmund,Bundesliga,UEFA,130.0,MF,84,76,84,81,82,75,79,marcelsabitzer
Santiago Sosa,26,Argentina,Centre_Back,Racing Club,Liga_Profesional,CONMEBOL,130.0,DF,73,57,57,63,67,72,78,santiagososa
