Name,Age,Nation,Position,Club,League,Confederation,MarketValue,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY
Dani Olmo,27,Spain,Attacking_Midfielder,FC Barcelona,LaLiga,UEFA,975,MF,84,73,77,82,87,50,57
Dani Rodriguez,37,Spain,Attacking_Midfielder,RCD Mallorca,LaLiga,UEFA,13,MF,76,81,74,75,73,63,69
Dani Silva,25,Portugal,Defensive_Midfielder,FC Midtjylland,Danish_Superligaen,UEFA,41,MF,69,64,55,67,71,60,68
Danley Jean Jacques,25,Haiti,Defensive_Midfielder,Philadelphia Union,MLS,CONCACAF,32,MF,70,69,51,65,67,67,74
Dan Neil,23,England,Central_Midfielder,Sunderland AFC,PremierLeague,UEFA,122,MF,73,73,64,66,72,68,77
Danny Leyva,22,United States,Defensive_Midfielder,Seattle Sounders FC,MLS,CONCACAF,20,MF,65,64,59,60,65,52,55
Danny Ward,32,Wales,Goalkeeper,Wrexham AFC,Championship,UEFA,20,GK,72,72,71,68,72,46,70
Danny Welbeck,34,England,Striker,Brighton & Hove Albion,PremierLeague,UEFA,81,FW,76,54,76,70,76,42,71
Dante,41,Brazil,Centre_Back,OGC Nice,Ligue1,CONMEBOL,8,DF,79,32,52,69,65,81,79
Dante Vanzeir,27,Belgium,Striker,KAA Gent,Jupiler_ProLeague,UEFA,81,FW,72,84,70,69,73,38,72
Danylo Sikan,24,Ukraine,Striker,Trabzonspor,SuperLig,UEFA,98,FW,74,79,72,56,69,28,67
Daouda Guindo,22,Mali,Left_Back,Red Bull Salzburg,Austria_Bundesliga,CAF,32,DF,67,84,37,55,71,60,68
Dara O'Shea,26,Ireland,Centre_Back,Ipswich Town,Championship,UEFA,228,DF,74,67,33,55,58,75,76
Darian Males,24,Switzerland,Side_Midfielder,BSC Young Boys,Swiss_SuperLeague,UEFA,49,MF,70,78,65,69,72,36,66
Darijan Bojanic,30,Sweden,Central_Midfielder,Ulsan HD FC,K_League1,UEFA,16,MF,73,47,63,75,72,62,71
Dario Essugo,20,Portugal,Defensive_Midfielder,Chelsea FC,PremierLeague,UEFA,325,MF,72,73,56,63,71,71,78
Darius Olaru,27,Romania,Attacking_Midfielder,FCSB,Romaina_SuperLiga,UEFA,122,MF,73,83,73,72,74,64,82
Darko Lazovic,34,Serbia,Side_Midfielder,Hellas Verona,Serie_A,UEFA,13,MF,74,71,72,74,75,65,56
Darlington Nagbe,35,United States,Central_Midfielder,Columbus Crew,MLS,CONCACAF,16,MF,75,73,67,71,80,63,73
Darren Yapi,20,United States,Striker,Colorado Rapids,MLS,CONCACAF,24,FW,60,74,55,45,62,22,58
Darwin Nunez,26,Uruguay,Striker,Liverpool FC,PremierLeague,CONMEBOL,731,FW,82,90,80,72,78,46,86
Daryl Dike,25,United States,Striker,West Bromwich Albion,Championship,CONCACAF,46,FW,70,65,70,47,62,20,79
David Ayala,23,Argentina,Defensive_Midfielder,Portland Timbers,MLS,CONMEBOL,65,MF,67,72,45,62,67,63,56
David Carmo,26,Angola,Centre_Back,Nottingham Forest,PremierLeague,CAF,162,DF,76,49,39,58,51,77,81
David Datro Fofana,22,Cote d'Ivoire,Striker,Chelsea FC,PremierLeague,CAF,98,FW,72,83,70,60,75,25,73
Davide Frattesi,25,Italy,Central_Midfielder,Inter Milan,Serie_A,UEFA,569,MF,81,80,74,78,81,71,71
David Hancko,27,Slovakia,Centre_Back,Atlético de Madrid,LaLiga,UEFA,488,DF,81,78,66,72,74,81,80
David Jurasek,24,Czech Republic,Left_Back,Besiktas JK,SuperLig,UEFA,81,DF,73,82,61,68,72,67,75
David Lopez,35,Spain,Centre_Back,Girona FC,LaLiga,UEFA,16,DF,80,45,60,71,66,82,75
David Moller Wolfe,23,Norway,Left_Back,AZ Alkmaar,Eredivisie,UEFA,146,DF,70,77,52,59,68,65,72
David Okereke,27,Nigeria,Striker,US Cremonese,Serie_A,CAF,36,FW,74,83,71,56,76,26,65
David Ospina,36,Colombia,Goalkeeper,Atlético Nacional,Liga_Dimayor,CONMEBOL,6,GK,77,77,74,78,80,53,80
David Raum,27,Germany,Left_Back,RB Leipzig,Bundesliga,UEFA,325,DF,81,85,61,81,78,73,78
David Raya,29,Spain,Goalkeeper,Arsenal FC,PremierLeague,UEFA,650,GK,83,82,81,86,82,57,81
David Ruiz,21,Honduras,Defensive_Midfielder,Inter Miami CF,MLS,CONCACAF,41,MF,64,68,49,59,68,61,57
Davidson,34,Brazil,Left_Winger,Qingdao West Coast,Chinese_SuperLeague,CONMEBOL,8,FW,76,82,74,70,80,41,73
David Soria,32,Spain,Goalkeeper,Getafe CF,LaLiga,UEFA,49,GK,81,81,79,73,82,43,80
David Watson,20,Scotland,Central_Midfielder,Kilmarnock FC,Scottish_Premiership,UEFA,24,MF,65,60,61,61,64,61,65
Davie Selke,30,Germany,Striker,Basaksehir FK,SuperLig,UEFA,57,FW,73,77,72,54,67,37,77
Davinson Sanchez,29,Colombia,Centre_Back,Galatasaray,SuperLig,CONMEBOL,325,DF,80,77,47,55,65,79,82
Davy Roef,31,Belgium,Goalkeeper,KAA Gent,Jupiler_ProLeague,UEFA,41,GK,72,73,71,71,72,51,71
Dayne St. Clair,28,Canada,Goalkeeper,Minnesota United FC,MLS,CONCACAF,46,GK,71,71,66,56,76,27,70
Dayot Upamecano,26,France,Centre_Back,Bayern Munich,Bundesliga,UEFA,812,DF,82,81,45,63,73,81,85
Deandre Kerr,22,Canada,Striker,Toronto FC,MLS,CONCACAF,24,FW,61,78,59,52,60,47,71
DeAndre Yedlin,32,United States,Right_Back,FC Cincinnati,MLS,CONCACAF,24,DF,71,85,50,59,65,66,73
Dean Henderson,28,England,Goalkeeper,Crystal Palace,PremierLeague,UEFA,325,GK,79,80,76,78,81,55,75
Dean Huijsen,20,Spain,Centre_Back,Real Madrid,LaLiga,UEFA,975,DF,68,64,46,60,63,69,65
Declan Rice,26,England,Central_Midfielder,Arsenal FC,PremierLeague,UEFA,1950,MF,87,73,72,82,79,84,85
Deivid Washington,20,Brazil,Striker,Santos FC,Brasileiro_SerieA,CONMEBOL,130,FW,69,79,70,53,72,30,66
Dejan Joveljic,25,Serbia,Striker,Sporting Kansas City,MLS,UEFA,89,FW,73,74,72,61,70,32,73
Dejan Kulusevski,25,Sweden,Attacking_Midfielder,Tottenham Hotspur,PremierLeague,UEFA,812,MF,82,75,77,80,83,57,80
Dejan Lovren,36,Croatia,Centre_Back,PAOK Thessaloniki,SuperLeague1,UEFA,10,DF,74,50,40,58,58,74,74
Dejan Zukic,24,Serbia,Attacking_Midfielder,Wolfsberger AC,Austria_Bundesliga,UEFA,81,MF,65,71,60,67,65,35,57
DeJuan Jones,28,United States,Left_Back,San Jose Earthquakes,MLS,CONCACAF,57,DF,72,82,56,65,70,67,75
Demarai Gray,29,Jamaica,Left_Winger,Birmingham City,Championship,CONCACAF,57,FW,76,85,73,69,80,38,58
Demir Ege Tiknaz,20,Turkey,Defensive_Midfielder,Besiktas JK,SuperLig,UEFA,81,MF,62,66,48,63,67,53,61
Denes Dibusz,34,Hungary,Goalkeeper,Ferencvárosi TC,Other_leagues,UEFA,32,GK,78,77,72,74,82,27,77
Denil Castillo,21,Ecuador,Central_Midfielder,FC Midtjylland,Danish_Superligaen,CONMEBOL,57,MF,63,62,34,57,50,60,69
Denil Maldonado,27,Honduras,Centre_Back,Rubin Kazan,Russian_PremierLiga,CONCACAF,29,DF,67,62,31,43,43,67,74
Denis Alibec,34,Romania,Striker,FCSB,Romaina_SuperLiga,UEFA,10,FW,70,69,73,68,71,24,78
Denis Bouanga,30,Gabon,Left_Winger,Los Angeles FC,MLS,CAF,130,FW,80,85,81,74,79,38,79
Denis Dragus,26,Romania,Striker,Eyüpspor,SuperLig,UEFA,57,FW,71,80,70,56,75,19,71
Denis Genreau,26,Australia,Attacking_Midfielder,Deportivo de La Coruña,LaLiga_2,AFC,13,MF,70,60,62,68,69,64,68
Denis Zakaria,28,Switzerland,Defensive_Midfielder,AS Monaco,Ligue1,UEFA,488,MF,79,80,67,72,76,78,84
Deniz Ertas,20,Turkey,Goalkeeper,Konyaspor,SuperLig,UEFA,16,GK,55,60,52,51,56,23,52
Deniz Hummet,28,Turkey,Striker,Gamba Osaka,J1_League,UEFA,36,FW,67,63,70,54,63,29,76
Deniz Undav,29,Germany,Striker,VfB Stuttgart,Bundesliga,UEFA,325,FW,81,67,82,75,80,33,78
Dennis Cirkin,23,England,Left_Back,Sunderland AFC,PremierLeague,UEFA,130,DF,68,77,47,58,65,64,62
Dennis Seimen,19,Germany,Goalkeeper,SC Paderborn 07,Bundesliga_2,UEFA,41,GK,63,64,58,61,65,40,59
Denso Kasius,22,Netherlands,Right_Back,AZ Alkmaar,Eredivisie,UEFA,65,DF,66,78,45,62,65,59,65
Denzel Dumfries,29,Netherlands,Right_Back,Inter Milan,Serie_A,UEFA,569,DF,82,83,66,73,74,78,88
Derek Cornelius,27,Canada,Centre_Back,Olympique Marseille,Ligue1,CONCACAF,81,DF,72,68,45,51,57,68,85
Derrick Kohn,26,Germany,Left_Back,Galatasaray,SuperLig,UEFA,81,DF,75,87,68,71,76,69,75
Destiny Udogie,22,Italy,Left_Back,Tottenham Hotspur,PremierLeague,UEFA,650,DF,82,88,65,74,80,78,80
Devis Vasquez,27,Colombia,Goalkeeper,AC Milan,Serie_A,CONMEBOL,32,GK,68,67,66,68,71,38,64
Devyne Rensch,22,Netherlands,Right_Back,AS Roma,Serie_A,UEFA,162,DF,73,74,56,66,70,72,67
Dexter Lembikisa,21,Jamaica,Right_Back,Wolverhampton Wanderers U21,Other_leagues,CONCACAF,21,DF,65,83,43,55,60,60,60
Di'Shon Bernard,24,Jamaica,Centre_Back,Sheffield Wednesday,Championship,CONCACAF,26,DF,69,66,40,53,59,67,75
Diant Ramaj,23,Germany,Goalkeeper,Borussia Dortmund,Bundesliga,UEFA,114,GK,73,74,69,81,76,24,72
Diego Callai,21,Brazil,Goalkeeper,Sporting CP B,Other_leagues,CONMEBOL,16,GK,69,68,65,66,71,22,71
Diego Carlos,32,Brazil,Centre_Back,Fenerbahce,SuperLig,CONMEBOL,154,DF,80,63,47,63,67,79,76
Diego Conde,26,Spain,Goalkeeper,Villarreal CF,LaLiga,UEFA,122,GK,73,73,73,64,74,43,73
Diego Coppola,21,Italy,Centre_Back,Brighton & Hove Albion,PremierLeague,UEFA,162,DF,71,53,40,55,50,73,65
Diego Gomez,22,Paraguay,Central_Midfielder,Brighton & Hove Albion,PremierLeague,CONMEBOL,228,MF,68,75,63,65,69,59,72
Diego Luna,21,United States,Side_Midfielder,Real Salt Lake City,MLS,CONCACAF,130,MF,68,77,59,62,75,42,68
Diego Rossi,27,Uruguay,Attacking_Midfielder,Columbus Crew,MLS,CONMEBOL,138,MF,75,88,72,70,77,34,55
Dimitar Mitov,28,Bulgaria,Goalkeeper,Aberdeen FC,Scottish_Premiership,UEFA,16,GK,68,68,65,58,71,61,69
Dimitri Lavalee,28,Belgium,Left_Back,SK Sturm Graz,Austria_Bundesliga,UEFA,65,DF,72,64,29,61,64,71,72
Dimitrios Pelkas,31,Greece,Attacking_Midfielder,PAOK Thessaloniki,SuperLeague1,UEFA,29,MF,72,74,68,72,75,44,60
Dimitry Bertaud,27,Congo,Goalkeeper,Montpellier HSC,Ligue2,CAF,16,GK,73,73,69,72,75,53,72
Dinko Horkas,26,Croatia,Goalkeeper,UD Las Palmas,LaLiga_2,UEFA,20,GK,64,64,61,61,66,48,62
Diogo Costa,25,Portugal,Goalkeeper,FC Porto,Liga_Portugal,UEFA,650,GK,84,83,78,82,86,35,83
Diogo Dalot,26,Portugal,Right_Back,Manchester United,PremierLeague,UEFA,488,DF,82,85,63,77,80,79,79
Diogo Leite,26,Portugal,Centre_Back,1.FC Union Berlin,Bundesliga,UEFA,276,DF,75,55,38,50,61,77,76
Diogo Sousa,26,Portugal,Goalkeeper,Bodrum FK,Other_leagues,UEFA,23,GK,66,67,64,60,66,33,65
Djaniny,34,Cabo Verde,Striker,Al-Fateh SC,Saudi_ProLeague,CAF,32,FW,70,79,70,66,69,35,74
Djed Spence,24,England,Left_Back,Tottenham Hotspur,PremierLeague,UEFA,325,DF,72,86,43,60,74,67,60
Djibril Sow,28,Switzerland,Central_Midfielder,Sevilla FC,LaLiga,UEFA,122,MF,78,79,69,75,77,75,78
Djordje Mihailovic,26,United States,Attacking_Midfielder,Colorado Rapids,MLS,CONCACAF,81,MF,74,71,70,74,74,60,67
Dmytro Riznyk,26,Ukraine,Goalkeeper,Shakhtar Donetsk,Ukrainian_PremierLeague,UEFA,114,GK,74,74,66,76,75,48,77
Dodi Lukebakio,27,Belgium,Right_Winger,Sevilla FC,LaLiga,UEFA,325,FW,79,84,78,70,82,31,59
Dodo,26,Brazil,Right_Back,ACF Fiorentina,Serie_A,CONMEBOL,390,DF,77,85,59,73,78,71,70
Dogan Alemdar,22,Turkey,Goalkeeper,Stade Rennais FC,Ligue1,UEFA,24,GK,70,70,69,69,69,38,71
Dogucan Haspolat,25,Turkey,Defensive_Midfielder,KVC Westerlo,Jupiler_ProLeague,UEFA,81,MF,69,65,55,67,68,64,68
Domagoj Vida,36,Croatia,Centre_Back,AEK Athens,SuperLeague1,UEFA,11,DF,75,70,41,58,59,77,79
Domenico Berardi,30,Italy,Right_Winger,US Sassuolo,Serie_A,UEFA,130,FW,83,79,81,78,85,36,70
Dominic Calvert-Lewin,28,England,Striker,Everton FC,PremierLeague,UEFA,260,FW,77,75,74,63,73,39,76
Dominic Solanke,27,England,Striker,Tottenham Hotspur,PremierLeague,UEFA,650,FW,81,75,81,66,78,29,83
Dominik Baumgartner,29,Austria,Centre_Back,Wolfsberger AC,Austria_Bundesliga,UEFA,15,DF,71,70,35,53,52,71,77
Dominik Fitz,26,Austria,Attacking_Midfielder,Austria Vienna,Austria_Bundesliga,UEFA,57,MF,71,76,68,73,70,33,58
Dominik Greif,28,Slovakia,Goalkeeper,RCD Mallorca,LaLiga,UEFA,98,GK,70,69,70,74,68,18,69
Dominik Kotarski,25,Croatia,Goalkeeper,FC Copenhagen,Danish_Superligaen,UEFA,146,GK,76,78,72,76,79,39,73
Dominik Livakovic,30,Croatia,Goalkeeper,Fenerbahce,SuperLig,UEFA,146,GK,80,80,76,71,83,56,80
Dominik Reimann,28,Germany,Goalkeeper,1.FC Magdeburg,Bundesliga_2,UEFA,16,GK,68,68,66,73,68,45,70
Dominik Schmid,27,Switzerland,Left_Back,FC Basel 1893,Swiss_SuperLeague,UEFA,65,DF,69,77,56,70,66,60,71
Dominik Szoboszlai,24,Hungary,Attacking_Midfielder,Liverpool FC,PremierLeague,UEFA,1300,MF,81,82,80,84,80,59,70
Donat Rrudhani,26,Kosovo,Side_Midfielder,BSC Young Boys,Swiss_SuperLeague,UEFA,29,MF,68,75,68,62,69,36,70
Dorgeles Nene,22,Mali,Left_Winger,Red Bull Salzburg,Austria_Bundesliga,CAF,195,FW,68,85,71,61,73,37,55
Douglas Augusto,28,Brazil,Central_Midfielder,FC Krasnodar,Russian_PremierLiga,CONMEBOL,98,MF,75,72,69,70,72,73,80
Douglas Luiz,27,Brazil,Central_Midfielder,Juventus FC,Serie_A,CONMEBOL,488,MF,83,66,78,85,80,75,76
Drake Callender,27,United States,Goalkeeper,Inter Miami CF,MLS,CONCACAF,41,GK,70,71,68,63,76,25,66
Duckens Nazon,31,Haiti,Striker,Kayserispor,SuperLig,CONCACAF,20,FW,68,76,68,51,67,24,63
Dujon Sterling,25,England,Right_Back,Rangers FC,Scottish_Premiership,UEFA,57,DF,73,75,51,67,70,71,74
Duncan McGuire,24,United States,Striker,Orlando City SC,MLS,CONCACAF,46,FW,67,65,64,43,60,25,67
Dusan Vlahovic,25,Serbia,Striker,Juventus FC,Serie_A,UEFA,569,FW,84,78,84,69,79,29,83
Duvan Zapata,34,Colombia,Striker,Torino FC,Serie_A,CONMEBOL,57,FW,83,73,82,64,78,35,88
Dylan Levitt,24,Wales,Central_Midfielder,Hibernian FC,Scottish_Premiership,UEFA,11,MF,68,63,66,68,69,59,63
Dylan Nealis,26,United States,Right_Back,New York Red Bulls,MLS,CONCACAF,29,DF,64,72,40,46,56,64,68
Dylan Vente,26,Suriname,Striker,SC Heerenveen,Eredivisie,CONCACAF,32,FW,68,74,68,55,66,27,57
Dzenan Pejcinovic,20,Germany,Striker,VfL Wolfsburg,Bundesliga,UEFA,65,FW,61,58,60,52,61,24,59
Ebenezer Akinsanmiro,20,Nigeria,Central_Midfielder,Pisa Sporting Club,Serie_A,CAF,32,MF,67,76,67,67,70,61,72
Eberechi Eze,27,England,Attacking_Midfielder,Crystal Palace,PremierLeague,UEFA,894,MF,81,78,81,78,84,49,69
Ebrima Colley,25,Gambia,Right_Winger,BSC Young Boys,Swiss_SuperLeague,CAF,32,FW,68,83,62,59,71,27,54
Eddie Nketiah,26,England,Striker,Crystal Palace,PremierLeague,UEFA,292,FW,76,79,74,58,78,25,66
Eden Karzev,25,Israel,Defensive_Midfielder,Shenzhen Peng City,Chinese_SuperLeague,UEFA,24,MF,69,68,65,63,67,67,72
Eder Militao,27,Brazil,Centre_Back,Real Madrid,LaLiga,CONMEBOL,488,DF,85,85,50,69,71,85,82
Edin Dzeko,39,Bosnia-Herzegovina,Striker,ACF Fiorentina,Serie_A,UEFA,26,FW,82,57,82,73,76,45,76
Edinson Cavani,38,Uruguay,Striker,CA Boca Juniors,Liga_Profesional,CONMEBOL,16,FW,77,52,80,68,71,51,71
Edmond Tapsoba,26,Burkina Faso,Centre_Back,Bayer 04 Leverkusen,Bundesliga,CAF,569,DF,83,75,54,68,70,85,79
Edo Kayembe,27,Congo,Central_Midfielder,Watford FC,Championship,CAF,65,MF,71,72,63,67,68,67,78
Edouard Mendy,33,Senegal,Goalkeeper,Al-Ahli SFC,Saudi_ProLeague,CAF,81,GK,80,78,77,75,81,34,79
Edson Alvarez,27,Mexico,Defensive_Midfielder,West Ham United,PremierLeague,CONCACAF,406,MF,81,66,58,69,72,83,87
Eduard Lowen,28,Germany,Central_Midfielder,St. Louis CITY SC,MLS,UEFA,65,MF,75,66,70,74,72,70,82
Eduardo Camavinga,22,France,Central_Midfielder,Real Madrid,LaLiga,UEFA,975,MF,83,80,67,81,84,78,80
Eduardo Quaresma,23,Portugal,Centre_Back,Sporting CP,Liga_Portugal,UEFA,292,DF,76,78,36,64,74,76,74
Eduardo Salvio,35,Argentina,Right_Winger,CA Lanús,Liga_Profesional,CONMEBOL,16,FW,75,77,72,72,79,54,66
Edvinas Gertmonas,29,Lithuania,Goalkeeper,FC Universitatea Cluj,Romaina_SuperLiga,UEFA,23,GK,66,67,64,56,67,51,66
Edvin Austbo,20,Norway,Left_Winger,Viking FK,Eliteserien,UEFA,81,FW,59,73,58,50,62,23,44
Edward Chilufya,25,Zambia,Right_Winger,FC Midtjylland,Danish_Superligaen,CAF,16,FW,66,91,67,59,74,30,57
Edwin Cerrillo,24,United States,Defensive_Midfielder,Los Angeles Galaxy,MLS,CONCACAF,41,MF,67,63,46,60,63,63,71
Egil Selvik,27,Norway,Goalkeeper,Watford FC,Championship,UEFA,24,GK,69,69,68,66,69,19,68
Eiran Cashin,23,Ireland,Centre_Back,Birmingham City,Championship,UEFA,130,DF,71,58,35,56,60,69,81
El Bilal Toure,23,Mali,Striker,Atalanta BC,Serie_A,CAF,244,FW,72,71,72,61,71,23,63
El Chadaille Bitshiabu,20,France,Centre_Back,RB Leipzig,Bundesliga,UEFA,292,DF,68,57,36,54,50,66,76
Eldor Shomurodov,30,Uzbekistan,Striker,Basaksehir FK,SuperLig,AFC,81,FW,72,76,70,64,73,39,66
Elia Caprile,23,Italy,Goalkeeper,Cagliari Calcio,Serie_A,UEFA,146,GK,74,72,72,72,77,48,74
Elian Irala,21,Argentina,Defensive_Midfielder,Shabab Al-Ahli Club,UAE_ProLeague,CONMEBOL,81,MF,67,72,51,59,64,65,62
Elias Achouri,26,Tunisia,Left_Winger,FC Copenhagen,Danish_Superligaen,CAF,57,FW,73,86,66,66,75,30,56
Elias Baum,19,Germany,Right_Back,Eintracht Frankfurt,Bundesliga,UEFA,130,DF,61,68,40,53,63,57,57
Elias Jelert,22,Denmark,Right_Back,Galatasaray,SuperLig,UEFA,114,DF,73,85,57,68,73,66,73
Elias Mar Omarsson,30,Iceland,Striker,Meizhou Hakka,Chinese_SuperLeague,UEFA,11,FW,64,85,60,53,66,37,71
Elias Saad,25,Tunisia,Left_Winger,FC Augsburg,Bundesliga,CAF,65,FW,71,74,65,65,77,33,56
Eliezer Mayenda,20,Spain,Striker,Sunderland AFC,PremierLeague,UEFA,195,FW,60,53,60,54,61,29,59
Eli Junior Kroupi,19,France,Striker,AFC Bournemouth,PremierLeague,UEFA,244,FW,68,71,67,66,74,45,54
Elis Bishesari,20,Sweden,Goalkeeper,IFK Göteborg,Allsvenskan,UEFA,29,GK,62,64,61,66,63,27,61
Elisha Owusu,27,Ghana,Defensive_Midfielder,AJ Auxerre,Ligue1,CAF,49,MF,71,60,53,64,68,67,69
Elliot Anderson,22,England,Central_Midfielder,Nottingham Forest,PremierLeague,UEFA,520,MF,75,72,66,72,79,69,77
Ellis Simms,24,England,Striker,Coventry City,Championship,UEFA,98,FW,71,74,71,53,66,34,77
Ellyes Skhiri,30,Tunisia,Defensive_Midfielder,Eintracht Frankfurt,Bundesliga,CAF,122,MF,81,60,73,74,75,80,76
Elye Wahi,22,France,Striker,Eintracht Frankfurt,Bundesliga,UEFA,358,FW,77,84,79,67,79,31,67
Emanuel Aiwu,24,Austria,Centre_Back,SK Sturm Graz,Austria_Bundesliga,UEFA,32,DF,66,70,42,51,56,63,76
Emanuel Emegha,22,Netherlands,Striker,RC Strasbourg Alsace,Ligue1,UEFA,406,FW,73,81,71,56,69,30,74
Emerson,30,Italy,Left_Back,West Ham United,PremierLeague,UEFA,162,DF,78,79,63,75,78,73,65
Emerson Royal,26,Brazil,Right_Back,CR Flamengo,Brasileiro_SerieA,CONMEBOL,146,DF,76,70,62,70,73,74,77
Emile Smith Rowe,24,England,Attacking_Midfielder,Fulham FC,PremierLeague,UEFA,488,MF,77,76,71,74,80,43,61
Emiliano Buendia,28,Argentina,Attacking_Midfielder,Aston Villa,PremierLeague,CONMEBOL,244,MF,78,69,74,80,82,66,66
Emiliano Martinez,32,Argentina,Goalkeeper,Aston Villa,PremierLeague,CONMEBOL,325,GK,87,84,82,83,86,56,87
Emiliano Martinez,25,Uruguay,Defensive_Midfielder,Sociedade Esportiva Palmeiras,Brasileiro_SerieA,CONMEBOL,114,MF,73,73,56,63,71,71,70
Emil Riis,27,Denmark,Striker,Bristol City,Championship,UEFA,73,FW,71,73,73,54,67,28,71
Emin Bayram,22,Turkey,Centre_Back,KVC Westerlo,Jupiler_ProLeague,UEFA,57,DF,70,63,40,59,69,71,70
Emirhan Topcu,24,Turkey,Centre_Back,Besiktas JK,SuperLig,UEFA,89,DF,69,55,33,54,63,69,70
Emmanuel Agbadou,28,Cote d'Ivoire,Centre_Back,Wolverhampton Wanderers,PremierLeague,CAF,325,DF,77,63,47,55,60,76,83
Emmanuel Agyemang,21,Ghana,Central_Midfielder,Wolfsberger AC,Austria_Bundesliga,CAF,32,MF,52,61,44,50,59,32,51
Emmanuel Biumla,20,France,Centre_Back,Angers SCO,Ligue1,UEFA,65,DF,63,56,44,52,55,65,64
Emmanuel Latte Lath,26,Cote d'Ivoire,Striker,Atlanta United FC,MLS,CAF,292,FW,71,91,69,59,73,37,65
Emmanuel Longelo,24,England,Left_Back,Motherwell FC,Scottish_Premiership,UEFA,13,DF,65,81,52,60,64,57,60
Endrick,19,Brazil,Striker,Real Madrid,LaLiga,CONMEBOL,569,FW,77,89,76,61,78,30,64
Enea Mihaj,27,Albania,Centre_Back,Atlanta United FC,MLS,UEFA,65,DF,70,61,42,50,49,72,71
Enes Unal,28,Turkey,Striker,AFC Bournemouth,PremierLeague,UEFA,162,FW,78,67,80,68,77,40,80
Enis Bardhi,30,North Macedonia,Attacking_Midfielder,Konyaspor,SuperLig,UEFA,49,MF,76,71,77,77,78,58,53
Enis Destan,23,Turkey,Striker,Trabzonspor,SuperLig,UEFA,49,FW,67,68,66,62,65,48,70
Enric Llansana,24,Netherlands,Defensive_Midfielder,RSC Anderlecht,Jupiler_ProLeague,UEFA,65,MF,66,57,48,62,64,61,68
Enso Gonzalez,20,Paraguay,Left_Winger,Wolverhampton Wanderers,PremierLeague,CONMEBOL,65,FW,63,81,52,58,69,35,40
Enzo Barrenechea,24,Argentina,Defensive_Midfielder,SL Benfica,Liga_Portugal,CONMEBOL,162,MF,71,57,63,68,71,62,69
Enzo Copetti,29,Argentina,Striker,CA Rosario Central,Liga_Profesional,CONMEBOL,62,FW,71,79,68,63,68,49,78
Enzo Fernandez,24,Argentina,Central_Midfielder,Chelsea FC,PremierLeague,CONMEBOL,1219,MF,82,69,73,82,80,73,77
Enzo Le Fee,25,France,Central_Midfielder,Sunderland AFC,PremierLeague,UEFA,292,MF,77,63,57,78,80,62,57
Enzo Millot,23,France,Attacking_Midfielder,VfB Stuttgart,Bundesliga,UEFA,569,MF,77,75,69,74,81,61,57
Ercan Kara,29,Austria,Striker,Rapid Vienna,Austria_Bundesliga,UEFA,13,FW,69,73,70,51,62,27,85
Eren Elmali,25,Turkey,Left_Back,Galatasaray,SuperLig,UEFA,81,DF,71,80,40,62,69,66,75
Eric Bailly,31,Cote d'Ivoire,Centre_Back,Villarreal CF,LaLiga,CAF,32,DF,76,68,42,59,66,76,71
Eric Dier,31,England,Centre_Back,AS Monaco,Ligue1,UEFA,130,DF,80,58,63,70,63,81,81
Eric Garcia,24,Spain,Centre_Back,FC Barcelona,LaLiga,UEFA,292,DF,78,62,44,70,70,80,71
Erick,27,Brazil,Defensive_Midfielder,Esporte Clube Bahia,Brasileiro_SerieA,CONMEBOL,73,MF,60,67,37,58,59,58,56
Eric Kahl,23,Sweden,Centre_Back,Aarhus GF,Danish_Superligaen,UEFA,29,DF,67,85,53,61,64,61,71
Erik,24,United Arab Emirates,Left_Back,Al-Ain FC,UAE_ProLeague,AFC,37,DF,73,85,51,69,74,65,74
Erik Lamela,33,Argentina,Right_Winger,AEK Athens,SuperLeague1,CONMEBOL,20,FW,79,76,77,78,82,54,68
Erik Palmer-Brown,28,United States,Centre_Back,Panathinaikos FC,SuperLeague1,CONCACAF,15,DF,69,62,30,51,52,69,74
Erling Haaland,25,Norway,Striker,Manchester City,PremierLeague,UEFA,2925,FW,91,88,92,70,81,45,88
Ermedin Demirovic,27,Bosnia-Herzegovina,Striker,VfB Stuttgart,Bundesliga,UEFA,358,FW,79,69,81,72,77,41,79
Ermin Bicakcic,35,Bosnia-Herzegovina,Centre_Back,Eintracht Braunschweig,Bundesliga_2,UEFA,6,DF,72,54,37,49,47,71,76
Ernest Nuamah,21,Ghana,Right_Winger,Olympique Lyon,Ligue1,CAF,244,FW,74,85,67,63,79,24,62
Ernest Poku,21,Netherlands,Right_Winger,AZ Alkmaar,Eredivisie,UEFA,65,FW,67,92,60,56,72,29,60
Ersin Destanoglu,24,Turkey,Goalkeeper,Besiktas JK,SuperLig,UEFA,29,GK,73,73,74,68,73,38,74
Eryk Williamson,28,United States,Central_Midfielder,Charlotte FC,MLS,CONCACAF,16,MF,69,74,58,67,71,64,71
Ester Sokler,26,Slovenia,Striker,Aberdeen FC,Scottish_Premiership,UEFA,16,FW,67,80,64,54,65,40,63
Ethan Alagich,21,Australia,Central_Midfielder,Adelaide United,A_League,AFC,7,MF,60,66,49,57,59,55,63
Ethan Ampadu,24,Wales,Centre_Back,Leeds United,PremierLeague,UEFA,325,DF,75,68,51,64,69,76,77
Ethan Horvath,30,United States,Goalkeeper,Cardiff City,League_One,CONCACAF,20,GK,72,77,68,66,76,48,67
