name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Maximilian Wober,DF,Centre_Back,27,Austria,UEFA,SV Werder Bremen,Bundesliga,130.0,maximilianwober_AUS
Neal Maupay,FW,Striker,28,France,UEFA,Olympique Marseille,Ligue1,130.0,nealmaupay_FRA
Ameen Al-Dakhil,DF,Centre_Back,23,Belgium,UEFA,VfB Stuttgart,Bundesliga,121.9,ameenal-dakhil_BEL
Marash Kumbulla,DF,Centre_Back,25,Albania,UEFA,AS Roma,Serie_A,121.9,marashkumbulla_ALB
Javi Lopez,DF,Left_Back,23,Spain,UEFA,Real Sociedad,LaLiga,121.9,javilopez_SPA
Yarek Gasiorowski,DF,Centre_Back,20,Spain,UEFA,PSV Eindhoven,Eredivisie,121.9,yarekgasiorowski_SPA
Yasin Ozcan,DF,Centre_Back,19,Turkey,UEFA,Aston Villa,PremierLeague,121.9,yasinozcan_TUR
Mateusz Bogusz,MF,Attacking_Midfielder,23,Poland,UEFA,CD Cruz Azul,Liga_MX,121.9,mateuszbogusz_POL
Daniel Boloca,MF,Defensive_Midfielder,26,Italy,UEFA,US Sassuolo,Serie_A,121.9,danielboloca_ITA
Mady Camara,MF,Central_Midfielder,28,Guinea,CAF,PAOK Thessaloniki,SuperLeague1,121.9,madycamara_GUI
Cristian Arango,FW,Striker,30,Colombia,CONMEBOL,San Jose Earthquakes,MLS,121.9,cristianarango_COL
Leonardo Fernandez,MF,Attacking_Midfielder,26,Uruguay,CONMEBOL,CA Peñarol,Other_leagues,121.9,leonardofernandez_URU
Gustavo Scarpa,MF,Attacking_Midfielder,31,Brazil,CONMEBOL,Clube Atlético Mineiro,Brasileiro_SerieA,121.9,gustavoscarpa_BRA
Walter Benitez,GK,Goalkeeper,32,Argentina,CONMEBOL,Crystal Palace,PremierLeague,121.9,walterbenitez_ARG
Vitinho,FW,Left_Winger,26,Brazil,CONMEBOL,Sport Club Internacional,Brasileiro_SerieA,121.9,vitinho_BRA
Kevin Mac Allister,DF,Centre_Back,27,Argentina,CONMEBOL,Union Saint-Gilloise,Jupiler_ProLeague,121.9,kevinmacallister_ARG
Ben Brereton Diaz,FW,Striker,26,Chile,CONMEBOL,Southampton FC,Championship,121.9,benbreretondiaz_CHI
Robert Renan,DF,Centre_Back,21,Brazil,CONMEBOL,Zenit St. Petersburg,Russian_PremierLiga,121.9,robertrenan_BRA
Ousmane Diao,DF,Centre_Back,21,Senegal,CAF,FC Midtjylland,Danish_Superligaen,121.9,ousmanediao_SEN
Mario Lemina,MF,Defensive_Midfielder,31,Gabon,CAF,Galatasaray,SuperLig,121.9,mariolemina_GAB
Michael Olunga,FW,Striker,31,Kenya,CAF,Al-Arabi SC,QSL,121.9,michaelolunga_KEN
Oscar Hojlund,MF,Central_Midfielder,20,Denmark,UEFA,Eintracht Frankfurt,Bundesliga,121.9,oscarhojlund_DEN
Clement Lenglet,DF,Centre_Back,30,France,UEFA,Atlético de Madrid,LaLiga,121.9,clementlenglet_FRA
Sydie Peck,MF,Central_Midfielder,20,England,UEFA,Sheffield United,Championship,121.9,sydiepeck_ENG
Dan Neil,MF,Central_Midfielder,23,England,UEFA,Sunderland AFC,PremierLeague,121.9,danneil_ENG
Djibril Sow,MF,Central_Midfielder,28,Switzerland,UEFA,Sevilla FC,LaLiga,121.9,djibrilsow_SWI
Aurele Amenda,DF,Centre_Back,21,Switzerland,UEFA,Eintracht Frankfurt,Bundesliga,121.9,aureleamenda_SWI
Luca Marianucci,DF,Centre_Back,21,Italy,UEFA,SSC Napoli,Serie_A,121.9,lucamarianucci_ITA
Jay Idzes,DF,Centre_Back,25,Indonesia,AFC,Venezia FC,Serie_B,121.9,jayidzes_IND
Michel Aebischer,MF,Central_Midfielder,28,Switzerland,UEFA,Bologna FC 1909,Serie_A,121.9,michelaebischer_SWI
Darius Olaru,MF,Attacking_Midfielder,27,Romania,UEFA,FCSB,Romaina_SuperLiga,121.9,dariusolaru_ROM
Rafa Mujica,FW,Striker,26,Spain,UEFA,Al-Sadd SC,QSL,121.9,rafamujica_SPA
Stanislav Agkatsev,GK,Goalkeeper,23,Russia,UEFA,FC Krasnodar,Russian_PremierLiga,121.9,stanislavagkatsev_RUS
Diego Conde,GK,Goalkeeper,26,Spain,UEFA,Villarreal CF,LaLiga,121.9,diegoconde_SPA
Cengiz Under,FW,Right_Winger,28,Turkey,UEFA,Fenerbahce,SuperLig,121.9,cengizunder_TUR
Largie Ramazani,FW,Left_Winger,24,Belgium,UEFA,Leeds United,PremierLeague,121.9,largieramazani_BEL
Tijjani Noslin,FW,Right_Winger,26,Netherlands,UEFA,SS Lazio,Serie_A,121.9,tijjaninoslin_NET
Raul Moro,FW,Left_Winger,22,Spain,UEFA,Ajax Amsterdam,Eredivisie,121.9,raulmoro_SPA
Roony Bardghji,FW,Right_Winger,19,Sweden,UEFA,FC Barcelona Atlètic,Other_leagues,121.9,roonybardghji_SWE
Matija Frigan,FW,Striker,22,Croatia,UEFA,KVC Westerlo,Jupiler_ProLeague,121.9,matijafrigan_CRO
Ismael Gharbi,FW,Left_Winger,21,Spain,UEFA,SC Braga,Liga_Portugal,121.9,ismaelgharbi_SPA
Christopher Bonsu Baah,FW,Left_Winger,20,Ghana,CAF,Al-Qadsiah FC,Saudi_ProLeague,121.9,christopherbonsubaah_GHA
Fisayo Dele-Bashiru,MF,Attacking_Midfielder,24,Nigeria,CAF,SS Lazio,Serie_A,121.9,fisayodele-bashiru_NIG
Anthony Martial,FW,Striker,29,France,UEFA,AEK Athens,SuperLeague1,121.9,anthonymartial_FRA
Paulinho,FW,Striker,32,Portugal,UEFA,Deportivo Toluca,Liga_MX,121.9,paulinho_POR
Fedor Chalov,FW,Striker,27,Russia,UEFA,PAOK Thessaloniki,SuperLeague1,121.9,fedorchalov_RUS
Lukas Haraslin,FW,Left_Winger,29,Slovakia,UEFA,AC Sparta Prague,Chance_Liga,121.9,lukasharaslin_SLO
Borja Mayoral,FW,Striker,28,Spain,UEFA,Getafe CF,LaLiga,121.9,borjamayoral_SPA
Myrto Uzuni,FW,Left_Winger,30,Albania,UEFA,Austin FC,MLS,121.9,myrtouzuni_ALB
Tommy Conway,FW,Striker,22,Scotland,UEFA,Middlesbrough FC,Championship,121.9,tommyconway_SCO
Hugo Alvarez,FW,Left_Winger,22,Spain,UEFA,Celta de Vigo,LaLiga,121.9,hugoalvarez_SPA
Kevin Paredes,MF,Side_Midfielder,22,United States,CONCACAF,VfL Wolfsburg,Bundesliga,121.9,kevinparedes_UNI
Ellyes Skhiri,MF,Defensive_Midfielder,30,Tunisia,CAF,Eintracht Frankfurt,Bundesliga,121.9,ellyesskhiri_TUN
Brandon Vazquez,FW,Striker,26,United States,CONCACAF,Austin FC,MLS,121.9,brandonvazquez_UNI
Marcel Ruiz,MF,Central_Midfielder,24,Mexico,CONCACAF,Deportivo Toluca,Liga_MX,121.9,marcelruiz_MEX
Abdel Abqar,DF,Centre_Back,26,Morocco,CAF,Without Club,Without_Club,121.9,abdelabqar_MOR
Maduka Okoye,GK,Goalkeeper,25,Nigeria,CAF,Udinese Calcio,Serie_A,121.9,madukaokoye_NIG
Franco Cristaldo,MF,Attacking_Midfielder,28,Argentina,CONMEBOL,Grêmio Foot-Ball Porto Alegrense,Brasileiro_SerieA,113.8,francocristaldo_ARG
Rafael Borre,FW,Striker,29,Colombia,CONMEBOL,Sport Club Internacional,Brasileiro_SerieA,113.8,rafaelborre_COL
Leo Jardim,GK,Goalkeeper,30,Brazil,CONMEBOL,Clube de Regatas Vasco da Gama,Brasileiro_SerieA,113.8,leojardim_BRA
Jhon Jhon,MF,Attacking_Midfielder,22,Brazil,CONMEBOL,Red Bull Bragantino,Brasileiro_SerieA,113.8,jhonjhon_BRA
Keny Arroyo,FW,Right_Winger,19,Ecuador,CONMEBOL,Besiktas JK,SuperLig,113.8,kenyarroyo_ECU
Hercules,MF,Central_Midfielder,24,Brazil,CONMEBOL,Fluminense Football Club,Brasileiro_SerieA,113.8,hercules_BRA
Alan Matturro,DF,Centre_Back,20,Uruguay,CONMEBOL,Levante UD,LaLiga,113.8,alanmatturro_URU
Christian Ordonez,MF,Central_Midfielder,21,Argentina,CONMEBOL,Parma Calcio 1913,Serie_A,113.8,christianordonez_ARG
Joaquin Panichelli,FW,Striker,22,Argentina,CONMEBOL,Deportivo Alavés,LaLiga,113.8,joaquinpanichelli_ARG
Sondre Orjasaeter,FW,Left_Winger,21,Norway,UEFA,Sarpsborg 08 FF,Eliteserien,113.8,sondreorjasaeter_NOR
Yahia Fofana,GK,Goalkeeper,24,Cote d'Ivoire,CAF,Angers SCO,Ligue1,113.8,yahiafofana_COT
Liel Abada,FW,Right_Winger,23,Israel,UEFA,Charlotte FC,MLS,113.8,lielabada_ISR
Ayrton Lucas,DF,Left_Back,28,Brazil,CONMEBOL,CR Flamengo,Brasileiro_SerieA,113.8,ayrtonlucas_BRA
Ludovit Reis,MF,Central_Midfielder,25,Netherlands,UEFA,Club Brugge KV,Jupiler_ProLeague,113.8,ludovitreis_NET
Dmytro Riznyk,GK,Goalkeeper,26,Ukraine,UEFA,Shakhtar Donetsk,Ukrainian_PremierLeague,113.8,dmytroriznyk_UKR
Kevin Mier,GK,Goalkeeper,25,Colombia,CONMEBOL,CD Cruz Azul,Liga_MX,113.8,kevinmier_COL
Max Moerstedt,FW,Striker,19,Germany,UEFA,TSG 1899 Hoffenheim,Bundesliga,113.8,maxmoerstedt_GER
Chibuike Nwaiwu,DF,Centre_Back,22,Nigeria,CAF,Wolfsberger AC,Austria_Bundesliga,113.8,chibuikenwaiwu_NIG
Joseph Okumu,DF,Centre_Back,28,Kenya,CAF,Stade Reims,Ligue2,113.8,josephokumu_KEN
Ramy Bensebaini,DF,Left_Back,30,Algeria,CAF,Borussia Dortmund,Bundesliga,113.8,ramybensebaini_ALG
Hamza Igamane,FW,Striker,22,Morocco,CAF,Rangers FC,Scottish_Premiership,113.8,hamzaigamane_MOR
Caspar Jander,MF,Central_Midfielder,22,Germany,UEFA,1.FC Nuremberg,Bundesliga_2,113.8,casparjander_GER
Aljoscha Kemlein,MF,Defensive_Midfielder,20,Germany,UEFA,1.FC Union Berlin,Bundesliga,113.8,aljoschakemlein_GER
Muhammed Damar,MF,Attacking_Midfielder,21,Germany,UEFA,TSG 1899 Hoffenheim,Bundesliga,113.8,muhammeddamar_GER
Assan Ouedraogo,MF,Central_Midfielder,19,Germany,UEFA,RB Leipzig,Bundesliga,113.8,assanouedraogo_GER
Rafiu Durosinmi,FW,Striker,22,Nigeria,CAF,FC Viktoria Plzen,Chance_Liga,113.8,rafiudurosinmi_NIG
Ismail Jakobs,DF,Left_Back,25,Senegal,CAF,Galatasaray,SuperLig,113.8,ismailjakobs_SEN
Badredine Bouanani,FW,Right_Winger,20,Algeria,CAF,OGC Nice,Ligue1,113.8,badredinebouanani_ALG
Matz Sels,GK,Goalkeeper,33,Belgium,UEFA,Nottingham Forest,PremierLeague,113.8,matzsels_BEL
Ibrahim Sulemana,MF,Defensive_Midfielder,22,Ghana,CAF,Atalanta BC,Serie_A,113.8,ibrahimsulemana_GHA
Frank Onyeka,MF,Central_Midfielder,27,Nigeria,CAF,Brentford FC,PremierLeague,113.8,frankonyeka_NIG
Abdoulaye Doucoure,MF,Attacking_Midfielder,32,Mali,CAF,Without Club,Without_Club,113.8,abdoulayedoucoure_MAL
Cedric Zesiger,DF,Centre_Back,27,Switzerland,UEFA,FC Augsburg,Bundesliga,113.8,cedriczesiger_SWI
Oussama Idrissi,FW,Left_Winger,29,Morocco,CAF,CF Pachuca,Liga_MX,113.8,oussamaidrissi_MOR
Himad Abdelli,MF,Attacking_Midfielder,25,Algeria,CAF,Angers SCO,Ligue1,113.8,himadabdelli_ALG
Agustin Rossi,GK,Goalkeeper,29,Argentina,CONMEBOL,CR Flamengo,Brasileiro_SerieA,113.8,agustinrossi_ARG
Josh Eccles,MF,Central_Midfielder,25,England,UEFA,Coventry City,Championship,113.8,josheccles_ENG
Matej Jurasek,FW,Right_Winger,21,Czech Republic,UEFA,Norwich City,Championship,113.8,matejjurasek_CZE
Chiedozie Ogbene,FW,Right_Winger,28,Ireland,UEFA,Ipswich Town,Championship,113.8,chiedozieogbene_IRE
Karim Benzema,FW,Striker,37,France,UEFA,Al-Ittihad Club,Saudi_ProLeague,113.8,karimbenzema_FRA
Felix Uduokhai,DF,Centre_Back,27,Germany,UEFA,Besiktas JK,SuperLig,113.8,felixuduokhai_GER
Abdulkerim Bardakci,DF,Centre_Back,30,Turkey,UEFA,Galatasaray,SuperLig,113.8,abdulkerimbardakci_TUR
Przemyslaw Frankowski,DF,Right_Back,30,Poland,UEFA,Galatasaray,SuperLig,113.8,przemyslawfrankowski_POL
Irfan Can Kahveci,FW,Right_Winger,30,Turkey,UEFA,Fenerbahce,SuperLig,113.8,irfancankahveci_TUR
Calvin Stengs,MF,Attacking_Midfielder,26,Netherlands,UEFA,Feyenoord Rotterdam,Eredivisie,113.8,calvinstengs_NET
Carlos Cuesta,DF,Centre_Back,26,Colombia,CONMEBOL,Galatasaray,SuperLig,113.8,carloscuesta_COL
Santiago Ascacibar,MF,Defensive_Midfielder,28,Argentina,CONMEBOL,Club Estudiantes de La Plata,Liga_Profesional,113.8,santiagoascacibar_ARG
Jose Paradela,MF,Central_Midfielder,26,Argentina,CONMEBOL,CD Cruz Azul,Liga_MX,113.8,joseparadela_ARG
Anis Mehmeti,FW,Left_Winger,24,Albania,UEFA,Bristol City,Championship,113.8,anismehmeti_ALB
Pablo Solari,FW,Right_Winger,24,Argentina,CONMEBOL,Spartak Moscow,Russian_PremierLiga,113.8,pablosolari_ARG
John Kennedy,FW,Striker,23,Brazil,CONMEBOL,Fluminense Football Club,Brasileiro_SerieA,113.8,johnkennedy_BRA
Lucas Martinez Quarta,DF,Centre_Back,29,Argentina,CONMEBOL,CA River Plate,Liga_Profesional,113.8,lucasmartinezquarta_ARG
Jorge Carrascal,MF,Attacking_Midfielder,27,Colombia,CONMEBOL,Dynamo Moscow,Russian_PremierLiga,113.8,jorgecarrascal_COL
Alexandro Bernabei,DF,Left_Back,24,Argentina,CONMEBOL,Sport Club Internacional,Brasileiro_SerieA,113.8,alexandrobernabei_ARG
Matias Vina,DF,Left_Back,27,Uruguay,CONMEBOL,CR Flamengo,Brasileiro_SerieA,113.8,matiasvina_URU
Ben Sheaf,MF,Defensive_Midfielder,27,England,UEFA,Coventry City,Championship,113.8,bensheaf_ENG
Jason Knight,MF,Central_Midfielder,24,Ireland,UEFA,Bristol City,Championship,113.8,jasonknight_IRE
Arthur,DF,Right_Back,22,Brazil,CONMEBOL,Bayer 04 Leverkusen,Bundesliga,113.8,arthur_BRA
Murilo,DF,Centre_Back,28,Brazil,CONMEBOL,Sociedade Esportiva Palmeiras,Brasileiro_SerieA,113.8,murilo_BRA
Kaio Jorge,FW,Striker,23,Brazil,CONMEBOL,Cruzeiro Esporte Clube,Brasileiro_SerieA,113.8,kaiojorge_BRA
Rafa Marin,DF,Centre_Back,23,Spain,UEFA,Villarreal CF,LaLiga,113.8,rafamarin_SPA
Tarik Muharemovic,DF,Centre_Back,22,Bosnia-Herzegovina,UEFA,US Sassuolo,Serie_A,113.8,tarikmuharemovic_BOS
Sergio Akieme,DF,Left_Back,27,Spain,UEFA,Stade Reims,Ligue2,113.8,sergioakieme_SPA
Simone Canestrelli,DF,Centre_Back,24,Italy,UEFA,Pisa Sporting Club,Serie_A,113.8,simonecanestrelli_ITA
Mitchel Bakker,DF,Left_Back,25,Netherlands,UEFA,Atalanta BC,Serie_A,113.8,mitchelbakker_NET
Gabriel Gudmundsson,DF,Left_Back,26,Sweden,UEFA,Leeds United,PremierLeague,113.8,gabrielgudmundsson_SWE
Sael Kumbedi,DF,Right_Back,20,France,UEFA,Olympique Lyon,Ligue1,113.8,saelkumbedi_FRA
Andres Garcia,DF,Right_Back,22,Spain,UEFA,Aston Villa,PremierLeague,113.8,andresgarcia_SPA
Valentin Gendrey,DF,Right_Back,25,France,UEFA,TSG 1899 Hoffenheim,Bundesliga,113.8,valentingendrey_FRA
Archie Brown,DF,Left_Back,23,England,UEFA,Fenerbahce,SuperLig,113.8,archiebrown_ENG
Samuel Dahl,DF,Left_Back,22,Sweden,UEFA,SL Benfica,Liga_Portugal,113.8,samueldahl_SWE
Silas,FW,Right_Winger,26,Congo,CAF,VfB Stuttgart,Bundesliga,113.8,silas_CON
Soufiane Rahimi,FW,Left_Winger,29,Morocco,CAF,Al-Ain FC,UAE_ProLeague,113.8,soufianerahimi_MOR
Abner,DF,Left_Back,25,Brazil,CONMEBOL,Olympique Lyon,Ligue1,113.8,abner_BRA
Matheus Martins,FW,Left_Winger,22,Brazil,CONMEBOL,Botafogo de Futebol e Regatas,Brasileiro_SerieA,113.8,matheusmartins_BRA
Talles Magno,FW,Left_Winger,23,Brazil,CONMEBOL,Sport Club Corinthians Paulista,Brasileiro_SerieA,113.8,tallesmagno_BRA
Emiliano Martinez,MF,Defensive_Midfielder,25,Uruguay,CONMEBOL,Sociedade Esportiva Palmeiras,Brasileiro_SerieA,113.8,emilianomartinez_URU
Vincent Janssen,FW,Striker,31,Netherlands,UEFA,Royal Antwerp FC,Jupiler_ProLeague,113.8,vincentjanssen_NET
Anton Gaaei,DF,Right_Back,22,Denmark,UEFA,Ajax Amsterdam,Eredivisie,113.8,antongaaei_DEN
Diant Ramaj,GK,Goalkeeper,23,Germany,UEFA,Borussia Dortmund,Bundesliga,113.8,diantramaj_GER
Jose Sa,GK,Goalkeeper,32,Portugal,UEFA,Wolverhampton Wanderers,PremierLeague,113.8,josesa_POR
Marius Broholm,FW,Right_Winger,20,Norway,UEFA,LOSC Lille,Ligue1,113.8,mariusbroholm_NOR
Giovani,FW,Right_Winger,21,Brazil,CONMEBOL,Al-Sadd SC,QSL,113.8,giovani_BRA
Gabriel Menino,MF,Central_Midfielder,24,Brazil,CONMEBOL,Clube Atlético Mineiro,Brasileiro_SerieA,113.8,gabrielmenino_BRA
Krepin Diatta,FW,Right_Winger,26,Senegal,CAF,AS Monaco,Ligue1,113.8,krepindiatta_SEN
Giovanni Reyna,MF,Attacking_Midfielder,22,United States,CONCACAF,Borussia Dortmund,Bundesliga,113.8,giovannireyna_UNI
Orbelin Pineda,MF,Central_Midfielder,29,Mexico,CONCACAF,AEK Athens,SuperLeague1,113.8,orbelinpineda_MEX
Ethan Pinnock,DF,Centre_Back,32,Jamaica,CONCACAF,Brentford FC,PremierLeague,113.8,ethanpinnock_JAM
Bruma,FW,Left_Winger,30,Portugal,UEFA,SL Benfica,Liga_Portugal,113.8,bruma_POR
Oliver Sorensen,MF,Central_Midfielder,23,Denmark,UEFA,FC Midtjylland,Danish_Superligaen,113.8,oliversorensen_DEN
Yannick Carrasco,FW,Left_Winger,31,Belgium,UEFA,Al-Shabab FC,Saudi_ProLeague,113.8,yannickcarrasco_BEL
Chuba Akpom,FW,Striker,29,England,UEFA,Ajax Amsterdam,Eredivisie,113.8,chubaakpom_ENG
Georgios Giakoumakis,FW,Striker,30,Greece,UEFA,CD Cruz Azul,Liga_MX,113.8,georgiosgiakoumakis_GRE
Michel-Ange Balikwisha,FW,Left_Winger,24,Belgium,UEFA,Royal Antwerp FC,Jupiler_ProLeague,113.8,michel-angebalikwisha_BEL
Etienne Youte Kinkoue,DF,Centre_Back,23,France,UEFA,Le Havre AC,Ligue1,113.8,etienneyoutekinkoue_FRA
Bashir Humphreys,DF,Left_Back,22,England,UEFA,Burnley FC,PremierLeague,113.8,bashirhumphreys_ENG
Elias Jelert,DF,Right_Back,22,Denmark,UEFA,Galatasaray,SuperLig,113.8,eliasjelert_DEN
Caglar Soyuncu,DF,Centre_Back,29,Turkey,UEFA,Fenerbahce,SuperLig,113.8,caglarsoyuncu_TUR
David Garcia,DF,Centre_Back,31,Spain,UEFA,Al-Rayyan SC,QSL,113.8,davidgarcia_SPA
Mario Hermoso,DF,Centre_Back,30,Spain,UEFA,AS Roma,Serie_A,113.8,mariohermoso_SPA
Mark McGuinness,DF,Centre_Back,24,Ireland,UEFA,Luton Town,League_One,113.8,markmcguinness_IRE
Adria Pedrosa,DF,Left_Back,27,Spain,UEFA,Sevilla FC,LaLiga,113.8,adriapedrosa_SPA
Kassoum Ouattara,DF,Left_Back,20,France,UEFA,AS Monaco,Ligue1,113.8,kassoumouattara_FRA
Gijs Smal,DF,Left_Back,27,Netherlands,UEFA,Feyenoord Rotterdam,Eredivisie,113.8,gijssmal_NET
William Osula,FW,Striker,21,Denmark,UEFA,Newcastle United,PremierLeague,113.8,williamosula_DEN
Luciano Valente,MF,Attacking_Midfielder,21,Netherlands,UEFA,Feyenoord Rotterdam,Eredivisie,113.8,lucianovalente_NET
Gonzalo Plata,FW,Right_Winger,24,Ecuador,CONMEBOL,CR Flamengo,Brasileiro_SerieA,113.8,gonzaloplata_ECU
Vitor Tormena,DF,Centre_Back,29,Brazil,CONMEBOL,FC Krasnodar,Russian_PremierLiga,113.8,vitortormena_BRA
Jeremy Sarmiento,FW,Left_Winger,23,Ecuador,CONMEBOL,Brighton & Hove Albion,PremierLeague,113.8,jeremysarmiento_ECU
Filip Ugrinic,MF,Central_Midfielder,26,Switzerland,UEFA,BSC Young Boys,Swiss_SuperLeague,113.8,filipugrinic_SWI
Hans Vanaken,MF,Attacking_Midfielder,32,Belgium,UEFA,Club Brugge KV,Jupiler_ProLeague,113.8,hansvanaken_BEL
Geoffrey Kondogbia,MF,Defensive_Midfielder,32,Central African Republic,CAF,Olympique Marseille,Ligue1,113.8,geoffreykondogbia_CEN
Isaak Toure,DF,Centre_Back,22,France,UEFA,FC Lorient,Ligue1,113.8,isaaktoure_FRA
Martim Marques,DF,Left_Back,21,Portugal,UEFA,FC Lugano,Swiss_SuperLeague,113.8,martimmarques_POR
Rui Silva,GK,Goalkeeper,31,Portugal,UEFA,Sporting CP,Liga_Portugal,113.8,ruisilva_POR
Fredrik Sjovold,DF,Right_Back,21,Norway,UEFA,FK Bodø/Glimt,Eliteserien,113.8,fredriksjovold_NOR
Caio Alexandre,MF,Defensive_Midfielder,26,Brazil,CONMEBOL,Esporte Clube Bahia,Brasileiro_SerieA,105.6,caioalexandre_BRA
Miguel Merentiel,FW,Striker,29,Uruguay,CONMEBOL,CA Boca Juniors,Liga_Profesional,105.6,miguelmerentiel_URU
Diber Cambindo,FW,Striker,29,Colombia,CONMEBOL,Club Necaxa,Liga_MX,105.6,dibercambindo_COL
Thiago Fernandez,FW,Left_Winger,21,Argentina,CONMEBOL,CA Vélez Sarsfield,Liga_Profesional,105.6,thiagofernandez_ARG
Matias Zaracho,MF,Attacking_Midfielder,27,Argentina,CONMEBOL,Racing Club,Liga_Profesional,105.6,matiaszaracho_ARG
Roberto Alvarado,FW,Right_Winger,26,Mexico,CONCACAF,Deportivo Guadalajara,Liga_MX,105.6,robertoalvarado_MEX
Stefano Turati,GK,Goalkeeper,23,Italy,UEFA,US Sassuolo,Serie_A,105.6,stefanoturati_ITA
Habib Diallo,FW,Striker,30,Senegal,CAF,Al-Shabab FC,Saudi_ProLeague,105.6,habibdiallo_SEN
Erick Sanchez,MF,Defensive_Midfielder,25,Mexico,CONCACAF,CF América,Liga_MX,105.6,ericksanchez_MEX
Musa Barrow,FW,Left_Winger,26,Gambia,CAF,Al-Taawoun FC,Saudi_ProLeague,105.6,musabarrow_GAM
Juan Brunetta,MF,Attacking_Midfielder,28,Argentina,CONMEBOL,Tigres UANL,Liga_MX,105.6,juanbrunetta_ARG
Helinho,FW,Right_Winger,25,Brazil,CONMEBOL,Deportivo Toluca,Liga_MX,105.6,helinho_BRA
Rony,FW,Striker,30,Brazil,CONMEBOL,Clube Atlético Mineiro,Brasileiro_SerieA,105.6,rony_BRA
Adam Idah,FW,Striker,24,Ireland,UEFA,Celtic FC,Scottish_Premiership,105.6,adamidah_IRE
Milot Rashica,FW,Right_Winger,29,Kosovo,UEFA,Besiktas JK,SuperLig,105.6,milotrashica_KOS
Ephron Mason-Clark,FW,Left_Winger,25,England,UEFA,Coventry City,Championship,105.6,ephronmason-clark_ENG
Sampson Dweh,DF,Centre_Back,23,Liberia,CAF,FC Viktoria Plzen,Chance_Liga,105.6,sampsondweh_LIB
Alexander Djiku,DF,Centre_Back,30,Ghana,CAF,Fenerbahce,SuperLig,105.6,alexanderdjiku_GHA
Bright Osayi-Samuel,DF,Right_Back,27,Nigeria,CAF,Birmingham City,Championship,105.6,brightosayi-samuel_NIG
Mees Hilgers,DF,Centre_Back,24,Indonesia,AFC,Twente Enschede FC,Eredivisie,105.6,meeshilgers_IND
Fabio Lima,MF,Attacking_Midfielder,32,United Arab Emirates,AFC,Al-Wasl FC,UAE_ProLeague,105.6,fabiolima_UNI
Juan Manuel Sanabria,DF,Left_Back,25,Uruguay,CONMEBOL,Atlético de San Luis,Liga_MX,105.6,juanmanuelsanabria_URU
Cristian Volpato,MF,Attacking_Midfielder,21,Italy,UEFA,US Sassuolo,Serie_A,105.6,cristianvolpato_ITA
Jesus Orozco Chiquete,DF,Centre_Back,23,Mexico,CONCACAF,CD Cruz Azul,Liga_MX,105.6,jesusorozcochiquete_MEX
Jordan Lotomba,DF,Right_Back,26,Switzerland,UEFA,Feyenoord Rotterdam,Eredivisie,105.6,jordanlotomba_SWI
Lorenzo Pirola,DF,Centre_Back,23,Italy,UEFA,Olympiacos Piraeus,SuperLeague1,97.5,lorenzopirola_ITA
Otar Kiteishvili,MF,Attacking_Midfielder,29,Georgia,UEFA,SK Sturm Graz,Austria_Bundesliga,97.5,otarkiteishvili_GEO
Joel Monteiro,MF,Side_Midfielder,25,Switzerland,UEFA,BSC Young Boys,Swiss_SuperLeague,97.5,joelmonteiro_SWI
Rome Jayden Owusu-Oduro,GK,Goalkeeper,21,Netherlands,UEFA,AZ Alkmaar,Eredivisie,97.5,romejaydenowusu-oduro_NET
Benjamin Nygren,FW,Right_Winger,24,Sweden,UEFA,Celtic FC,Scottish_Premiership,97.5,benjaminnygren_SWE
Max Aarons,DF,Right_Back,25,England,UEFA,Rangers FC,Scottish_Premiership,97.5,maxaarons_ENG
Tanner Tessmann,MF,Defensive_Midfielder,23,United States,CONCACAF,Olympique Lyon,Ligue1,97.5,tannertessmann_UNI
Dominik Greif,GK,Goalkeeper,28,Slovakia,UEFA,RCD Mallorca,LaLiga,97.5,dominikgreif_SLO
Radoslaw Majecki,GK,Goalkeeper,25,Poland,UEFA,AS Monaco,Ligue1,97.5,radoslawmajecki_POL
Berke Ozer,GK,Goalkeeper,25,Turkey,UEFA,Eyüpspor,SuperLig,97.5,berkeozer_TUR
Filip Stankovic,GK,Goalkeeper,23,Serbia,UEFA,Venezia FC,Serie_B,97.5,filipstankovic_SER
Tajon Buchanan,MF,Side_Midfielder,26,Canada,CONCACAF,Inter Milan,Serie_A,97.5,tajonbuchanan_CAN
Jorginho,MF,Defensive_Midfielder,33,Italy,UEFA,CR Flamengo,Brasileiro_SerieA,97.5,jorginho_ITA
Christopher Martins,MF,Defensive_Midfielder,28,Luxembourg,UEFA,Spartak Moscow,Russian_PremierLiga,97.5,christophermartins_LUX
Aleksandr Sobolev,FW,Striker,28,Russia,UEFA,Zenit St. Petersburg,Russian_PremierLiga,97.5,aleksandrsobolev_RUS
Antonio Sivera,GK,Goalkeeper,28,Spain,UEFA,Deportivo Alavés,LaLiga,97.5,antoniosivera_SPA
Timon Wellenreuther,GK,Goalkeeper,29,Germany,UEFA,Feyenoord Rotterdam,Eredivisie,97.5,timonwellenreuther_GER
Adem Zorgane,MF,Central_Midfielder,25,Algeria,CAF,Union Saint-Gilloise,Jupiler_ProLeague,97.5,ademzorgane_ALG
