name,nation,club,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY
Omar Colley,Gambia,PAOK FC,CB,74,64,31,48,55,73,84
Tomas Conechny,Argentina,D. Alavés,LW,74,90,73,65,76,33,65
Joaquin Correa,Argentina,Lombardia FC,ST,74,65,73,73,78,40,64
Brayan Cortes,Chile,Colo-Colo,GK,74,73,73,74,76,48,71
Logan Costa,Cabo Verde,Villarreal CF,CB,74,48,38,55,61,75,75
Lassana Coulibaly,Mali,Lecce,CDM,74,69,58,69,72,72,75
Alessio Cragno,Italy,Monza,GK,74,74,72,70,75,39,74
Aaron Cresswell,England,West Ham,LB,74,59,59,74,74,75,62
Andres Cubas,Paraguay,Whitecaps FC,CDM,74,69,50,66,71,73,56
Jorge Cuenca,Spain,Fulham,CB,74,60,37,60,53,76,67
Patrick Cutrone,Italy,Como,ST,74,72,73,59,74,29,71
Lucas Da Cunha,France,Como,LM,74,79,69,69,78,39,56
Finn Dahmen,Germany,FC Augsburg,GK,74,74,68,76,78,45,72
Patson Daka,Zambia,Leicester City,ST,74,89,73,58,74,26,69
Flavius Daniliuc,Austria,Hellas Verona,CB,74,52,42,61,60,74,77
Mohamed Daramy,Denmark,Stade de Reims,LM,74,86,66,65,78,28,70
Pablo De Blasis,Argentina,Gimnasia,CM,74,67,69,73,79,67,52
Maracas,Brazil,Moreirense FC,CB,74,76,30,50,59,75,75
Pedro De la Vega,Argentina,Sounders FC,RW,74,82,73,69,75,50,72
Natan,Brazil,Real Betis,CB,74,59,33,48,50,77,74
Vinicius Souza,Brazil,Sheffield Utd,CDM,74,65,56,64,67,74,80
Dani de Wit,Netherlands,VfL Bochum 1848,MOC,74,54,77,70,70,72,87
Brecht Dejaegere,Belgium,KV Kortrijk,CM,74,67,69,74,74,67,70
Pedrinho,Brazil,Shakhtar Donetsk,RM,74,82,64,72,79,42,53
Stefano Denswil,Suriname,Trabzonspor,CB,74,57,56,67,65,75,75
Habib Diallo,Senegal,Damac FC,ST,74,70,74,59,71,22,74
Ismael Diaz,Panama,U. Católica,LW,74,87,70,62,75,34,75
Damian Diaz,Ecuador,Banfield,MOC,74,64,71,76,74,44,66
Leandro Diaz,Argentina,Lanús,ST,74,64,75,63,69,27,76
Mohammed Diomande,Cote d'Ivoire,Rangers,CDM,74,76,68,72,79,68,71
Andy Diouf,France,RC Lens,CM,74,75,68,71,75,67,75
Alberto Dossena,Italy,Como,CB,74,43,43,52,59,76,75
David Doudera,Czech Republic,Slavia Praha,RM,74,89,66,65,72,65,67
Tasos Douvikas,Greece,RC Celta,ST,74,81,72,62,73,34,73
Tommy Doyle,England,Wolves,CM,74,67,65,74,75,65,67
Ondrej Duda,Slovakia,Hellas Verona,CM,74,65,71,73,78,64,63
Alfred Duncan,Ghana,Venezia,CM,74,67,64,72,74,76,80
Maxime Dupe,France,OGC Nice,GK,74,76,73,72,74,46,71
Jhon Duran,Colombia,Aston Villa,ST,74,78,75,58,71,32,77
Filip Duricic,Serbia,Panathinaikos,MOC,74,69,69,73,76,42,59
Rafiu Durosinmi,Nigeria,Viktoria Plzeň,ST,74,76,71,60,71,27,76
Tyronne Ebuehi,Nigeria,Empoli,RB,74,85,51,60,70,69,71
Rodrigo Echeverria,Chile,Huracán,CM,74,72,65,70,72,74,83
Anwar El Ghazi,Netherlands,Cardiff City,LM,74,72,76,70,75,35,68
Meschack Elia,Congo,BSC Young Boys,ST,74,92,72,67,78,26,71
Gonzalo Escalante,Argentina,Cádiz CF,CM,74,60,70,72,71,73,75
Aaron,Spain,R. Oviedo,GK,74,72,74,71,74,37,72
Escudero,Spain,RC Deportivo,LB,74,65,62,72,70,74,67
Mateus Fernandes,Portugal,Southampton,CM,74,75,65,73,79,58,62
Maxime Esteve,France,Burnley,CB,74,61,33,52,54,74,77
Jonny Evans,Northern Ireland,Man Utd,CB,74,33,32,62,56,76,70
Edu Exposito,Spain,RCD Espanyol,CM,74,65,74,72,75,70,69
Abdessamad Ezzalzouli,Morocco,Real Betis,LM,74,83,70,66,78,27,53
Rasmus Falk,Denmark,F.C. København,CM,74,75,55,70,81,66,69
Facundo Farias,Argentina,Inter Miami CF,ST,74,85,72,68,80,39,70
Federico Fattori,Argentina,Huracán,CDM,74,63,54,68,72,70,76
Peque,Spain,Sevilla FC,MOC,74,81,72,69,75,35,51
Evan Ferguson,Ireland,Brighton,ST,74,72,76,60,71,20,70
Jean,Brazil,Cerro Porteño,GK,74,74,73,68,78,29,74
Nicolas Fernandez,Argentina,Belgrano,ST,74,86,74,63,77,39,66
Zian Flemming,Netherlands,Burnley,ST,74,70,75,72,73,57,79
James Forrest,Scotland,Celtic,RW,74,77,72,70,74,49,54
Gabriel Pec,Brazil,LA Galaxy,RW,74,85,69,65,77,34,70
Dimitri Foulquier,France,Valencia CF,RB,74,75,59,66,68,72,74
Mohamed Fouzair,Morocco,Al Raed,RM,74,78,64,70,77,50,71
Roberto Gagliardini,Italy,Monza,CDM,74,42,63,70,71,75,69
Hernan Galindez,Ecuador,Huracán,GK,74,74,73,70,74,32,76
Antonino Gallo,Italy,Lecce,LB,74,78,52,70,70,68,66
Agustin Garcia Basso,Argentina,Racing Club,CB,74,65,52,60,63,75,77
Raul Garcia,Spain,CA Osasuna,ST,74,70,74,62,71,25,68
Unai Garcia,Spain,CA Osasuna,CB,74,57,42,62,57,76,75
Kike Garcia,Spain,D. Alavés,ST,74,52,75,64,72,44,72
Johan Gastien,France,Clermont Foot 63,CDM,74,42,63,66,69,71,74
Dennis Geiger,Germany,TSG Hoffenheim,CDM,74,45,53,76,79,64,58
Andreas Gianniotis,Greece,Kasımpaşa,GK,74,77,71,66,77,38,71
Robert Glatzel,Germany,Hamburger SV,ST,74,63,74,48,66,30,79
Wilfried Gnonto,Italy,Leeds United,RM,74,87,72,65,79,30,66
Yeimar Gomez Andrade,Colombia,Sounders FC,CB,74,66,33,49,57,73,86
Sergio Gomez,Spain,Real Sociedad,LB,74,69,70,75,77,69,65
Craig Goodwin,Australia,Al Wehda,LM,74,84,73,72,71,59,76
Jon Gorenc Stankovic,Slovenia,SK Sturm Graz,CDM,74,44,46,59,66,75,82
Andreaw Gravillon,France,Adana Demirspor,CB,74,70,56,49,55,74,77
Florian Grillitsch,Austria,TSG Hoffenheim,CB,74,66,60,76,75,76,68
Kamil Grosicki,Poland,Pogoń Szczecin,LM,74,84,70,73,75,37,60
Brajan Gruda,Germany,Brighton,MOC,74,78,71,69,81,30,67
Gabriel Gudmundsson,Sweden,LOSC Lille,LB,74,85,64,69,72,67,72
Evann Guessand,Cote d'Ivoire,OGC Nice,ST,74,80,72,56,70,27,70
Rafik Guitane,Algeria,SC Braga,RW,74,76,66,68,80,31,53
Angus Gunn,Scotland,Norwich,GK,74,75,71,72,76,48,71
Guridi,Spain,D. Alavés,MOC,74,63,66,70,76,62,56
Emmanuel Gyasi,Ghana,Empoli,RM,74,79,64,67,74,48,70
Janik Haberer,Germany,Union Berlin,CM,74,58,67,71,74,63,71
Amir Hadziahmetovic,Bosnia-Herzegovina,Çaykur Rizespor,CDM,74,71,60,73,72,71,76
Ianis Hagi,Romania,Rangers,MOC,74,63,72,74,75,36,62
Massadio Haidara,Mali,Stade Brestois,CB,74,76,60,64,71,73,78
Haris Hajradinovic,Bosnia-Herzegovina,Kasımpaşa,CM,74,73,68,77,75,55,68
Hakon Arnar Haraldsson,Iceland,LOSC Lille,LM,74,76,64,71,77,57,68
Gauthier Hein,France,FC Metz,MOC,74,78,72,73,79,35,57
Mees Hilgers,Indonesia,FC Twente,CB,74,74,43,54,59,75,76
Marwin Hitz,Switzerland,FC Basel 1893,GK,74,72,73,75,73,42,79
Emil Holm,Sweden,Bologna,RM,74,82,61,67,71,66,84
Lewis Holtby,Germany,Holstein Kiel,CM,74,61,66,75,76,63,67
Robin Hranac,Czech Republic,TSG Hoffenheim,CB,74,69,39,51,53,73,78
Patrik Hrosovsky,Slovakia,KRC Genk,CDM,74,61,71,74,74,70,68
Will Hughes,England,Crystal Palace,CDM,74,43,63,75,73,71,63
Omari Hutchinson,England,Ipswich,RM,74,80,72,68,77,53,62
Elseid Hysaj,Albania,Latium,LB,74,73,51,66,72,72,69
Iborra,Spain,Levante UD,CDM,74,50,66,72,63,73,79
Juan Iglesias,Spain,Getafe CF,RB,74,81,39,61,66,71,70
Kelechi Iheanacho,Nigeria,Sevilla FC,ST,74,71,74,69,75,38,71
Danny Ings,England,West Ham,ST,74,59,77,69,73,45,61
Jackson Irvine,Australia,FC St. Pauli,CM,74,64,68,70,70,72,79
Carlos Izquierdoz,Argentina,Lanús,CB,74,48,53,52,53,73,83
Armando Izzo,Italy,Monza,CB,74,45,33,47,64,75,73
Ivan Jaime,Spain,FC Porto,LM,74,74,73,71,76,51,64
Ismail Jakobs,Senegal,Galatasaray,LB,74,84,60,64,73,67,69
Lucas Janson,Argentina,Boca Juniors,LM,74,85,70,66,77,41,65
Martin Jedlicka,Czech Republic,Viktoria Plzeň,GK,74,73,74,70,75,35,72
Tin Jedvaj,Croatia,Panathinaikos,CB,74,70,51,57,64,74,76
Fredrik Jensen,Finland,FC Augsburg,MOC,74,68,69,71,74,55,73
Moritz Jenz,Germany,1. FSV Mainz 05,CB,74,63,29,50,55,73,80
Raul Jimenez,Mexico,Fulham,ST,74,54,76,73,73,45,78
Viktor Johansson,Sweden,Stoke City,GK,74,75,71,70,77,40,73
Jens Jonsson,Denmark,AEK Athens,CDM,74,72,56,65,70,73,75
Joo Min Kyu,"Korea, South",Ulsan Hyundai,ST,74,69,76,56,69,44,81
Jesse Joronen,Finland,Venezia,GK,74,73,73,69,75,47,74
Vaclav Jurecka,Czech Republic,Slavia Praha,ST,74,74,74,66,71,49,76
Jutgla,Spain,Club Brugge,ST,74,76,74,65,77,29,76
Lukas Kalvach,Czech Republic,Viktoria Plzeň,CM,74,64,64,74,73,72,78
Glen Kamara,Finland,Stade Rennais FC,CDM,74,74,58,69,77,69,75
Efecan Karaca,Turkey,Alanyaspor,MOC,74,79,65,72,77,44,50
Oleksandr Karavaiev,Ukraine,Dynamo Kyiv,RB,74,77,57,70,72,68,65
Naby Keita,Guinea,SV Werder Bremen,CM,74,60,71,72,81,67,59
Otar Kiteishvili,Georgia,SK Sturm Graz,MOC,74,72,71,71,77,67,58
Klauss,Brazil,St. Louis CITY SC,ST,74,64,74,62,66,36,85
Mateusz Klich,Poland,D.C. United,CM,74,64,70,74,72,65,74
Robin Knoche,Germany,1. FC Nürnberg,CB,74,45,42,54,49,76,72
Konstantinos Koulierakis,Greece,VfL Wolfsburg,CB,74,69,43,56,63,74,75
Alex Kral,Czech Republic,RCD Espanyol,CDM,74,70,70,69,74,73,76
Lukas Kubler,Germany,SC Freiburg,RB,74,82,47,60,67,71,73
Marash Kumbulla,Albania,RCD Espanyol,CB,74,39,32,53,56,77,73
Sven Kums,Belgium,KAA Gent,CM,74,39,69,77,72,72,67
Daler Kuzyaev,Russia,Havre AC,CM,74,75,68,73,75,71,70
Adam Lallana,England,Southampton,MOC,74,52,70,76,76,63,61
Sam Lammers,Netherlands,FC Twente,ST,74,66,74,65,76,36,69
Loic Lapoussin,Madagascar,R. Union St.-G.,LM,74,75,67,70,77,66,72
Gautier Larsonneur,France,AS Saint-Étienne,GK,74,72,72,72,75,52,73
Hugo Larsson,Sweden,Frankfurt,CM,74,73,63,67,75,65,73
Toni Lato,Spain,RCD Mallorca,LB,74,77,56,71,71,68,62
Darko Lazovic,Serbia,Hellas Verona,LM,74,71,72,74,75,65,56
Lee Chang Geun,"Korea, South",Daejeon,GK,74,73,74,67,77,45,72
Lee Dong Kyeong,"Korea, South",Gimcheon Sangmu,MOC,74,75,74,72,75,57,69
Jamie Leweling,Germany,VfB Stuttgart,RM,74,85,69,64,76,42,73
Karol Linetty,Poland,Torino,CM,74,56,63,71,74,72,66
Jesse Lingard,England,FC Seoul,MOC,74,73,71,72,77,58,61
Ondrej Lingr,Czech Republic,Slavia Praha,MOC,74,71,74,70,76,53,79
Dejan Ljubicic,Austria,1. FC Köln,CM,74,73,69,70,73,70,78
Andres Llinas,Colombia,Millonarios,CB,74,64,29,50,55,75,75
Gautier Lloris,France,Havre AC,CB,74,40,36,54,56,74,77
Gaston Lodico,Argentina,Instituto,LM,74,80,58,72,79,56,58
Yury Lodygin,Russia,Panathinaikos,GK,74,76,70,73,78,45,71
Joe Lolley,England,Sydney FC,RM,74,73,70,70,76,49,63
Cadu,Brazil,Viktoria Plzeň,LM,74,75,67,73,76,67,62
Unai Lopez,Spain,Rayo Vallecano,CDM,74,70,70,77,76,67,68
Hernan Lopez Munoz,Argentina,SJ Earthquakes,MOC,74,87,67,67,80,36,59
Anthony Losilla,France,VfL Bochum 1848,CDM,74,42,59,66,71,72,74
Dejan Lovren,Croatia,OL,CB,74,50,40,58,58,74,74
John Lundstram,England,Trabzonspor,CDM,74,65,72,71,70,69,77
Kevin Mac Allister,Argentina,R. Union St.-G.,CB,74,75,55,60,72,74,79
Koki Machida,Japan,R. Union St.-G.,CB,74,78,42,59,52,73,80
Daizen Maeda,Japan,Celtic,LW,74,93,71,65,75,60,74
Giulio Maggiore,Italy,Salernitana,CM,74,69,61,69,70,72,71
Hordur Magnusson,Iceland,Panathinaikos,CB,74,69,50,68,60,75,75
Ryan Manning,Ireland,Southampton,LB,74,69,60,72,73,68,71
Tomas Marchiori,Argentina,Vélez Sarsfield,GK,74,74,73,71,74,40,74
Ivan Marcone,Argentina,Independiente,CDM,74,40,62,71,68,72,77
Pep Biel,Spain,Charlotte FC,MOC,74,70,72,72,77,48,59
Neal Maupay,France,OM,ST,74,69,75,67,72,41,72
Mark McKenzie,United States,Toulouse FC,CB,74,81,36,50,64,73,78
Marvin Mehlem,Germany,Hull City,MOC,74,68,67,70,77,54,64
Nico Melamed,Spain,UD Almería,MOC,74,80,68,75,78,40,60
Domingos Duarte,Portugal,Getafe CF,CB,74,47,36,57,52,75,75
Teden Mengi,England,Luton Town,CB,74,78,39,55,64,74,74
Illan Meslier,France,Leeds United,GK,74,75,73,70,76,38,70
Rony Lopes,Portugal,Alanyaspor,RM,74,73,72,73,76,30,56
Djordje Mihailovic,United States,Colorado Rapids,MOC,74,71,70,74,74,60,67
Sven Mijnans,Netherlands,AZ,CM,74,65,71,71,75,63,70
Yankuba Minteh,Gambia,Brighton,RM,74,95,65,61,79,45,56
Bojan Miovski,North Macedonia,Girona FC,ST,74,73,76,58,71,29,73
Fabio Miretti,Italy,Genoa,CM,74,75,60,75,76,66,70
Josip Misic,Croatia,Dinamo Zagreb,CDM,74,68,68,77,65,67,76
Stefan Mitrovic,Serbia,KAA Gent,CB,74,32,34,53,51,75,81
Stoichkov,Spain,D. Alavés,LM,74,73,76,69,75,46,71
Cesar Montes,Mexico,UD Almería,CB,74,57,46,60,63,73,79
Joni Montiel,Spain,Rayo Vallecano,MOC,74,70,76,75,77,50,60
Alfredo Morelos,Colombia,Atl. Nacional,ST,74,70,73,66,71,43,81
Manu Morlanes,Spain,RCD Mallorca,CM,74,67,64,75,73,69,68
Carlton Morris,England,Luton Town,ST,74,73,74,58,69,34,77
Faris Pemi Moumbagna,Cameroon,OM,ST,74,89,72,57,68,29,81
Ernest Muci,Albania,Beşiktaş,MOC,74,79,71,69,75,28,57
Mert Muldur,Turkey,Fenerbahçe,RB,74,74,53,65,74,71,74
Marius Muller,Germany,VfL Wolfsburg,GK,74,75,71,59,78,30,75
Aihen Munoz,Spain,Real Sociedad,LB,74,77,54,69,73,72,70
Javi Munoz,Spain,UD Las Palmas,CM,74,72,65,71,73,65,78
Alex Munoz,Spain,UD Las Palmas,CB,74,78,67,63,63,74,81
Thomas Murg,Austria,PAOK FC,MOC,74,79,72,73,76,44,64
Amir Murillo,Panama,OM,RB,74,82,57,68,71,69,73
Phillipp Mwene,Austria,1. FSV Mainz 05,LB,74,80,54,66,75,68,69
Marvelous Nakamba,Zimbabwe,Luton Town,CDM,74,58,49,62,71,74,74
Keito Nakamura,Japan,Stade de Reims,LM,74,77,72,70,76,41,69
Khaled Narey,Germany,Al Khaleej,RM,74,82,68,67,75,62,73
Luca Netz,Germany,M'gladbach,LB,74,77,48,69,72,71,66
Gabriel Neves,Uruguay,Estudiantes,CM,74,70,64,75,72,66,59
Perry Ng,England,Cardiff City,RB,74,72,60,66,67,72,75
Michael Ngadeu,Cameroon,Beijing FC,CB,74,64,43,55,55,74,83
Arnaud Nordin,France,Montpellier,RM,74,81,71,70,76,37,56
Ernest Nuamah,Ghana,OL,RW,74,85,67,63,79,24,62
Juan Jesus,Brazil,SSC Napoli,CB,74,60,33,51,60,76,71
Callum O'Hare,England,Sheffield Utd,MOC,74,77,66,70,78,62,68
Dara O'Shea,Ireland,Ipswich,CB,74,67,33,55,58,75,76
Igoh Ogbu,Nigeria,Slavia Praha,CB,74,75,39,55,59,72,82
David Okereke,Nigeria,Gaziantep,ST,74,83,71,56,76,26,65
Maduka Okoye,Nigeria,Udinese,GK,74,73,72,68,78,24,74
Joseph Okumu,Kenya,Stade de Reims,CB,74,78,41,56,63,73,77
Rogerio,Brazil,VfL Wolfsburg,LB,74,75,53,68,76,70,59
Robin Olsen,Sweden,Aston Villa,GK,74,74,70,76,74,35,76
Kristoffer Olsson,Sweden,FC Midtjylland,CM,74,69,64,74,75,68,64
Christopher Operi,Cote d'Ivoire,Havre AC,LB,74,77,61,69,72,68,71
Gift Orban,Nigeria,OL,ST,74,77,79,62,73,18,62
Ivan Ordets,Ukraine,VfL Bochum 1848,CB,74,54,53,49,46,75,80
Mislav Orsic,Croatia,Trabzonspor,LM,74,78,79,71,74,59,60
Patrick Osterhage,Germany,SC Freiburg,CDM,74,76,60,68,73,72,75
Juan Ferney Otero,Colombia,R. Sporting,ST,74,91,73,67,75,31,75
Dango Ouattara,Burkina Faso,AFC Bournemouth,LM,74,85,68,65,77,47,57
Magomed Ozdoev,Russia,PAOK FC,CM,74,69,71,74,72,72,71
Luis Palma,Honduras,Celtic,LW,74,77,74,75,75,32,63
Amahl Pellegrino,Norway,SJ Earthquakes,LW,74,84,74,68,73,40,60
Patrick Pentz,Austria,Brøndby IF,GK,74,73,71,71,76,53,72
Danilo,Brazil,Rangers,ST,74,74,74,61,74,25,70
Ruben Perez,Spain,Panathinaikos,CDM,74,46,63,70,65,71,70
Romain Perraud,France,Real Betis,LB,74,69,72,73,74,71,71
Lucas Perrin,France,Hamburger SV,CB,74,44,35,55,59,76,73
Krzysztof Piatek,Poland,Başakşehir,ST,74,70,75,56,72,36,71
Amos Pieper,Germany,SV Werder Bremen,CB,74,63,32,52,52,77,75
Joel Piroe,Netherlands,Leeds United,ST,74,64,75,63,71,29,71
Tommaso Pobega,Italy,Bologna,CM,74,74,76,71,75,75,78
Julien Ponceau,France,FC Lorient,MOC,74,76,64,72,78,55,59
Alexander Prass,Austria,TSG Hoffenheim,CM,74,82,65,73,75,69,76
Lukas Provod,Czech Republic,Slavia Praha,CM,74,76,73,74,74,67,82
Teemu Pukki,Finland,Minnesota United,ST,74,75,75,63,72,36,72
Baba Rahman,Ghana,PAOK FC,LB,74,75,60,68,69,70,74
Cristian Ramirez,Ecuador,Ferencvárosi TC,LB,74,83,48,72,76,66,70
Moises Ramirez,Ecuador,IDV,GK,74,74,71,68,75,33,72
Aaron Ramsey,Wales,Cardiff City,CM,74,45,68,77,77,65,61
Luca Ranieri,Italy,Fiorentina,CB,74,70,41,59,68,77,63
Federico Rasmussen,Argentina,Godoy Cruz,CB,74,53,34,64,59,73,85
Federico Redondo,Argentina,Inter Miami CF,CM,74,72,62,70,74,71,77
Rocco Reitz,Germany,M'gladbach,CM,74,73,68,70,76,71,65
Elvis Rexhbecaj,Kosovo,FC Augsburg,CM,74,59,66,71,74,68,74
Fabian Rieder,Switzerland,VfB Stuttgart,MOC,74,73,69,71,75,51,63
Mats Rits,Belgium,RSC Anderlecht,CDM,74,71,69,71,73,72,73
Dmytro Riznyk,Ukraine,Shakhtar Donetsk,GK,74,74,66,76,75,48,77
Rochinha,Portugal,FC Famalicão,LW,74,84,65,67,78,40,53
Marek Rodak,Slovakia,Ettifaq FC,GK,74,74,71,72,75,47,72
Oscar,Spain,CD Leganés,CM,74,56,76,76,74,58,54
Manuel Roffo,Argentina,Instituto,GK,74,75,72,72,75,23,72
Valentin Rosier,France,CD Leganés,RB,74,83,52,67,73,70,76
Jerome Roussillon,France,Union Berlin,LB,74,80,65,69,74,71,74
Raul Ruidiaz,Peru,Sounders FC,ST,74,71,77,65,76,32,65
Mikkel Rygaard,Denmark,BK Häcken,CM,74,64,72,77,76,61,67
Lukas Sadilek,Czech Republic,Sparta Praha,CM,74,69,63,72,73,68,70
Osame Sahraoui,Morocco,LOSC Lille,LM,74,81,60,66,80,45,54
Samu Saiz,Spain,Eyüpspor,MOC,74,76,74,74,76,31,69
Diadie Samassekou,Mali,TSG Hoffenheim,CDM,74,59,49,61,71,74,72
Francisco Moura,Portugal,FC Porto,LB,74,76,55,72,74,70,70
Javi Sanchez,Spain,R. Valladolid CF,CB,74,68,56,55,61,74,76
Manu Sanchez,Spain,D. Alavés,LB,74,73,44,62,68,72,60
Nicola Sansone,Italy,Lecce,MOC,74,71,71,70,78,44,54
Josh Sargent,United States,Norwich,ST,74,72,73,63,69,48,79
Amir Sayoud,Algeria,Al Raed,RM,74,74,71,73,77,32,65
Saba Sazonov,Georgia,Empoli,CB,74,63,40,58,61,74,75
Joe Scally,United States,M'gladbach,RB,74,74,49,64,71,71,72
Andras Schafer,Hungary,Union Berlin,CM,74,74,62,69,75,65,66
Bart Schenkeveld,Netherlands,Panathinaikos,CB,74,68,40,61,65,74,77
Alexander Schlager,Austria,RB Salzburg,GK,74,73,72,66,76,46,73
Ivan Schranz,Slovakia,Slavia Praha,LM,74,81,75,68,72,63,75
Marcel Schuhen,Germany,SV Darmstadt 98,GK,74,74,71,70,76,53,72
Stefan Schwab,Austria,PAOK FC,CM,74,63,71,75,72,70,75
Alex Scott,England,AFC Bournemouth,CM,74,73,62,73,79,65,68
Ibrahim Sehic,Bosnia-Herzegovina,Al Khaleej,GK,74,70,74,63,74,32,77
Alidu Seidu,Ghana,Stade Rennais FC,CB,74,58,43,61,70,75,67
Ryan Sessegnon,England,Fulham,LB,74,77,64,72,76,71,64
Petr Sevcik,Czech Republic,Slavia Praha,CDM,74,69,69,76,76,68,70
Ahmed Sharahili,Saudi Arabia,Al Ittihad,CB,74,75,33,61,64,74,77
Leonardo Sigali,Argentina,Racing Club,CB,74,59,51,60,61,74,75
Danylo Sikan,Ukraine,Shakhtar Donetsk,ST,74,79,72,56,69,28,67
Martin Silva,Uruguay,Libertad,GK,74,77,73,73,75,31,74
Cesinha,Brazil,Daegu FC,ST,74,82,75,71,75,31,74
Abdallah Sima,Senegal,Stade Brestois,LM,74,89,73,66,72,41,72
David Simao,Portugal,Arouca,CM,74,65,70,75,72,69,70
Ibrahima Sissoko,Mali,VfL Bochum 1848,CM,74,56,60,70,68,71,85
Sivera,Spain,D. Alavés,GK,74,74,72,75,76,57,73
Gijs Smal,Netherlands,Feyenoord,LM,74,70,61,76,70,70,72
Ruben Sobrino,Spain,Cádiz CF,LM,74,77,73,70,75,37,64
Pablo Solari,Argentina,River Plate,ST,74,86,75,65,76,36,69
Juan Soriano,Spain,CD Leganés,GK,74,74,70,68,76,37,73
Jose Sosa,Argentina,Estudiantes,CM,74,48,66,79,77,66,64
Ricardo Esgaio,Portugal,Sporting CP,RB,74,68,66,74,76,69,66
John Souttar,Scotland,Rangers,CB,74,73,48,63,70,73,77
Carl Starfelt,Sweden,RC Celta,CB,74,75,31,53,68,74,76
Niklas Stark,Germany,SV Werder Bremen,CB,74,74,50,62,66,74,76
Thomas Strakosha,Albania,AEK Athens,GK,74,74,73,72,75,43,71
Pascal Struijk,Netherlands,Leeds United,CB,74,56,46,59,64,74,78
Luka Sucic,Croatia,Real Sociedad,MOC,74,79,73,74,74,49,69
Stoppila Sunzu,Zambia,Changchun Yatai,CB,74,43,41,49,51,74,83
Tomas Suslov,Slovakia,Hellas Verona,RM,74,78,71,72,76,52,71
Attila Szalai,Hungary,TSG Hoffenheim,CB,74,72,45,62,63,74,79
Damian Szymanski,Poland,AEK Athens,CDM,74,70,64,65,68,73,81
Flavien Tait,France,Samsunspor,CM,74,68,71,74,75,67,71
Matt Targett,England,Newcastle Utd,LB,74,65,47,71,70,73,66
Kenneth Taylor,Netherlands,Ajax,CM,74,74,68,76,74,60,69
Greg Taylor,Scotland,Celtic,LB,74,72,55,73,73,71,73
Nahuel Tenaglia,Argentina,D. Alavés,RB,74,71,43,65,72,74,79
Arnau Tenas,Spain,Paris SG,GK,74,73,70,80,77,52,72
William Tesillo,Colombia,Atl. Nacional,CB,74,64,29,62,67,76,74
Phillip Tietz,Germany,FC Augsburg,ST,74,65,74,56,68,33,79
Karl Toko Ekambi,Cameroon,Ettifaq FC,LW,74,83,74,69,75,24,70
Luis Henrique,Brazil,OM,LM,74,82,67,71,73,45,72
Pablo Torre,Spain,FC Barcelona,MOC,74,72,64,76,76,45,53
Facundo Torres,Uruguay,Orlando City,RM,74,81,70,69,74,38,54
Jordan Torunarigha,Nigeria,KAA Gent,CB,74,82,41,63,63,74,76
Cenk Tosun,Turkey,Fenerbahçe,ST,74,66,75,67,71,36,72
Adama Traore,Mali,Ferencvárosi TC,RW,74,87,71,65,75,23,60
Stefano Turati,Italy,Monza,GK,74,75,71,71,78,35,74
Matt Turner,United States,Crystal Palace,GK,74,74,72,67,74,40,73
Gennaro Tutino,Italy,Sampdoria,ST,74,81,76,68,74,38,66
Ayase Ueda,Japan,Feyenoord,ST,74,75,75,57,68,28,70
Filip Ugrinic,Switzerland,BSC Young Boys,MOC,74,77,72,74,75,68,84
Sven Ulreich,Germany,FC Bayern München,GK,74,75,69,62,79,41,73
Nicolai Vallys,Denmark,Brøndby IF,MOC,74,81,68,71,75,35,75
Milan van Ewijk,Netherlands,Coventry City,RB,74,92,57,64,71,69,71
Ricky van Wolfswinkel,Netherlands,FC Twente,ST,74,66,74,69,70,48,73
Vladyslav Vanat,Ukraine,Dynamo Kyiv,ST,74,79,74,59,73,26,64
Nuno Tavares,Portugal,Latium,LB,74,84,65,69,72,68,76
Johan Vasquez,Mexico,Genoa,CB,74,61,32,58,57,74,75
Unai Vencedor,Spain,R. Racing Club,CM,74,62,68,73,74,74,73
Yorbe Vertessen,Belgium,Union Berlin,ST,74,89,73,66,74,34,70
Arturo Vidal,Chile,Colo-Colo,CM,74,55,74,76,72,76,75
Tonny Vilhena,Netherlands,Panathinaikos,CM,74,70,72,75,74,73,76
Toni Villa,Spain,SD Eibar,LM,74,74,65,73,76,53,48
Ivan Villar,Spain,RC Celta,GK,74,73,72,71,76,32,74
Odysseas Vlachodimos,Greece,Newcastle Utd,GK,74,75,73,66,74,43,74
Jed Wallace,England,West Brom,RM,74,76,68,71,73,45,66
Daniel Wass,Denmark,Brøndby IF,CM,74,69,72,75,74,70,75
Tsuyoshi Watanabe,Japan,KAA Gent,CB,74,77,29,47,55,75,76
Timothy Weah,United States,Juventus,RM,74,85,70,67,75,63,69
Ashley Westwood,England,Charlotte FC,CDM,74,54,64,75,71,70,73
Ben Whiteman,England,Preston,CDM,74,64,65,74,69,68,77
Morgan Whittaker,England,Plymouth Argyle,RW,74,78,73,67,74,38,65
Silvan Widmer,Switzerland,1. FSV Mainz 05,RB,74,72,62,70,72,71,77
Christopher Wooh,Cameroon,Stade Rennais FC,CB,74,68,45,57,62,73,76
Joe Worrall,England,Burnley,CB,74,50,25,51,45,75,76
Roman Yaremchuk,Ukraine,Olympiacos FC,ST,74,73,72,68,69,44,75
Ridvan Yilmaz,Turkey,Rangers,LB,74,86,56,67,78,68,62
