name,position,age,nation,club,value
Román Vega,Left-Back,21,Argentina,Zenit St. Petersburg,€5.00m
Demir Ege Tıknaz,Central Midfield,20,Türkiye,Besiktas JK,€5.00m
Kees Smit,Central Midfield,19,Netherlands,AZ Alkmaar,€5.00m
Milos Lukovic,Centre-Forward,19,Serbia,RC Strasbourg Alsace,€5.00m
Victor Gabriel,Centre-Back,21,Brazil,Sport Club Internacional,€5.00m
Noah Nartey,Central Midfield,19,Denmark,Bröndby IF,€5.00m
Quinn Sullivan,Central Midfield,21,United States,Philadelphia Union,€5.00m
Mert Kömür,Attacking Midfield,20,Germany,FC Augsburg,€5.00m
Kaio César,Right Winger,21,Brazil,Al-Hilal SFC,€5.00m
Williot Swedberg,Left Winger,21,Sweden,Celta de Vigo,€5.00m
Yassine Titraoui,Central Midfield,21,Algeria,Royal Charleroi SC,€5.00m
Vinícius Tobias,Right-Back,21,Brazil,Shakhtar Donetsk,€5.00m
Nino Marcelli,Left Winger,20,Slovakia,Slovan Bratislava,€5.00m
Leo Sauer,Left Winger,19,Slovakia,Feyenoord Rotterdam,€5.00m
Tim Oermann,Centre-Back,21,Germany,SK Sturm Graz,€5.00m
James Beadle,Goalkeeper,21,England,Birmingham City,€5.00m
Mathias Løvik,Left-Back,21,Norway,Parma Calcio 1913,€5.00m
Bilal Nadir,Central Midfield,21,Morocco,Olympique Marseille,€5.00m
Jakob Breum,Attacking Midfield,21,Denmark,Go Ahead Eagles,€5.00m
Toby Collyer,Defensive Midfield,21,England,Manchester United,€5.00m
Anton Kade,Right Midfield,21,Germany,FC Basel 1893,€5.00m
Cher Ndour,Central Midfield,20,Italy,ACF Fiorentina,€5.00m
Antoni Kozubal,Defensive Midfield,20,Poland,Lech Poznan,€5.00m
Yunus Emre Konak,Defensive Midfield,19,Türkiye,Brentford FC,€4.50m
Trey Nyoni,Central Midfield,18,England,Liverpool FC U21,€4.50m
İsak Vural,Central Midfield,19,Türkiye,Pisa Sporting Club,€4.50m
Noah Adedeji-Sternberg,Left Winger,20,Belgium,KRC Genk,€4.50m
Leonel Pérez,Defensive Midfield,20,Argentina,CA Huracán,€4.50m
Kyriani Sabbe,Right-Back,20,Belgium,Club Brugge KV,€4.50m
Georgios Koutsias,Centre-Forward,21,Greece,FC Lugano,€4.50m
Matej Sin,Attacking Midfield,21,Czech Republic,FC Banik Ostrava,€4.50m
Bobby Clark,Central Midfield,20,England,Red Bull Salzburg,€4.50m
Dor Turgeman,Centre-Forward,21,Israel,Maccabi Tel Aviv,€4.50m
Matteo Dams,Left-Back,21,Belgium,Al-Ahli SFC,€4.50m
Rav van den Berg,Centre-Back,21,Netherlands,Middlesbrough FC,€4.50m
Victor Hugo,Attacking Midfield,21,Brazil,CR Flamengo,€4.20m
Kacper Kozlowski,Attacking Midfield,21,Poland,Gaziantep FK,€4.20m
Diego León,Left-Back,18,Paraguay,Manchester United,€4.00m
Lautaro Rivero,Centre-Back,21,Argentina,CA River Plate,€4.00m
Edmund Baidoo,Right Winger,19,Ghana,Red Bull Salzburg,€4.00m
Lucas Sanabria,Defensive Midfield,21,Uruguay,Los Angeles Galaxy,€4.00m
Love Arrhov,Attacking Midfield,17,Sweden,IF Brommapojkarna,€4.00m
Idrissa Gueye,Centre-Forward,18,Senegal,FC Metz,€4.00m
Amadou Koné,Defensive Midfield,20,Cote d'Ivoire,NEOM SC,€4.00m
Keita Kosugi,Left-Back,19,Japan,Djurgårdens IF,€4.00m
Louis Leroux,Attacking Midfield,19,France,FC Nantes,€4.00m
Anthony Dennis,Defensive Midfield,21,Nigeria,Göztepe,€4.00m
Papa Amadou Diallo,Left Winger,21,Senegal,FC Metz,€4.00m
Gabriel Bontempo,Central Midfield,20,Brazil,Santos FC,€4.00m
Allan,Right Winger,21,Brazil,Sociedade Esportiva Palmeiras,€4.00m
Emmanuel Biumla,Centre-Back,20,France,Angers SCO,€4.00m
Deniz Gül,Centre-Forward,21,Türkiye,FC Porto,€4.00m
Enso González,Left Winger,20,Paraguay,Wolverhampton Wanderers,€4.00m
Gora Diouf,Centre-Back,21,Senegal,KV Mechelen,€4.00m
Jan Ziolkowski,Centre-Back,20,Poland,Legia Warszawa,€4.00m
Mario Dorgeles,Central Midfield,20,Cote d'Ivoire,SC Braga,€4.00m
Niko Sigur,Defensive Midfield,21,Canada,HNK Hajduk Split,€4.00m
Yaya Fofana,Central Midfield,21,Cote d'Ivoire,Stade Reims,€4.00m
Ricardo Mathias,Centre-Forward,18,Brazil,Sport Club Internacional,€4.00m
Rubén Lezcano,Attacking Midfield,21,Paraguay,Fluminense Football Club,€4.00m
Ilyas Ansah,Centre-Forward,20,Germany,1.FC Union Berlin,€4.00m
Nobel Mendy,Centre-Back,20,Senegal,Real Betis Balompié,€4.00m
Eguinaldo,Left Winger,20,Brazil,Shakhtar Donetsk,€4.00m
Adrian Przyborek,Right Winger,18,Poland,Pogon Szczecin,€4.00m
Wesley,Left Winger,20,Brazil,Al-Nassr FC,€4.00m
Jaydee Canvot,Centre-Back,18,France,FC Toulouse,€4.00m
Santiago Castañeda,Defensive Midfield,20,United States,SC Paderborn 07,€4.00m
Tobías Ramírez,Centre-Back,18,Argentina,AA Argentinos Juniors,€4.00m
Mattia Liberali,Attacking Midfield,18,Italy,AC Milan Primavera,€4.00m
Julián Fernández,Right Winger,21,Argentina,New York City FC,€4.00m
Kodai Sano,Central Midfield,21,Japan,NEC Nijmegen,€4.00m
Nestory Irankunda,Right Winger,19,Australia,Watford FC,€4.00m
Vasilije Adžić,Attacking Midfield,19,Montenegro,Juventus FC,€4.00m
Adam Aznou,Left-Back,19,Morocco,Bayern Munich,€4.00m
Samuel Amo-Ameyaw,Right Winger,19,England,RC Strasbourg Alsace,€4.00m
Agustín Ojeda,Left Winger,21,Argentina,New York City FC,€4.00m
Hugo Sotelo,Central Midfield,21,Spain,Celta de Vigo,€4.00m
Kevin Kelsy,Centre-Forward,20,Venezuela,Portland Timbers,€4.00m
Kevin Zeroli,Central Midfield,20,Italy,AC Monza,€4.00m
Oliver Braude,Right-Back,21,Norway,SC Heerenveen,€4.00m
Maxi Oyedele,Defensive Midfield,20,Poland,RC Strasbourg Alsace,€4.00m
Junior Ligue,Left-Back,20,Switzerland,FC Zürich,€4.00m
Ayman El Wafi,Centre-Back,21,Morocco,FC Lugano,€4.00m
Jefté,Left-Back,21,Brazil,Rangers FC,€4.00m
Mihailo Ivanovic,Centre-Forward,20,Serbia,Millwall FC,€4.00m
Max Weiß,Goalkeeper,21,Germany,Burnley FC,€4.00m
Dzenan Pejcinovic,Centre-Forward,20,Germany,VfL Wolfsburg,€4.00m
Max Finkgräfe,Left-Back,21,Germany,RB Leipzig,€4.00m
Slawomir Abramowicz,Goalkeeper,21,Poland,Jagiellonia Bialystok,€4.00m
Cheveyo Tsawa,Central Midfield,18,Switzerland,FC Zürich,€4.00m
Willy Kambwala,Centre-Back,20,France,Villarreal CF,€4.00m
Luka Romero,Right Winger,20,Argentina,CD Cruz Azul,€4.00m
Arijon Ibrahimovic,Attacking Midfield,19,Germany,1.FC Heidenheim 1846,€4.00m
David Mella,Right Winger,20,Spain,Deportivo de La Coruña,€4.00m
Kacper Trelowski,Goalkeeper,21,Poland,Raków Częstochowa,€4.00m
Ernest Poku,Right Winger,21,Netherlands,AZ Alkmaar,€4.00m
Keke Topp,Centre-Forward,21,Germany,SV Werder Bremen,€4.00m
Kristian Hlynsson,Attacking Midfield,21,Iceland,Twente Enschede FC,€4.00m
Markus Karlsson,Central Midfield,21,Sweden,Hammarby IF,€4.00m
Matthieu Epolo,Goalkeeper,20,Belgium,Standard Liège,€4.00m
Divin Mubama,Centre-Forward,20,England,Stoke City,€4.00m
Cade Cowell,Left Winger,21,United States,Deportivo Guadalajara,€4.00m
Gjivai Zechiël,Defensive Midfield,21,Netherlands,FC Utrecht,€4.00m
Livan Burcu,Left Winger,20,Türkiye,1.FC Union Berlin,€4.00m
Sebastián Boselli,Centre-Back,21,Uruguay,CA River Plate,€3.80m
Antonio Raimondo,Centre-Forward,21,Italy,Frosinone Calcio,€3.80m
Santino Andino,Left Winger,19,Argentina,CD Godoy Cruz Antonio Tomba,€3.50m
Álvaro Montoro,Attacking Midfield,18,Argentina,Botafogo de Futebol e Regatas,€3.50m
Bruno Durdov,Right Winger,17,Croatia,HNK Hajduk Split,€3.50m
Eivind Helland,Centre-Back,20,Norway,SK Brann,€3.50m
Matheus Alves,Attacking Midfield,20,Brazil,CSKA Moscow,€3.50m
Anton Matkovic,Centre-Forward,19,Croatia,NK Osijek,€3.50m
Iker Fimbres,Attacking Midfield,20,Mexico,CF Monterrey,€3.50m
Vinicinho,Left Winger,21,Brazil,Red Bull Bragantino,€3.50m
Lorenzo Scipioni,Central Midfield,20,Argentina,Olympiacos Piraeus,€3.50m
Min-hyeok Yang,Right Winger,19,"Korea, South",Tottenham Hotspur,€3.50m
Thiago Helguera,Defensive Midfield,19,Uruguay,SC Braga,€3.50m
Michal Gurgul,Left-Back,19,Poland,Lech Poznan,€3.50m
Denil Castillo,Central Midfield,21,Ecuador,FC Midtjylland,€3.50m
Matías Abaldo,Right Winger,21,Uruguay,Defensor Sporting Club,€3.50m
Lucas Høgsberg,Centre-Back,19,Denmark,FC Nordsjaelland,€3.50m
Marco Palestra,Right Midfield,20,Italy,Atalanta BC,€3.50m
Yaimar Medina,Left-Back,20,Ecuador,KRC Genk,€3.50m
Ognjen Mimovic,Right-Back,20,Serbia,Fenerbahce,€3.50m
Alex Luna,Second Striker,21,Argentina,Instituto ACC,€3.50m
Nathan-Dylan Saliba,Central Midfield,21,Canada,RSC Anderlecht,€3.50m
Mateo Joseph,Centre-Forward,21,Spain,Leeds United,€3.50m
Maurice Krattenmacher,Attacking Midfield,19,Germany,Hertha BSC,€3.50m
Max Dean,Centre-Forward,21,England,KAA Gent,€3.50m
Charlie Hughes,Centre-Back,21,England,Hull City,€3.50m
Cihan Çanak,Right Winger,20,Türkiye,Trabzonspor,€3.50m
Alfie Devine,Attacking Midfield,20,England,Tottenham Hotspur,€3.50m
