name,nation,club,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Identifier
Santi Comesana,Spain,Villarreal CF,CM,75,57,69,68,73,76,74,santicomesana_SPA
Andrea Consigli,Italy,Sassuolo,GK,75,76,73,70,75,40,77,andreaconsigli_ITA
Maxwel Cornet,Cote d'Ivoire,Southampton,LM,75,85,75,70,76,67,70,maxwelcornet_COT
Eric Curbelo,Spain,R. Sporting,CB,75,84,38,66,67,75,81,ericcurbelo_SPA
Tomas Cvancara,Czech Republic,M'gladbach,ST,75,77,73,66,72,25,77,tomascvancara_CZE
Danilo D'Ambrosio,Italy,Monza,CB,75,59,56,66,68,77,72,danilod'ambrosio_ITA
Jose Fonte,Portugal,Casa Pia AC,CB,75,31,46,62,60,76,79,josefonte_POR
Otavio,Brazil,FC Porto,CB,75,68,29,41,58,75,79,otavio_BRA
Andrew,Brazil,Gil Vicente,GK,75,76,73,74,77,45,72,andrew_BRA
Bobby De Cordova-Reid,Jamaica,Leicester City,RM,75,74,72,72,76,60,63,bobbydecordova-reid_JAM
Aderllan Santos,Brazil,Rio Ave FC,CB,75,59,52,52,57,76,81,aderllansantos_BRA
Enrico Delprato,Italy,Parma,RB,75,81,54,63,69,72,77,enricodelprato_ITA
Moussa Dembele,France,Ettifaq FC,ST,75,71,74,62,71,30,80,moussadembele_FRA
Leander Dendoncker,Belgium,RSC Anderlecht,CM,75,53,69,75,70,76,78,leanderdendoncker_BEL
Arthur Desmas,France,Havre AC,GK,75,75,72,72,76,36,73,arthurdesmas_FRA
Federico Di Francesco,Italy,Palermo,LW,75,80,69,73,77,52,70,federicodifrancesco_ITA
Amad Diallo,Cote d'Ivoire,Man Utd,RM,75,85,71,68,80,25,50,amaddiallo_COT
Krepin Diatta,Senegal,AS Monaco,RM,75,89,69,66,78,50,67,krepindiatta_SEN
Mory Diaw,Senegal,Clermont Foot 63,GK,75,77,74,73,78,43,72,morydiaw_SEN
Matias Dituro,Argentina,Elche CF,GK,75,74,72,77,77,38,74,matiasdituro_ARG
Alexander Dominguez,Ecuador,LDU Quito,GK,75,76,72,71,77,34,75,alexanderdominguez_ECU
Niklas Dorsch,Germany,Heidenheim,CDM,75,70,72,73,78,71,72,niklasdorsch_GER
Mateus,Brazil,Al Taawoun,RW,75,82,74,71,76,53,69,mateus_BRA
Abdoulaye Doucoure,Mali,Everton,MOC,75,57,78,72,74,77,82,abdoulayedoucoure_MAL
Flynn Downes,England,Southampton,CDM,75,64,53,71,73,71,75,flynndownes_ENG
Aleksandar Dragovic,Austria,FK Austria Wien,CB,75,54,51,63,64,77,75,aleksandardragovic_AUS
Bartlomiej Dragowski,Poland,Panathinaikos,GK,75,77,71,70,77,37,72,bartlomiejdragowski_POL
Radu Dragusin,Romania,Spurs,CB,75,73,37,53,65,75,75,radudragusin_ROM
Leo Duarte,Brazil,Başakşehir,CB,75,57,36,49,60,76,78,leoduarte_BRA
Odsonne Edouard,France,Leicester City,ST,75,73,75,67,76,45,69,odsonneedouard_FRA
Maximilian Eggestein,Germany,SC Freiburg,CDM,75,63,60,69,71,72,74,maximilianeggestein_GER
Magnus Wolff Eikrem,Norway,Molde FK,MOC,75,65,71,76,74,33,50,magnuswolffeikrem_NOR
Neil El Aynaoui,Morocco,RC Lens,CM,75,63,61,70,74,66,71,neilelaynaoui_MOR
Jawad El Yamiq,Morocco,Al Wehda,CB,75,86,50,53,63,75,80,jawadelyamiq_MOR
Embarba,Spain,Rayo Vallecano,LM,75,78,74,73,76,42,68,embarba_SPA
Cristian Espinoza,Argentina,SJ Earthquakes,RM,75,84,70,69,75,43,66,cristianespinoza_ARG
Giovanni Fabbian,Italy,Bologna,CM,75,67,72,72,75,68,63,giovannifabbian_ITA
Frank Fabra,Colombia,Boca Juniors,LB,75,80,68,74,78,68,76,frankfabra_COL
Marco Davide Faraoni,Italy,Hellas Verona,RM,75,73,72,74,74,69,70,marcodavidefaraoni_ITA
Bernardo,Brazil,VfL Bochum 1848,LB,75,71,53,64,68,75,75,bernardo_BRA
Guillermo Fernandez,Argentina,Boca Juniors,CM,75,67,67,73,76,65,66,guillermofernandez_ARG
Jesus Ferreira,United States,FC Dallas,ST,75,84,73,71,76,45,67,jesusferreira_UNI
Marco Friedl,Austria,SV Werder Bremen,CB,75,71,42,61,67,76,75,marcofriedl_AUS
Angelo Fulgini,France,RC Lens,MOC,75,71,69,75,78,67,71,angelofulgini_FRA
Mijat Gacinovic,Serbia,AEK Athens,LM,75,78,67,72,78,63,67,mijatgacinovic_SER
James Garner,England,Everton,CM,75,66,65,77,71,71,71,jamesgarner_ENG
Daniel Gazdag,Hungary,Philadelphia,MOC,75,77,73,68,76,54,72,danielgazdag_HUN
Yann Gboho,France,Toulouse FC,MOC,75,76,68,70,79,36,58,yanngboho_FRA
Billy Gilmour,Scotland,SSC Napoli,CDM,75,60,58,75,76,70,62,billygilmour_SCO
Ben Godfrey,England,Bergamo Calcio,CB,75,81,44,61,61,74,76,bengodfrey_ENG
Victor Gomez,Spain,SC Braga,RB,75,80,51,74,75,69,71,victorgomez_SPA
Leandro Gonzalez Pirez,Argentina,River Plate,CB,75,68,54,62,67,74,81,leandrogonzalezpirez_ARG
Kamil Grabara,Poland,VfL Wolfsburg,GK,75,76,75,72,76,42,75,kamilgrabara_POL
Jacob Greaves,England,Ipswich,CB,75,69,40,63,65,75,79,jacobgreaves_ENG
Albert Gronbaek,Denmark,Stade Rennais FC,MOC,75,77,68,72,77,62,72,albertgronbaek_DEN
Marko Grujic,Serbia,FC Porto,CM,75,59,71,71,75,74,82,markogrujic_SER
Marco Grull,Austria,SV Werder Bremen,LM,75,93,73,67,74,36,72,marcogrull_AUS
Cristian Guanca,Argentina,Al Shabab,MOC,75,72,78,72,75,40,71,cristianguanca_ARG
Javi Guerra,Spain,Valencia CF,CM,75,74,70,72,75,72,72,javiguerra_SPA
Ander Guevara,Spain,D. Alavés,CM,75,43,63,72,71,72,69,anderguevara_SPA
Pape Gueye,Senegal,Villarreal CF,CM,75,58,60,70,71,74,76,papegueye_SEN
Frederic Guilbert,France,Lecce,RB,75,71,47,68,71,73,75,fredericguilbert_FRA
Marcel Hartel,Germany,St. Louis CITY SC,CM,75,72,70,73,79,43,61,marcelhartel_GER
Taylor Harwood-Bellis,England,Southampton,CB,75,66,36,61,67,76,76,taylorharwood-bellis_ENG
Jack Hendry,Scotland,Ettifaq FC,CB,75,78,56,63,65,72,85,jackhendry_SCO
Gaston Hernandez,Argentina,San Lorenzo,CB,75,67,37,52,59,76,72,gastonhernandez_ARG
Luis Hernandez,Spain,Cádiz CF,CB,75,62,50,65,65,75,78,luishernandez_SPA
Nicolas Hofler,Germany,SC Freiburg,CDM,75,57,47,65,67,75,72,nicolashofler_GER
Hong Hyeon Seok,"Korea, South",1. FSV Mainz 05,MOC,75,72,71,74,76,66,68,honghyeonseok_KOR
Timo Hubers,Germany,1. FC Köln,CB,75,73,40,56,59,75,75,timohubers_GER
Odion Ighalo,Nigeria,Al Wehda,ST,75,61,77,64,71,43,83,odionighalo_NIG
Stanislav Iljutcenko,Russia,FC Seoul,ST,75,68,77,58,68,37,84,stanislaviljutcenko_RUS
Franco Israel,Uruguay,Sporting CP,GK,75,79,72,71,81,31,76,francoisrael_URU
Kristijan Jakic,Croatia,FC Augsburg,CDM,75,67,61,64,68,74,79,kristijanjakic_CRO
Daniel James,Wales,Leeds United,RM,75,93,70,66,74,46,66,danieljames_WAL
Jo Hyeon Woo,"Korea, South",Ulsan Hyundai,GK,75,77,72,62,78,51,73,johyeonwoo_KOR
Alistair Johnston,Canada,Celtic,RB,75,79,57,71,70,71,80,alistairjohnston_CAN
James Justin,England,Leicester City,LB,75,79,50,70,69,72,71,jamesjustin_ENG
Thomas Kaminski,Belgium,Luton Town,GK,75,73,75,70,77,46,74,thomaskaminski_BEL
Atakan Karazor,Germany,VfB Stuttgart,CDM,75,48,36,62,66,77,73,atakankarazor_GER
Michael Keane,England,Everton,CB,75,41,49,62,59,76,74,michaelkeane_ENG
Mandela Keita,Belgium,Parma,CDM,75,78,56,67,75,72,80,mandelakeita_BEL
Lloyd Kelly,England,Newcastle Utd,CB,75,67,40,65,67,75,78,lloydkelly_ENG
Rani Khedira,Germany,Union Berlin,CDM,75,54,43,57,62,79,80,ranikhedira_GER
Ki Sung Yueng,"Korea, South",FC Seoul,CM,75,54,66,76,70,64,77,kisungyueng_KOR
Cedric Kipre,Cote d'Ivoire,Stade de Reims,CB,75,68,35,49,55,73,85,cedrickipre_COT
Derrick Kohn,Germany,SV Werder Bremen,LB,75,87,68,71,76,69,75,derrickkohn_GER
Philipp Kohn,Switzerland,AS Monaco,GK,75,76,73,68,76,46,74,philippkohn_SWI
Dominik Kohr,Germany,1. FSV Mainz 05,CB,75,80,63,60,70,74,80,dominikkohr_GER
Aboubakary Koita,Mauritania,AEK Athens,LM,75,83,77,70,77,57,69,aboubakarykoita_MAU
Giannis Konstantelias,Greece,PAOK FC,MOC,75,77,65,74,79,38,56,gianniskonstantelias_GRE
Tom Krauss,Germany,Luton Town,CDM,75,70,66,66,73,72,75,tomkrauss_GER
Victor Kristiansen,Denmark,Leicester City,LB,75,73,55,67,73,71,73,victorkristiansen_DEN
Nikola Krstovic,Montenegro,Lecce,ST,75,66,75,57,71,26,74,nikolakrstovic_MON
Jan Kuchta,Czech Republic,FC Midtjylland,ST,75,79,73,66,72,35,82,jankuchta_CZE
Qazim Laci,Albania,Sparta Praha,CM,75,72,69,75,76,69,77,qazimlaci_ALB
Tariq Lamptey,Ghana,Brighton,RB,75,85,44,66,77,70,50,tariqlamptey_GHA
Manuel Lanzini,Argentina,River Plate,MOC,75,63,71,76,80,43,51,manuellanzini_ARG
Cyle Larin,Canada,RCD Mallorca,ST,75,71,75,65,69,28,78,cylelarin_CAN
Jorgen Strand Larsen,Norway,Wolves,ST,75,77,75,58,69,32,82,jorgenstrandlarsen_NOR
Jamaal Lascelles,England,Newcastle Utd,CB,75,40,35,51,50,76,78,jamaallascelles_ENG
Romeo Lavia,Belgium,Chelsea,CDM,75,67,50,70,75,73,73,romeolavia_BEL
Jeremy Le Douaron,France,Palermo,ST,75,66,73,69,74,50,73,jeremyledouaron_FRA
Cristian Lema,Argentina,Boca Juniors,CB,75,32,53,58,42,75,83,cristianlema_ARG
Jesper Lindstrom,Denmark,Everton,MOC,75,82,72,68,79,43,60,jesperlindstrom_DEN
Marko Livaja,Croatia,Hajduk Split,ST,75,72,76,71,77,38,79,markolivaja_CRO
Robin Lod,Finland,Minnesota United,RM,75,73,71,73,75,59,71,robinlod_FIN
Enzo Loiodice,France,UD Las Palmas,CM,75,66,64,74,77,69,67,enzoloiodice_FRA
Leonardo,Brazil,Zhejiang Pro,ST,75,78,75,59,73,36,73,leonardo_BRA
Jordan Lotomba,Switzerland,Feyenoord,RB,75,78,48,65,72,71,68,jordanlotomba_SWI
Costinha,Portugal,Olympiacos FC,RM,75,75,65,72,73,69,77,costinha_POR
Eduard Lowen,Germany,St. Louis CITY SC,CM,75,66,70,74,72,70,82,eduardlowen_GER
Jhonatan,Brazil,Rio Ave FC,GK,75,76,75,73,78,37,74,jhonatan_BRA
Sasa Lukic,Serbia,Fulham,CM,75,53,69,74,75,70,70,sasalukic_SER
Senne Lynen,Belgium,SV Werder Bremen,CDM,75,70,62,72,67,73,77,sennelynen_BEL
Giangiacomo Magnani,Italy,Hellas Verona,CB,75,64,39,45,50,76,72,giangiacomomagnani_ITA
Hugo Magnetti,France,Stade Brestois,CDM,75,45,50,68,74,69,75,hugomagnetti_FRA
Ainsley Maitland-Niles,England,OL,RB,75,76,61,71,73,71,72,ainsleymaitland-niles_ENG
Victor Ignacio Malcorra,Argentina,Rosario Central,MOC,75,68,71,79,76,59,65,victorignaciomalcorra_ARG
Dennis Man,Romania,Parma,RM,75,92,72,69,77,45,73,dennisman_ROM
Daniel Mancini,Argentina,Panathinaikos,RM,75,81,72,70,76,59,68,danielmancini_ARG
Federico Mancuello,Argentina,Independiente,MOC,75,63,69,80,76,56,63,federicomancuello_ARG
Petros Mantalos,Greece,AEK Athens,MOC,75,72,68,77,76,55,66,petrosmantalos_GRE
Pablo Mari,Spain,Monza,CB,75,55,40,49,53,77,72,pablomari_SPA
Razvan Marin,Romania,Cagliari,CM,75,64,74,76,75,67,71,razvanmarin_ROM
Eric Martel,Germany,1. FC Köln,CDM,75,63,51,62,71,76,81,ericmartel_GER
Gonzalo Martinez,Argentina,River Plate,RM,75,75,73,72,81,35,55,gonzalomartinez_ARG
Toni Martinez,Spain,D. Alavés,ST,75,68,76,60,72,24,78,tonimartinez_SPA
Josep Martinez,Spain,Lombardia FC,GK,75,75,71,67,74,26,76,josepmartinez_SPA
Omar Mascarell,Spain,RCD Mallorca,CM,75,53,64,71,74,72,71,omarmascarell_SPA
Georgios Masouras,Greece,Olympiacos FC,RM,75,75,75,73,73,53,70,georgiosmasouras_GRE
Philipp Max,Germany,Panathinaikos,LB,75,73,65,74,74,70,72,philippmax_GER
Alexandru Maxim,Romania,Gaziantep,MOC,75,69,74,77,78,34,60,alexandrumaxim_ROM
Brandon Mechele,Belgium,Club Brugge,CB,75,51,39,51,53,79,77,brandonmechele_BEL
Cristian Medina,Argentina,Boca Juniors,CM,75,75,64,72,79,69,69,cristianmedina_ARG
Nampalys Mendy,Senegal,RC Lens,CDM,75,56,54,70,74,74,67,nampalysmendy_SEN
Junior Messias,Brazil,Genoa,RM,75,79,72,72,78,49,56,juniormessias_BRA
Alexander Meyer,Germany,Borussia Dortmund,GK,75,72,71,77,76,41,74,alexandermeyer_GER
James Milner,England,Brighton,CM,75,50,70,78,74,74,73,jamesmilner_ENG
Mingueza,Spain,RC Celta,RB,75,79,35,65,64,72,75,mingueza_SPA
Mostafa Mohamed,Egypt,FC Nantes,ST,75,72,76,58,69,37,79,mostafamohamed_EGY
Nikola Moro,Croatia,Bologna,CDM,75,67,73,75,74,70,75,nikolamoro_CRO
Kevin Muller,Germany,Heidenheim,GK,75,73,71,69,78,48,74,kevinmuller_GER
Rodrigo Muniz,Brazil,Fulham,ST,75,73,74,59,71,42,77,rodrigomuniz_BRA
Arijanet Muric,Kosovo,Ipswich,GK,75,76,73,79,77,45,74,arijanetmuric_KOS
Yunus Musah,United States,Milano FC,CM,75,88,69,71,81,71,82,yunusmusah_UNI
Darlington Nagbe,United States,Columbus Crew,CM,75,73,67,71,80,63,73,darlingtonnagbe_UNI
Nahitan Nandez,Uruguay,Al Qadisiyah,RM,75,81,61,71,77,68,79,nahitannandez_URU
Amath Ndiaye,Senegal,R. Valladolid CF,LM,75,89,72,69,77,49,64,amathndiaye_SEN
Iliman Ndiaye,Senegal,Everton,ST,75,84,72,63,82,40,62,ilimanndiaye_SEN
Dan Ndoye,Switzerland,Bologna,RM,75,81,67,67,78,64,68,danndoye_SWI
Reiss Nelson,England,Fulham,RW,75,85,67,71,78,36,55,reissnelson_ENG
Jota,Portugal,Stade Rennais FC,LM,75,86,70,70,81,37,59,jota_POR
Bart Nieuwkoop,Netherlands,Feyenoord,RM,75,70,63,73,71,71,77,bartnieuwkoop_NET
Tijjani Noslin,Netherlands,Latium,ST,75,80,73,66,78,43,74,tijjaninoslin_NET
Jake O'Brien,Ireland,Everton,CB,75,76,41,53,51,73,79,jakeo'brien_IRE
Warmed Omari,France,OL,CB,75,65,34,58,62,77,73,warmedomari_FRA
Becir Omeragic,Switzerland,Montpellier,CB,75,75,40,63,68,75,73,beciromeragic_SWI
Raphael Onyedika,Nigeria,Club Brugge,CDM,75,74,64,64,71,72,80,raphaelonyedika_NIG
Henry Onyekuru,Nigeria,Al Fayha,LM,75,92,74,65,77,35,60,henryonyekuru_NIG
Jayden Oosterwolde,Netherlands,Fenerbahçe,LB,75,89,42,61,72,72,80,jaydenoosterwolde_NET
Aimar Oroz,Spain,CA Osasuna,CM,75,68,74,71,76,58,65,aimaroroz_SPA
Francisco Ortega,Argentina,Olympiacos FC,LB,75,86,58,72,78,67,78,franciscoortega_ARG
Azzedine Ounahi,Morocco,Panathinaikos,CM,75,64,63,73,77,63,66,azzedineounahi_MOR
Joseph Paintsil,Ghana,LA Galaxy,RM,75,90,70,68,78,33,73,josephpaintsil_GHA
Sebastian Palacios,Argentina,Talleres,RW,75,81,73,71,77,44,66,sebastianpalacios_ARG
Alexandros Paschalakis,Greece,Olympiacos FC,GK,75,76,72,58,77,51,75,alexandrospaschalakis_GRE
Luca Pellegrini,Italy,Latium,LB,75,71,54,66,76,71,58,lucapellegrini_ITA
Ruben Pena,Spain,CA Osasuna,RB,75,72,69,70,73,72,65,rubenpena_SPA
David Costa,Portugal,RC Lens,MOC,75,76,70,73,81,34,46,davidcosta_POR
Mathias Pereira Lage,Portugal,Stade Brestois,LW,75,86,72,74,74,61,67,mathiaspereiralage_POR
Nehuen Perez,Argentina,FC Porto,CB,75,49,25,47,50,77,73,nehuenperez_ARG
Enzo Perez,Argentina,Estudiantes,CDM,75,57,66,74,77,71,74,enzoperez_ARG
Lucas Perez,Spain,RC Deportivo,ST,75,74,76,75,72,30,70,lucasperez_SPA
Jaden Philogene,England,Aston Villa,LM,75,85,71,69,78,37,59,jadenphilogene_ENG
Diogo Leite,Portugal,Union Berlin,CB,75,55,38,50,61,77,76,diogoleite_POR
Joel Pohjanpalo,Finland,Venezia,ST,75,68,76,63,72,38,76,joelpohjanpalo_FIN
Ezequiel Ponce,Argentina,Houston Dynamo,ST,75,75,75,61,73,38,75,ezequielponce_ARG
Marin Pongracic,Croatia,Fiorentina,CB,75,61,26,52,62,75,75,marinpongracic_CRO
Denys Popov,Ukraine,Dynamo Kyiv,CB,75,63,40,51,61,75,75,denyspopov_UKR
Angelo Preciado,Ecuador,Sparta Praha,RB,75,84,63,70,76,66,72,angelopreciado_ECU
Vako,Georgia,Shandong Taishan,LM,75,76,71,70,77,41,69,vako_GEO
Jarell Quansah,England,Liverpool,CB,75,74,34,59,68,74,77,jarellquansah_ENG
Sandro,Spain,UD Las Palmas,ST,75,78,76,67,76,31,63,sandro_SPA
Chris Ramos,Spain,Cádiz CF,ST,75,80,73,64,73,35,68,chrisramos_SPA
Milot Rashica,Kosovo,Beşiktaş,RM,75,81,74,71,76,50,73,milotrashica_KOS
Nicolas Raskin,Belgium,Rangers,CM,75,69,63,73,75,72,75,nicolasraskin_BEL
Harrison Reed,England,Fulham,CDM,75,59,60,71,71,72,74,harrisonreed_ENG
Fabian Reese,Germany,Hertha BSC,LM,75,82,69,70,73,42,80,fabianreese_GER
Sergio Oliveira,Portugal,Olympiacos FC,CM,75,48,75,79,71,66,58,sergiooliveira_POR
Panagiotis Retsos,Greece,Olympiacos FC,CB,75,67,37,59,61,74,74,panagiotisretsos_GRE
Rodrigo Rey,Argentina,Independiente,GK,75,73,73,70,76,50,75,rodrigorey_ARG
Giovanni Reyna,United States,Borussia Dortmund,RM,75,77,72,71,79,37,67,giovannireyna_UNI
Luis Rioja,Spain,Valencia CF,LM,75,77,75,71,78,37,50,luisrioja_SPA
Joel Robles,Spain,Estoril Praia,GK,75,76,73,71,77,50,72,joelrobles_SPA
Joe Rodon,Wales,Leeds United,CB,75,70,32,51,59,76,77,joerodon_WAL
Fabio Cardoso,Portugal,Al Ain FC,CB,75,57,32,53,64,75,81,fabiocardoso_POR
Paulo Oliveira,Portugal,SC Braga,CB,75,54,34,52,61,77,72,paulooliveira_POR
Sebastian Rodriguez,Uruguay,Alianza Lima,CM,75,63,67,75,73,68,68,sebastianrodriguez_URU
Diego Rodriguez,Argentina,Argentinos Jrs.,GK,75,73,72,76,76,45,74,diegorodriguez_ARG
Morgan Rogers,England,Aston Villa,LM,75,77,71,71,77,56,71,morganrogers_ENG
Merlin Rohl,Germany,SC Freiburg,CM,75,81,65,69,77,62,72,merlinrohl_GER
Matias Rojas,Paraguay,Inter Miami CF,RW,75,76,76,74,77,56,59,matiasrojas_PAR
Benjamin Rollheiser,Argentina,SL Benfica,MOC,75,83,74,70,77,42,64,benjaminrollheiser_ARG
Zaid Romero,Argentina,Club Brugge,CB,75,73,30,53,64,74,87,zaidromero_ARG
Pablo Rosario,Netherlands,OGC Nice,CDM,75,58,64,68,72,74,79,pablorosario_NET
Diego Rossi,Uruguay,Columbus Crew,MOC,75,88,72,70,77,34,55,diegorossi_URU
Anthony Rouault,France,VfB Stuttgart,CB,75,64,30,61,60,76,73,anthonyrouault_FRA
Daniel Felipe Ruiz,Colombia,Millonarios,LM,75,70,71,73,75,48,58,danielfeliperuiz_COL
Georginio Rutter,France,Brighton,MOC,75,79,69,70,79,42,70,georginiorutter_FRA
Wesley Said,France,RC Lens,ST,75,76,75,67,78,30,58,wesleysaid_FRA
Eduardo Salvio,Argentina,Lanús,RW,75,77,72,72,79,54,66,eduardosalvio_ARG
Lazar Samardzic,Serbia,Bergamo Calcio,CM,75,70,71,73,79,60,62,lazarsamardzic_SER
Albert Sambi Lokonga,Belgium,Sevilla FC,CM,75,64,58,74,76,68,71,albertsambilokonga_BEL
Zaidu Sanusi,Nigeria,FC Porto,LB,75,90,37,55,63,73,72,zaidusanusi_NIG
Yusuf Sari,Turkey,Adana Demirspor,RM,75,85,70,70,79,33,59,yusufsari_TUR
Martin Satriano,Uruguay,RC Lens,ST,75,67,74,62,73,34,69,martinsatriano_URU
Keven Schlotterbeck,Germany,FC Augsburg,CB,75,61,27,53,54,76,73,kevenschlotterbeck_GER
Romano Schmid,Austria,SV Werder Bremen,MOC,75,77,63,70,81,53,58,romanoschmid_AUS
Rob Schoofs,Belgium,KV Mechelen,CM,75,53,72,76,74,67,66,robschoofs_BEL
Bruno Varela,Cabo Verde,Vitória SC,GK,75,75,73,69,76,39,73,brunovarela_CAB
Lawrence Shankland,Scotland,Hearts,ST,75,63,78,64,74,28,80,lawrenceshankland_SCO
Ben Sheaf,England,Coventry City,CDM,75,54,47,71,71,74,74,bensheaf_ENG
Vincent Sierro,Switzerland,Toulouse FC,CM,75,61,67,75,72,70,75,vincentsierro_SWI
David Silva,Colombia,Millonarios,MOC,75,62,69,75,74,54,68,davidsilva_COL
Douglas Augusto,Brazil,FC Nantes,CM,75,72,69,70,72,73,80,douglasaugusto_BRA
Asger Sorensen,Denmark,Sparta Praha,CB,75,57,45,61,61,77,76,asgersorensen_DEN
Junior Sornoza,Ecuador,IDV,MOC,75,74,75,75,75,41,51,juniorsornoza_ECU
Ramon Sosa,Paraguay,Nott'm Forest,LM,75,82,66,68,76,49,65,ramonsosa_PAR
Borna Sosa,Croatia,Torino,LB,75,71,53,78,75,67,71,bornasosa_CRO
Boubakary Soumare,France,Leicester City,CDM,75,67,56,73,74,70,77,boubakarysoumare_FRA
Stijn Spierings,Netherlands,Brøndby IF,CDM,75,54,66,68,70,74,75,stijnspierings_NET
Jens Stage,Denmark,SV Werder Bremen,CM,75,65,68,71,73,73,78,jensstage_DEN
Jason Steele,England,Brighton,GK,75,75,73,80,74,39,75,jasonsteele_ENG
Renato Steffen,Switzerland,FC Lugano,RW,75,86,70,71,77,53,66,renatosteffen_SWI
Sem Steijn,Netherlands,FC Twente,MOC,75,66,78,69,75,38,75,semsteijn_NET
Miroslav Stevanovic,Bosnia-Herzegovina,Servette FC,RM,75,78,70,75,73,39,69,miroslavstevanovic_BOS
Luis Javier Suarez,Colombia,UD Almería,ST,75,80,77,65,71,38,75,luisjaviersuarez_COL
Denis Suarez,Spain,Villarreal CF,CM,75,59,70,77,77,64,54,denissuarez_SPA
Pavel Sulc,Czech Republic,Viktoria Plzeň,MOC,75,71,72,73,76,39,60,pavelsulc_CZE
Jonas Svensson,Norway,Beşiktaş,RB,75,74,60,70,74,72,79,jonassvensson_NOR
Mile Svilar,Serbia,AS Roma,GK,75,75,73,70,78,58,75,milesvilar_SER
Sammie Szmodics,Ireland,Ipswich,MOC,75,79,75,70,76,51,67,sammieszmodics_IRE
Terrats,Spain,Villarreal CF,CM,75,60,64,70,71,71,71,terrats_SPA
Tete,Brazil,Panathinaikos,RM,75,80,70,70,78,41,56,tete_BRA
Adrien Thomasson,France,RC Lens,MOC,75,59,73,76,77,64,72,adrienthomasson_FRA
Guus Til,Netherlands,PSV,MOC,75,81,73,71,73,64,74,guustil_NET
Tarik Tissoudali,Morocco,PAOK FC,ST,75,73,75,69,80,37,60,tariktissoudali_MOR
Hamed Traore,Cote d'Ivoire,AJ Auxerre,MOC,75,76,69,72,78,57,59,hamedtraore_COT
Adama Traore,Spain,Fulham,RM,75,93,65,64,81,37,80,adamatraore_SPA
Mike Tresor,Belgium,Burnley,LM,75,85,68,74,77,38,58,miketresor_BEL
Christopher Trimmel,Austria,Union Berlin,RB,75,69,65,74,68,74,79,christophertrimmel_AUS
Christos Tzolis,Greece,Club Brugge,LM,75,77,73,67,79,38,67,christostzolis_GRE
Felix Uduokhai,Germany,Beşiktaş,CB,75,62,39,53,59,76,75,felixuduokhai_GER
Aurelio Buta,Portugal,Stade de Reims,RM,75,87,60,69,77,67,67,aureliobuta_POR
Samuel Umtiti,France,LOSC Lille,CB,75,55,57,67,61,76,73,samuelumtiti_FRA
Josha Vagnoman,Germany,VfB Stuttgart,RB,75,87,61,69,73,70,81,joshavagnoman_GER
Cote,Spain,R. Sporting,LB,75,64,58,80,73,73,70,cote_SPA
Donny van de Beek,Netherlands,Girona FC,CM,75,65,76,74,75,70,67,donnyvandebeek_NET
Maarten Vandevoordt,Belgium,RB Leipzig,GK,75,77,74,73,76,40,73,maartenvandevoordt_BEL
Barnabas Varga,Hungary,Ferencvárosi TC,ST,75,70,77,56,70,20,72,barnabasvarga_HUN
Ruben Vargas,Switzerland,FC Augsburg,LM,75,82,70,69,79,54,65,rubenvargas_SWI
Franco Vazquez,Argentina,Cremonese,MOC,75,42,77,77,77,56,77,francovazquez_ARG
Kevin,Spain,R. Sporting,RB,75,67,53,67,66,73,66,kevin_SPA
Alan Velasco,Argentina,FC Dallas,LM,75,83,68,71,80,52,61,alanvelasco_ARG
Alejo Veliz,Argentina,RCD Espanyol,ST,75,71,74,54,70,25,73,alejoveliz_ARG
Simone Verdi,Italy,Como,MOC,75,77,71,74,79,43,47,simoneverdi_ITA
Inigo Vicente,Spain,R. Racing Club,LM,75,78,68,74,76,47,62,inigovicente_SPA
Domagoj Vida,Croatia,AEK Athens,CB,75,70,41,58,59,77,79,domagojvida_CRO
Nacho Vidal,Spain,CA Osasuna,RB,75,75,56,69,69,73,65,nachovidal_SPA
Rodrigo Villagra,Argentina,River Plate,CDM,75,70,48,68,73,73,74,rodrigovillagra_ARG
Martin Vitik,Czech Republic,Sparta Praha,CB,75,73,39,56,63,75,75,martinvitik_CZE
Kevin Vogt,Germany,Union Berlin,CB,75,67,48,71,66,75,76,kevinvogt_GER
Aster Vranckx,Belgium,VfL Wolfsburg,CM,75,61,65,72,78,72,76,astervranckx_BEL
Kai Wagner,Germany,Philadelphia,LB,75,78,50,69,69,70,79,kaiwagner_GER
Harry Wilson,Wales,Fulham,RM,75,76,77,75,76,43,58,harrywilson_WAL
Andriy Yarmolenko,Ukraine,Dynamo Kyiv,RM,75,60,79,76,76,42,72,andriyyarmolenko_UKR
Ryan Yates,England,Nott'm Forest,CDM,75,58,60,67,67,75,81,ryanyates_ENG
Kristoffer Zachariassen,Norway,Ferencvárosi TC,MOC,75,73,71,69,73,69,74,kristofferzachariassen_NOR
Bryan Zaragoza,Spain,CA Osasuna,RM,75,82,72,69,81,30,44,bryanzaragoza_SPA
Robin Zentner,Germany,1. FSV Mainz 05,GK,75,76,73,57,80,65,72,robinzentner_GER
Ramiz Zerrouki,Algeria,Feyenoord,CDM,75,61,65,72,73,68,80,ramizzerrouki_ALG
Walker Zimmerman,United States,Nashville SC,CB,75,56,50,55,56,74,84,walkerzimmerman_UNI
